year,age_gr,migback,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,17-29 y.,No migration background,Easy,0.06647,154,675,0.04767,0.08528
1987,17-29 y.,No migration background,Difficult,0.18988,415,675,0.16027,0.21950
1987,17-29 y.,No migration background,Almost impossible,0.04808,106,675,0.03193,0.06423
1987,17-29 y.,Direct migration background,Easy,0.05662,44,294,0.03016,0.08309
1987,17-29 y.,Direct migration background,Difficult,0.23899,201,294,0.19016,0.28782
1987,17-29 y.,Direct migration background,Almost impossible,0.06125,49,294,0.03379,0.08871
1987,17-29 y.,Indirect migration background,Difficult,0.22060,40,40,0.09046,0.35074
1987,30-45 y.,No migration background,Easy,0.03606,81,476,0.01929,0.05282
1987,30-45 y.,No migration background,Difficult,0.14205,313,476,0.11065,0.17344
1987,30-45 y.,No migration background,Almost impossible,0.03949,82,476,0.02197,0.05700
1987,30-45 y.,Direct migration background,Difficult,0.13796,145,255,0.09555,0.18037
1987,30-45 y.,Direct migration background,Almost impossible,0.11403,110,255,0.07494,0.15312
1987,46-65 y.,No migration background,Easy,0.01411,33,519,0.00395,0.02427
1987,46-65 y.,No migration background,Difficult,0.09022,222,519,0.06555,0.11489
1987,46-65 y.,No migration background,Almost impossible,0.11391,264,519,0.08655,0.14127
1987,46-65 y.,Direct migration background,Difficult,0.06318,67,220,0.03096,0.09541
1987,46-65 y.,Direct migration background,Almost impossible,0.15453,153,220,0.10666,0.20241
1987,66 and older,No migration background,Almost impossible,0.02787,31,31,-0.03103,0.08676
1988,17-29 y.,No migration background,Easy,0.08369,173,650,0.06239,0.10500
1988,17-29 y.,No migration background,Difficult,0.19503,387,650,0.16454,0.22551
1988,17-29 y.,No migration background,Almost impossible,0.04793,90,650,0.03150,0.06437
1988,17-29 y.,Direct migration background,Easy,0.06777,46,273,0.03790,0.09764
1988,17-29 y.,Direct migration background,Difficult,0.20430,164,273,0.15638,0.25221
1988,17-29 y.,Direct migration background,Almost impossible,0.07093,63,273,0.04042,0.10144
1988,17-29 y.,Indirect migration background,Difficult,0.23706,49,49,0.11675,0.35737
1988,30-45 y.,No migration background,Easy,0.02927,64,450,0.01367,0.04486
1988,30-45 y.,No migration background,Difficult,0.14346,303,450,0.11104,0.17589
1988,30-45 y.,No migration background,Almost impossible,0.04138,83,450,0.02296,0.05981
1988,30-45 y.,Direct migration background,Difficult,0.16865,149,234,0.12057,0.21672
1988,30-45 y.,Direct migration background,Almost impossible,0.09193,85,234,0.05483,0.12903
1988,46-65 y.,No migration background,Easy,0.01379,31,475,0.00329,0.02429
1988,46-65 y.,No migration background,Difficult,0.07304,170,475,0.04961,0.09646
1988,46-65 y.,No migration background,Almost impossible,0.11919,274,475,0.09002,0.14836
1988,46-65 y.,Direct migration background,Difficult,0.07341,70,232,0.03978,0.10704
1988,46-65 y.,Direct migration background,Almost impossible,0.15845,162,232,0.11135,0.20554
1989,17-29 y.,No migration background,Easy,0.08630,173,571,0.06324,0.10935
1989,17-29 y.,No migration background,Difficult,0.16695,314,571,0.13633,0.19756
1989,17-29 y.,No migration background,Almost impossible,0.04376,84,571,0.02696,0.06055
1989,17-29 y.,Direct migration background,Easy,0.07905,46,254,0.04580,0.11230
1989,17-29 y.,Direct migration background,Difficult,0.20145,147,254,0.15202,0.25087
1989,17-29 y.,Direct migration background,Almost impossible,0.08095,61,254,0.04734,0.11456
1989,17-29 y.,Indirect migration background,Easy,0.14270,31,92,0.07084,0.21457
1989,17-29 y.,Indirect migration background,Difficult,0.31236,61,92,0.21714,0.40758
1989,30-45 y.,No migration background,Easy,0.03310,71,411,0.01579,0.05042
1989,30-45 y.,No migration background,Difficult,0.12720,257,411,0.09495,0.15945
1989,30-45 y.,No migration background,Almost impossible,0.03809,83,411,0.01956,0.05662
1989,30-45 y.,Direct migration background,Difficult,0.13002,112,193,0.08244,0.17759
1989,30-45 y.,Direct migration background,Almost impossible,0.09685,81,193,0.05502,0.13869
1989,46-65 y.,No migration background,Easy,0.01608,38,430,0.00418,0.02799
1989,46-65 y.,No migration background,Difficult,0.07229,163,430,0.04778,0.09680
1989,46-65 y.,No migration background,Almost impossible,0.11004,229,430,0.08042,0.13965
1989,46-65 y.,Direct migration background,Difficult,0.06677,66,224,0.03401,0.09953
1989,46-65 y.,Direct migration background,Almost impossible,0.15945,158,224,0.11140,0.20750
1990,17-29 y.,No migration background,Easy,0.08817,237,783,0.06830,0.10805
1990,17-29 y.,No migration background,Difficult,0.14970,423,783,0.12469,0.17470
1990,17-29 y.,No migration background,Almost impossible,0.04918,123,783,0.03402,0.06433
1990,17-29 y.,Direct migration background,Easy,0.12150,60,253,0.08116,0.16183
1990,17-29 y.,Direct migration background,Difficult,0.16866,146,253,0.12242,0.21489
1990,17-29 y.,Direct migration background,Almost impossible,0.05556,47,253,0.02728,0.08385
1990,17-29 y.,Indirect migration background,Easy,0.11053,41,96,0.04747,0.17358
1990,17-29 y.,Indirect migration background,Difficult,0.23756,55,96,0.15197,0.32314
1990,30-45 y.,No migration background,Easy,0.03274,91,430,0.01590,0.04959
1990,30-45 y.,No migration background,Difficult,0.09225,268,430,0.06487,0.11963
1990,30-45 y.,No migration background,Almost impossible,0.02321,71,430,0.00896,0.03746
1990,30-45 y.,Direct migration background,Difficult,0.13449,110,175,0.08379,0.18518
1990,30-45 y.,Direct migration background,Almost impossible,0.06943,65,175,0.03166,0.10720
1990,46-65 y.,No migration background,Easy,0.01072,32,448,0.00117,0.02026
1990,46-65 y.,No migration background,Difficult,0.06058,179,448,0.03847,0.08270
1990,46-65 y.,No migration background,Almost impossible,0.08472,237,448,0.05890,0.11053
1990,46-65 y.,Direct migration background,Difficult,0.06915,73,231,0.03636,0.10194
1990,46-65 y.,Direct migration background,Almost impossible,0.13813,158,231,0.09354,0.18272
1991,17-29 y.,No migration background,Easy,0.09130,240,785,0.07114,0.11147
1991,17-29 y.,No migration background,Difficult,0.15182,421,785,0.12670,0.17694
1991,17-29 y.,No migration background,Almost impossible,0.04653,124,785,0.03178,0.06127
1991,17-29 y.,Direct migration background,Easy,0.08608,49,222,0.04910,0.12306
1991,17-29 y.,Direct migration background,Difficult,0.16790,118,222,0.11862,0.21718
1991,17-29 y.,Direct migration background,Almost impossible,0.08412,55,222,0.04752,0.12071
1991,17-29 y.,Indirect migration background,Easy,0.12338,45,96,0.05724,0.18951
1991,17-29 y.,Indirect migration background,Difficult,0.14254,51,96,0.07224,0.21285
1991,30-45 y.,No migration background,Easy,0.03309,100,540,0.01799,0.04820
1991,30-45 y.,No migration background,Difficult,0.10357,346,540,0.07785,0.12930
1991,30-45 y.,No migration background,Almost impossible,0.02837,94,540,0.01435,0.04238
1991,30-45 y.,Direct migration background,Difficult,0.13449,105,153,0.08025,0.18873
1991,30-45 y.,Direct migration background,Almost impossible,0.05171,48,153,0.01651,0.08692
1991,46-65 y.,No migration background,Easy,0.01351,40,536,0.00372,0.02329
1991,46-65 y.,No migration background,Difficult,0.06240,188,536,0.04190,0.08289
1991,46-65 y.,No migration background,Almost impossible,0.09831,308,536,0.07308,0.12354
1991,46-65 y.,Direct migration background,Difficult,0.05903,70,217,0.02760,0.09047
1991,46-65 y.,Direct migration background,Almost impossible,0.13045,147,217,0.08554,0.17537
1992,17-29 y.,No migration background,Easy,0.11747,276,805,0.09521,0.13973
1992,17-29 y.,No migration background,Difficult,0.15151,429,805,0.12672,0.17629
1992,17-29 y.,No migration background,Almost impossible,0.04024,100,805,0.02666,0.05382
1992,17-29 y.,Direct migration background,Easy,0.07546,46,206,0.03930,0.11161
1992,17-29 y.,Direct migration background,Difficult,0.17502,113,206,0.12300,0.22703
1992,17-29 y.,Direct migration background,Almost impossible,0.06989,47,206,0.03499,0.10479
1992,17-29 y.,Indirect migration background,Easy,0.17598,65,130,0.11027,0.24170
1992,17-29 y.,Indirect migration background,Difficult,0.20637,65,130,0.13653,0.27620
1992,30-45 y.,No migration background,Easy,0.04132,128,622,0.02566,0.05697
1992,30-45 y.,No migration background,Difficult,0.10696,377,622,0.08265,0.13127
1992,30-45 y.,No migration background,Almost impossible,0.03234,117,622,0.01842,0.04625
1992,30-45 y.,Direct migration background,Difficult,0.14202,106,153,0.08653,0.19752
1992,30-45 y.,Direct migration background,Almost impossible,0.06296,47,153,0.02435,0.10158
1992,46-65 y.,No migration background,Easy,0.01310,35,560,0.00367,0.02252
1992,46-65 y.,No migration background,Difficult,0.07158,212,560,0.05021,0.09295
1992,46-65 y.,No migration background,Almost impossible,0.09838,313,560,0.07369,0.12307
1992,46-65 y.,Direct migration background,Difficult,0.05510,64,225,0.02522,0.08499
1992,46-65 y.,Direct migration background,Almost impossible,0.13917,161,225,0.09385,0.18450
1993,17-29 y.,No migration background,Easy,0.08762,217,804,0.06807,0.10718
1993,17-29 y.,No migration background,Difficult,0.17933,463,804,0.15279,0.20586
1993,17-29 y.,No migration background,Almost impossible,0.05235,124,804,0.03694,0.06775
1993,17-29 y.,Direct migration background,Difficult,0.20296,118,176,0.14337,0.26256
1993,17-29 y.,Direct migration background,Almost impossible,0.08076,58,176,0.04039,0.12113
1993,17-29 y.,Indirect migration background,Easy,0.09409,37,166,0.04954,0.13864
1993,17-29 y.,Indirect migration background,Difficult,0.24086,86,166,0.17562,0.30611
1993,17-29 y.,Indirect migration background,Almost impossible,0.09474,43,166,0.05005,0.13943
1993,30-45 y.,No migration background,Easy,0.03362,95,609,0.01929,0.04794
1993,30-45 y.,No migration background,Difficult,0.11187,391,609,0.08682,0.13693
1993,30-45 y.,No migration background,Almost impossible,0.03219,123,609,0.01816,0.04622
1993,30-45 y.,Direct migration background,Difficult,0.17411,115,167,0.11643,0.23180
1993,30-45 y.,Direct migration background,Almost impossible,0.05437,52,167,0.01987,0.08886
1993,46-65 y.,No migration background,Difficult,0.07921,231,644,0.05833,0.10008
1993,46-65 y.,No migration background,Almost impossible,0.13080,413,644,0.10473,0.15686
1993,46-65 y.,Direct migration background,Difficult,0.06922,76,250,0.03769,0.10074
1993,46-65 y.,Direct migration background,Almost impossible,0.14761,174,250,0.10356,0.19167
1994,17-29 y.,No migration background,Easy,0.08538,192,793,0.06591,0.10484
1994,17-29 y.,No migration background,Difficult,0.19611,490,793,0.16846,0.22376
1994,17-29 y.,No migration background,Almost impossible,0.05086,111,793,0.03556,0.06616
1994,17-29 y.,Direct migration background,Difficult,0.25183,125,183,0.18877,0.31489
1994,17-29 y.,Direct migration background,Almost impossible,0.09685,58,183,0.05388,0.13982
1994,17-29 y.,Indirect migration background,Difficult,0.26729,108,146,0.19526,0.33933
1994,17-29 y.,Indirect migration background,Almost impossible,0.10048,38,146,0.05154,0.14941
1994,30-45 y.,No migration background,Easy,0.02922,93,636,0.01612,0.04231
1994,30-45 y.,No migration background,Difficult,0.11767,399,636,0.09261,0.14273
1994,30-45 y.,No migration background,Almost impossible,0.03936,144,636,0.02423,0.05448
1994,30-45 y.,Direct migration background,Difficult,0.13455,105,163,0.08200,0.18710
1994,30-45 y.,Direct migration background,Almost impossible,0.08548,58,163,0.04243,0.12854
1994,46-65 y.,No migration background,Difficult,0.07531,227,632,0.05472,0.09590
1994,46-65 y.,No migration background,Almost impossible,0.13458,405,632,0.10795,0.16121
1994,46-65 y.,Direct migration background,Difficult,0.07022,65,251,0.03854,0.10189
1994,46-65 y.,Direct migration background,Almost impossible,0.17921,186,251,0.13166,0.22675
1995,17-29 y.,No migration background,Easy,0.07475,155,767,0.05613,0.09337
1995,17-29 y.,No migration background,Difficult,0.21019,497,767,0.18133,0.23904
1995,17-29 y.,No migration background,Almost impossible,0.04956,115,767,0.03419,0.06493
1995,17-29 y.,Direct migration background,Easy,0.07834,43,262,0.04574,0.11094
1995,17-29 y.,Direct migration background,Difficult,0.24301,149,262,0.19098,0.29505
