year,age_gr,regtyp,plj0587,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,17-29 y.,Urban regions,Very often,0.00894,34,2321,0.00511,0.01277
2013,17-29 y.,Urban regions,Often,0.06102,209,2321,0.05128,0.07077
2013,17-29 y.,Urban regions,Sometimes,0.25537,769,2321,0.23762,0.27311
2013,17-29 y.,Urban regions,Seldom,0.28507,904,2321,0.26670,0.30344
2013,17-29 y.,Urban regions,Never,0.12143,405,2321,0.10814,0.13472
2013,17-29 y.,Rural regions,Often,0.09001,122,1219,0.07394,0.10609
2013,17-29 y.,Rural regions,Sometimes,0.26458,399,1219,0.23980,0.28935
2013,17-29 y.,Rural regions,Seldom,0.29313,479,1219,0.26757,0.31869
2013,17-29 y.,Rural regions,Never,0.13303,219,1219,0.11396,0.15210
2013,30-45 y.,Urban regions,Very often,0.01283,96,5129,0.00975,0.01591
2013,30-45 y.,Urban regions,Often,0.06962,475,5129,0.06266,0.07659
2013,30-45 y.,Urban regions,Sometimes,0.29296,1768,5129,0.28050,0.30541
2013,30-45 y.,Urban regions,Seldom,0.31194,1879,5129,0.29926,0.32462
2013,30-45 y.,Urban regions,Never,0.12540,911,5129,0.11634,0.13447
2013,30-45 y.,Rural regions,Very often,0.01804,58,2866,0.01316,0.02291
2013,30-45 y.,Rural regions,Often,0.06695,248,2866,0.05780,0.07610
2013,30-45 y.,Rural regions,Sometimes,0.32800,1071,2866,0.31080,0.34519
2013,30-45 y.,Rural regions,Seldom,0.34851,1068,2866,0.33106,0.36596
2013,30-45 y.,Rural regions,Never,0.12701,421,2866,0.11481,0.13920
2013,46-65 y.,Urban regions,Very often,0.01714,92,5539,0.01372,0.02055
2013,46-65 y.,Urban regions,Often,0.06868,390,5539,0.06202,0.07534
2013,46-65 y.,Urban regions,Sometimes,0.32599,1829,5539,0.31365,0.33834
2013,46-65 y.,Urban regions,Seldom,0.36491,2194,5539,0.35223,0.37759
2013,46-65 y.,Urban regions,Never,0.15460,1034,5539,0.14508,0.16412
2013,46-65 y.,Rural regions,Very often,0.01828,62,3430,0.01380,0.02276
2013,46-65 y.,Rural regions,Often,0.08130,264,3430,0.07215,0.09045
2013,46-65 y.,Rural regions,Sometimes,0.33875,1163,3430,0.32291,0.35459
2013,46-65 y.,Rural regions,Seldom,0.38085,1378,3430,0.36460,0.39710
2013,46-65 y.,Rural regions,Never,0.14426,563,3430,0.13250,0.15602
2013,66 and older,Urban regions,Very often,0.02554,69,3161,0.02004,0.03104
2013,66 and older,Urban regions,Often,0.08672,252,3161,0.07691,0.09653
2013,66 and older,Urban regions,Sometimes,0.32491,1026,3161,0.30858,0.34124
2013,66 and older,Urban regions,Seldom,0.34613,1147,3161,0.32954,0.36272
2013,66 and older,Urban regions,Never,0.20229,667,3161,0.18829,0.21630
2013,66 and older,Rural regions,Very often,0.02925,42,1766,0.02139,0.03711
2013,66 and older,Rural regions,Often,0.09461,149,1766,0.08095,0.10826
2013,66 and older,Rural regions,Sometimes,0.35041,564,1766,0.32815,0.37266
2013,66 and older,Rural regions,Seldom,0.33119,644,1766,0.30923,0.35315
2013,66 and older,Rural regions,Never,0.18553,367,1766,0.16740,0.20367
2021,17-29 y.,Urban regions,Very often,0.03623,156,2332,0.02865,0.04382
2021,17-29 y.,Urban regions,Often,0.15070,375,2332,0.13617,0.16522
2021,17-29 y.,Urban regions,Sometimes,0.33190,869,2332,0.31278,0.35102
2021,17-29 y.,Urban regions,Seldom,0.31569,665,2332,0.29682,0.33456
2021,17-29 y.,Urban regions,Never,0.10009,267,2332,0.08791,0.11227
2021,17-29 y.,Rural regions,Very often,0.02677,38,866,0.01601,0.03752
2021,17-29 y.,Rural regions,Often,0.09836,129,866,0.07851,0.11820
2021,17-29 y.,Rural regions,Sometimes,0.34041,324,866,0.30883,0.37198
2021,17-29 y.,Rural regions,Seldom,0.34073,272,866,0.30914,0.37232
2021,17-29 y.,Rural regions,Never,0.12222,103,866,0.10039,0.14404
2021,30-45 y.,Urban regions,Very often,0.05376,372,3677,0.04647,0.06105
2021,30-45 y.,Urban regions,Often,0.14854,643,3677,0.13704,0.16003
2021,30-45 y.,Urban regions,Sometimes,0.36631,1322,3677,0.35073,0.38188
