year,regtyp,plj0587,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Urban regions,Very often,0.01410,291,16150,0.01228,0.01592
2013,Urban regions,Often,0.06096,1326,16150,0.05727,0.06465
2013,Urban regions,Sometimes,0.25840,5392,16150,0.25164,0.26515
2013,Urban regions,Seldom,0.28204,6124,16150,0.27510,0.28898
2013,Urban regions,Never,0.12952,3017,16150,0.12434,0.13470
2013,Rural regions,Very often,0.01751,185,9304,0.01484,0.02017
2013,Rural regions,Often,0.07121,783,9304,0.06599,0.07644
2013,Rural regions,Sometimes,0.28173,3197,9304,0.27259,0.29088
2013,Rural regions,Seldom,0.29968,3569,9304,0.29037,0.30899
2013,Rural regions,Never,0.12779,1570,9304,0.12101,0.13458
2019,Urban regions,Often,0.00016,38,114,-0.00215,0.00247
2019,Urban regions,Sometimes,0.00014,41,114,-0.00205,0.00234
2019,Urban regions,Never,0.00012,35,114,-0.00192,0.00216
2019,Rural regions,Sometimes,0.00034,49,49,-0.00488,0.00556
2021,Urban regions,Very often,0.03993,966,13065,0.03657,0.04328
2021,Urban regions,Often,0.12759,2115,13065,0.12187,0.13331
2021,Urban regions,Sometimes,0.30165,4709,13065,0.29378,0.30952
2021,Urban regions,Seldom,0.27147,3742,13065,0.26385,0.27910
2021,Urban regions,Never,0.08695,1533,13065,0.08212,0.09178
2021,Rural regions,Very often,0.03769,347,6208,0.03295,0.04242
2021,Rural regions,Often,0.12948,975,6208,0.12113,0.13783
2021,Rural regions,Sometimes,0.29843,2194,6208,0.28704,0.30981
2021,Rural regions,Seldom,0.27834,1966,6208,0.26719,0.28949
2021,Rural regions,Never,0.09196,726,6208,0.08477,0.09915
