year,hhtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Single-person household,,,,,,,,,,,,
1984,Couple without children,,,,,,,,,,,,
1984,Single parent,,,,,,,,,,,,
1984,Couple with children,,,,,,,,,,,,
1984,Multi-generational household,,,,,,,,,,,,
1984,Other Combinations,,,,,,,,,,,,
1985,Single-person household,,,,,,,,,,,,
1985,Couple without children,,,,,,,,,,,,
1985,Single parent,,,,,,,,,,,,
1985,Couple with children,,,,,,,,,,,,
1985,Multi-generational household,,,,,,,,,,,,
1985,Other Combinations,,,,,,,,,,,,
1986,Single-person household,,,,,,,,,,,,
1986,Couple without children,,,,,,,,,,,,
1986,Single parent,,,,,,,,,,,,
1986,Couple with children,,,,,,,,,,,,
1986,Multi-generational household,,,,,,,,,,,,
1986,Other Combinations,,,,,,,,,,,,
1987,Single-person household,,,,,,,,,,,,
1987,Couple without children,,,,,,,,,,,,
1987,Single parent,,,,,,,,,,,,
1987,Couple with children,,,,,,,,,,,,
1987,Multi-generational household,,,,,,,,,,,,
1987,Other Combinations,,,,,,,,,,,,
1988,Single-person household,,,,,,,,,,,,
1988,Couple without children,,,,,,,,,,,,
1988,Single parent,,,,,,,,,,,,
1988,Couple with children,,,,,,,,,,,,
1988,Multi-generational household,,,,,,,,,,,,
1988,Other Combinations,,,,,,,,,,,,
1989,Single-person household,,,,,,,,,,,,
1989,Couple without children,,,,,,,,,,,,
1989,Single parent,,,,,,,,,,,,
1989,Couple with children,,,,,,,,,,,,
1989,Multi-generational household,,,,,,,,,,,,
1989,Other Combinations,,,,,,,,,,,,
1990,Single-person household,,,,,,,,,,,,
1990,Couple without children,,,,,,,,,,,,
1990,Single parent,,,,,,,,,,,,
1990,Couple with children,,,,,,,,,,,,
1990,Multi-generational household,,,,,,,,,,,,
1990,Other Combinations,,,,,,,,,,,,
1991,Single-person household,,,,,,,,,,,,
1991,Couple without children,,,,,,,,,,,,
1991,Single parent,,,,,,,,,,,,
1991,Couple with children,,,,,,,,,,,,
1991,Multi-generational household,,,,,,,,,,,,
1991,Other Combinations,,,,,,,,,,,,
1992,Single-person household,,,,,,,,,,,,
1992,Couple without children,,,,,,,,,,,,
1992,Single parent,,,,,,,,,,,,
1992,Couple with children,,,,,,,,,,,,
1992,Multi-generational household,,,,,,,,,,,,
1992,Other Combinations,,,,,,,,,,,,
1993,Single-person household,,,,,,,,,,,,
1993,Couple without children,,,,,,,,,,,,
1993,Single parent,,,,,,,,,,,,
1993,Couple with children,,,,,,,,,,,,
1993,Multi-generational household,,,,,,,,,,,,
1993,Other Combinations,,,,,,,,,,,,
1994,Single-person household,,,,,,,,,,,,
1994,Couple without children,,,,,,,,,,,,
1994,Single parent,,,,,,,,,,,,
1994,Couple with children,,,,,,,,,,,,
1994,Multi-generational household,,,,,,,,,,,,
1994,Other Combinations,,,,,,,,,,,,
1995,Single-person household,,,,,,,,,,,,
1995,Couple without children,,,,,,,,,,,,
1995,Single parent,,,,,,,,,,,,
1995,Couple with children,,,,,,,,,,,,
1995,Multi-generational household,,,,,,,,,,,,
1995,Other Combinations,,,,,,,,,,,,
1996,Single-person household,,,,,,,,,,,,
1996,Couple without children,,,,,,,,,,,,
1996,Single parent,,,,,,,,,,,,
1996,Couple with children,,,,,,,,,,,,
1996,Multi-generational household,,,,,,,,,,,,
1996,Other Combinations,,,,,,,,,,,,
1997,Single-person household,,,,,,,,,,,,
1997,Couple without children,,,,,,,,,,,,
1997,Single parent,,,,,,,,,,,,
1997,Couple with children,,,,,,,,,,,,
1997,Multi-generational household,,,,,,,,,,,,
1997,Other Combinations,,,,,,,,,,,,
1998,Single-person household,876,241.18546,233.56413,248.80679,153.00000,205.00000,307.00000,41.00000,538.00000,205.00000,205.00000,230.00000
1998,Couple without children,1257,409.61030,399.51224,419.70835,281.00000,409.00000,511.00000,51.00000,856.00000,409.00000,383.00000,409.00000
1998,Single parent,244,346.88678,328.49196,365.28160,256.00000,307.00000,409.00000,51.00000,638.50000,307.00000,307.00000,358.00000
1998,Couple with children,1589,530.57117,519.43248,541.70985,383.00000,511.00000,614.00000,102.00000,960.50000,511.00000,511.00000,511.00000
1998,Multi-generational household,56,525.57283,465.51607,585.62959,358.00000,511.00000,614.73121,102.00000,999.82803,511.00000,409.00000,614.00000
1998,Other Combinations,88,404.58825,363.32581,445.85070,258.79141,409.00000,511.00000,77.00000,889.31289,409.00000,307.00000,409.00000
1999,Single-person household,,,,,,,,,,,,
1999,Couple without children,,,,,,,,,,,,
1999,Single parent,,,,,,,,,,,,
1999,Couple with children,,,,,,,,,,,,
1999,Multi-generational household,,,,,,,,,,,,
1999,Other Combinations,,,,,,,,,,,,
2000,Single-person household,1702,237.32369,231.57932,243.06806,153.00000,205.00000,307.00000,20.00000,538.00000,205.00000,205.00000,205.00000
2000,Couple without children,2179,410.14397,401.65300,418.63494,256.00000,383.00000,511.00000,77.00000,893.50000,383.00000,358.00000,409.00000
2000,Single parent,353,352.72791,336.99194,368.46388,256.00000,307.00000,409.00000,41.00000,638.50000,307.00000,307.00000,358.00000
2000,Couple with children,2490,538.16100,528.72460,547.59740,409.00000,511.00000,614.00000,102.00000,921.50000,511.00000,511.00000,511.00000
2000,Multi-generational household,94,530.48723,481.31801,579.65644,345.58462,511.00000,614.00000,115.00000,1016.62308,511.00000,409.00000,511.00000
2000,Other Combinations,90,384.30851,344.86759,423.74943,256.00000,358.00000,511.00000,51.00000,893.50000,358.00000,307.00000,409.00000
2001,Single-person household,1348,241.85678,235.10152,248.61204,153.00000,205.00000,307.00000,0.00000,538.00000,205.00000,205.00000,230.00000
2001,Couple without children,1875,417.59113,408.46056,426.72170,281.00000,409.00000,511.00000,51.00000,856.00000,409.00000,389.00000,409.00000
2001,Single parent,307,351.94451,334.48168,369.40735,256.00000,307.00000,409.00000,51.00000,638.50000,307.00000,307.00000,332.00000
2001,Couple with children,2144,550.16475,540.10192,560.22757,409.00000,511.00000,614.00000,101.50000,921.50000,511.00000,511.00000,511.00000
2001,Multi-generational household,78,516.50487,451.07613,581.93362,307.00000,511.00000,614.00000,128.00000,1074.50000,511.00000,409.00000,511.00000
2001,Other Combinations,57,438.30668,374.89045,501.72291,205.00000,409.00000,614.00000,77.00000,1227.50000,409.00000,256.00000,511.00000
2002,Single-person household,,,,,,,,,,,,
2002,Couple without children,,,,,,,,,,,,
2002,Single parent,,,,,,,,,,,,
2002,Couple with children,,,,,,,,,,,,
2002,Multi-generational household,,,,,,,,,,,,
2002,Other Combinations,,,,,,,,,,,,
2003,Single-person household,1393,257.44747,250.16996,264.72498,160.00000,240.00000,300.00000,0.00000,510.00000,240.00000,200.00000,250.00000
2003,Couple without children,2029,443.94242,434.62480,453.26005,300.00000,400.00000,500.00000,40.00000,800.00000,400.00000,400.00000,400.00000
2003,Single parent,329,368.42908,348.09364,388.76452,250.00000,350.00000,400.00000,100.00000,625.00000,350.00000,300.00000,350.25000
2003,Couple with children,2037,550.93201,539.85530,562.00872,400.00000,500.00000,650.00000,80.00000,1025.00000,500.00000,500.00000,500.00000
2003,Multi-generational household,59,625.25305,560.11197,690.39413,400.00000,600.00000,800.00000,240.00000,1400.00000,600.00000,450.00000,800.00000
2003,Other Combinations,58,392.27656,332.96759,451.58553,200.00000,376.82119,500.00000,60.00000,950.00000,400.00000,200.00000,480.50000
2004,Single-person household,,,,,,,,,,,,
2004,Couple without children,,,,,,,,,,,,
2004,Single parent,,,,,,,,,,,,
2004,Couple with children,,,,,,,,,,,,
