year,regtyp,ple0019,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,Yes,0.05093,613,11682,0.04694,0.05491
2009,Urban regions,No,0.79026,11069,11682,0.78288,0.79764
2009,Rural regions,Yes,0.03956,271,6336,0.03476,0.04436
2009,Rural regions,No,0.80914,6065,6336,0.79946,0.81882
2011,Urban regions,Yes,0.05061,820,13360,0.04690,0.05433
2011,Urban regions,No,0.71548,12540,13360,0.70783,0.72313
2011,Rural regions,Yes,0.04499,418,7385,0.04026,0.04972
2011,Rural regions,No,0.72363,6967,7385,0.71343,0.73383
2013,Urban regions,Yes,0.05535,908,12047,0.05127,0.05944
2013,Urban regions,No,0.64166,11139,12047,0.63310,0.65022
2013,Rural regions,Yes,0.05144,441,6819,0.04619,0.05668
2013,Rural regions,No,0.68967,6378,6819,0.67869,0.70065
2015,Urban regions,Yes,0.06863,1237,16171,0.06474,0.07253
2015,Urban regions,No,0.75128,14934,16171,0.74462,0.75794
2015,Rural regions,Yes,0.06743,647,8869,0.06221,0.07265
2015,Rural regions,No,0.76900,8222,8869,0.76023,0.77777
2017,Urban regions,Yes,0.07268,1402,17147,0.06879,0.07656
2017,Urban regions,No,0.75915,15745,17147,0.75275,0.76555
2017,Rural regions,Yes,0.06625,663,9402,0.06122,0.07127
2017,Rural regions,No,0.77253,8739,9402,0.76405,0.78100
2019,Urban regions,Yes,0.08084,1513,16365,0.07666,0.08501
2019,Urban regions,No,0.74876,14852,16365,0.74212,0.75541
2019,Rural regions,Yes,0.07568,713,8806,0.07016,0.08121
2019,Rural regions,No,0.75828,8093,8806,0.74933,0.76722
2021,Urban regions,Yes,0.09015,1254,12996,0.08523,0.09507
2021,Urban regions,No,0.73178,11742,12996,0.72417,0.73940
2021,Rural regions,Yes,0.08761,581,6167,0.08055,0.09466
2021,Rural regions,No,0.73768,5586,6167,0.72670,0.74866
