year,pgisced97,ple0019,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Pre-primary Level,No,0.62454,308,308,0.57038,0.67871
2009,Primary Level,No,0.89950,150,150,0.85123,0.94778
2009,Lower Secondary Level,Yes,0.04954,93,1788,0.03948,0.05960
2009,Lower Secondary Level,No,0.92778,1695,1788,0.91578,0.93978
2009,Upper Secondary Level,Yes,0.05875,462,9060,0.05391,0.06360
2009,Upper Secondary Level,No,0.94115,8598,9060,0.93630,0.94600
2009,Post-secondary Non-tertiary Level,Yes,0.06623,52,997,0.05079,0.08168
2009,Post-secondary Non-tertiary Level,No,0.93377,945,997,0.91832,0.94921
2009,First Stage of Tertiary Education,Yes,0.05765,71,1332,0.04512,0.07017
2009,First Stage of Tertiary Education,No,0.94235,1261,1332,0.92983,0.95488
2009,Second Stage of Tertiary Education,Yes,0.05404,181,4035,0.04706,0.06102
2009,Second Stage of Tertiary Education,No,0.94596,3854,4035,0.93898,0.95294
2011,Pre-primary Level,No,0.46361,308,308,0.40783,0.51940
2011,Primary Level,No,0.76187,211,211,0.70426,0.81948
2011,Lower Secondary Level,Yes,0.05840,153,2164,0.04852,0.06828
2011,Lower Secondary Level,No,0.83537,2011,2164,0.81974,0.85100
2011,Upper Secondary Level,Yes,0.06196,640,10489,0.05735,0.06658
2011,Upper Secondary Level,No,0.86458,9849,10489,0.85803,0.87113
2011,Post-secondary Non-tertiary Level,Yes,0.05831,76,1201,0.04505,0.07157
2011,Post-secondary Non-tertiary Level,No,0.81509,1125,1201,0.79312,0.83706
2011,First Stage of Tertiary Education,Yes,0.05682,78,1447,0.04489,0.06875
2011,First Stage of Tertiary Education,No,0.88386,1369,1447,0.86735,0.90037
2011,Second Stage of Tertiary Education,Yes,0.05223,254,4588,0.04579,0.05867
2011,Second Stage of Tertiary Education,No,0.85937,4334,4588,0.84931,0.86943
2013,Pre-primary Level,No,0.37682,257,257,0.31746,0.43618
2013,Primary Level,No,0.52233,166,166,0.44611,0.59854
2013,Lower Secondary Level,Yes,0.06567,154,1849,0.05438,0.07697
2013,Lower Secondary Level,No,0.69686,1695,1849,0.67590,0.71781
2013,Upper Secondary Level,Yes,0.06945,691,9406,0.06431,0.07459
2013,Upper Secondary Level,No,0.80529,8715,9406,0.79728,0.81329
2013,Post-secondary Non-tertiary Level,Yes,0.06578,85,1097,0.05110,0.08045
2013,Post-secondary Non-tertiary Level,No,0.69235,1012,1097,0.66503,0.71968
2013,First Stage of Tertiary Education,Yes,0.06770,98,1325,0.05417,0.08124
2013,First Stage of Tertiary Education,No,0.86168,1227,1325,0.84308,0.88028
2013,Second Stage of Tertiary Education,Yes,0.05537,286,4466,0.04866,0.06208
2013,Second Stage of Tertiary Education,No,0.80051,4180,4466,0.78879,0.81223
2015,Pre-primary Level,No,0.49614,341,341,0.44299,0.54928
2015,Primary Level,Yes,0.10619,40,409,0.07629,0.13608
2015,Primary Level,No,0.80544,369,409,0.76703,0.84385
2015,Lower Secondary Level,Yes,0.08441,213,2669,0.07386,0.09496
2015,Lower Secondary Level,No,0.86321,2456,2669,0.85017,0.87625
2015,Upper Secondary Level,Yes,0.08498,920,11647,0.07992,0.09005
2015,Upper Secondary Level,No,0.90037,10727,11647,0.89493,0.90581
2015,Post-secondary Non-tertiary Level,Yes,0.08385,159,1953,0.07155,0.09615
2015,Post-secondary Non-tertiary Level,No,0.88525,1794,1953,0.87111,0.89939
2015,First Stage of Tertiary Education,Yes,0.07754,120,1525,0.06411,0.09096
2015,First Stage of Tertiary Education,No,0.91871,1405,1525,0.90499,0.93243
2015,Second Stage of Tertiary Education,Yes,0.06949,386,5873,0.06299,0.07600
