year,ple0019,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Yes,0.04725,884,18018,0.04415,0.05035
2009,No,0.79636,17134,18018,0.79048,0.80224
2011,Yes,0.04878,1238,20745,0.04585,0.05171
2011,No,0.71813,19507,20745,0.71201,0.72426
2013,Yes,0.05408,1349,18866,0.05085,0.05730
2013,No,0.65731,17517,18866,0.65054,0.66408
2015,Yes,0.06825,1884,25040,0.06512,0.07137
2015,No,0.75696,23156,25040,0.75165,0.76228
2017,Yes,0.07066,2065,26549,0.06758,0.07374
2017,No,0.76334,24484,26549,0.75823,0.76846
2019,Yes,0.08087,2355,25725,0.07754,0.08421
2019,No,0.75040,23370,25725,0.74511,0.75569
2021,Yes,0.08953,1836,19164,0.08549,0.09357
2021,No,0.73351,17328,19164,0.72725,0.73977
