year,sex,ple0019,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,male,Yes,0.03290,285,8598,0.02913,0.03667
2009,male,No,0.80289,8313,8598,0.79448,0.81130
2009,female,Yes,0.06112,599,9420,0.05629,0.06596
2009,female,No,0.79006,8821,9420,0.78183,0.79828
2011,male,Yes,0.03582,407,9789,0.03214,0.03950
2011,male,No,0.73045,9382,9789,0.72166,0.73924
2011,female,Yes,0.06121,831,10956,0.05672,0.06570
2011,female,No,0.70636,10125,10956,0.69784,0.71489
2013,male,Yes,0.04063,459,8834,0.03651,0.04475
2013,male,No,0.66591,8375,8834,0.65607,0.67574
2013,female,Yes,0.06704,890,10032,0.06215,0.07193
2013,female,No,0.64904,9142,10032,0.63970,0.65838
2015,male,Yes,0.05147,593,11458,0.04742,0.05552
2015,male,No,0.76568,10865,11458,0.75793,0.77344
2015,female,Yes,0.08451,1291,13582,0.07984,0.08919
2015,female,No,0.74855,12291,13582,0.74125,0.75585
2017,male,Yes,0.05138,661,12261,0.04747,0.05529
2017,male,No,0.77343,11600,12261,0.76602,0.78084
2017,female,Yes,0.08962,1404,14288,0.08494,0.09430
2017,female,No,0.75348,12884,14288,0.74641,0.76055
2019,male,Yes,0.05828,797,12278,0.05413,0.06242
2019,male,No,0.76418,11481,12278,0.75667,0.77169
2019,female,Yes,0.10287,1554,13440,0.09774,0.10801
2019,female,No,0.73743,11886,13440,0.72999,0.74487
2021,male,Yes,0.06977,634,9292,0.06459,0.07495
2021,male,No,0.74811,8658,9292,0.73929,0.75694
2021,female,Yes,0.10866,1197,9865,0.10252,0.11480
2021,female,No,0.71941,8668,9865,0.71055,0.72828
