year,age_gr,regtyp,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,Urban regions,Yes,0.02059,51,2918,0.01544,0.02574
2014,17-29 y.,Urban regions,No,0.91055,2867,2918,0.90020,0.92091
2014,17-29 y.,Rural regions,Yes,0.01570,31,1378,0.00914,0.02227
2014,17-29 y.,Rural regions,No,0.91598,1347,1378,0.90132,0.93063
2014,30-45 y.,Urban regions,Yes,0.02042,110,5657,0.01674,0.02411
2014,30-45 y.,Urban regions,No,0.97958,5547,5657,0.97589,0.98326
2014,30-45 y.,Rural regions,Yes,0.02463,54,2862,0.01895,0.03031
2014,30-45 y.,Rural regions,No,0.97537,2808,2862,0.96969,0.98105
2014,46-65 y.,Urban regions,Yes,0.00655,52,5894,0.00449,0.00861
2014,46-65 y.,Urban regions,No,0.99345,5842,5894,0.99139,0.99551
2014,46-65 y.,Rural regions,Yes,0.00805,37,3419,0.00505,0.01104
2014,46-65 y.,Rural regions,No,0.99195,3382,3419,0.98896,0.99495
2014,66 and older,Urban regions,No,0.99879,3154,3154,0.99758,1.00000
2014,66 and older,Rural regions,No,0.99837,1793,1793,0.99650,1.00024
2015,17-29 y.,Urban regions,Yes,0.02003,55,3042,0.01505,0.02501
2015,17-29 y.,Urban regions,No,0.91542,2987,3042,0.90553,0.92531
2015,17-29 y.,Rural regions,Yes,0.02175,31,1420,0.01416,0.02933
2015,17-29 y.,Rural regions,No,0.90686,1389,1420,0.89174,0.92199
2015,30-45 y.,Urban regions,Yes,0.02831,99,5519,0.02394,0.03269
2015,30-45 y.,Urban regions,No,0.97169,5420,5519,0.96731,0.97606
2015,30-45 y.,Rural regions,Yes,0.02078,47,2767,0.01546,0.02610
2015,30-45 y.,Rural regions,No,0.97903,2720,2767,0.97369,0.98437
2015,46-65 y.,Urban regions,Yes,0.00552,39,5811,0.00362,0.00743
2015,46-65 y.,Urban regions,No,0.99448,5772,5811,0.99257,0.99638
2015,46-65 y.,Rural regions,No,0.99387,3312,3312,0.99122,0.99653
2015,66 and older,Urban regions,No,0.99823,3096,3096,0.99674,0.99971
2015,66 and older,Rural regions,No,0.99849,1802,1802,0.99670,1.00028
2016,17-29 y.,Urban regions,Yes,0.02419,62,3325,0.01897,0.02942
2016,17-29 y.,Urban regions,No,0.90626,3263,3325,0.89635,0.91617
2016,17-29 y.,Rural regions,No,0.90516,1511,1511,0.89039,0.91994
2016,30-45 y.,Urban regions,Yes,0.02556,124,5787,0.02149,0.02962
2016,30-45 y.,Urban regions,No,0.97438,5663,5787,0.97031,0.97845
2016,30-45 y.,Rural regions,Yes,0.01230,42,2834,0.00824,0.01636
2016,30-45 y.,Rural regions,No,0.98758,2792,2834,0.98350,0.99166
2016,46-65 y.,Urban regions,Yes,0.00470,54,5754,0.00293,0.00647
2016,46-65 y.,Urban regions,No,0.99528,5700,5754,0.99351,0.99705
2016,46-65 y.,Rural regions,No,0.99468,3259,3259,0.99219,0.99718
2016,66 and older,Urban regions,No,0.99836,2980,2980,0.99691,0.99981
2017,17-29 y.,Urban regions,Yes,0.01827,68,3937,0.01408,0.02245
2017,17-29 y.,Urban regions,No,0.90966,3869,3937,0.90070,0.91862
2017,17-29 y.,Rural regions,Yes,0.01958,34,1879,0.01331,0.02585
2017,17-29 y.,Rural regions,No,0.91996,1845,1879,0.90769,0.93224
2017,30-45 y.,Urban regions,Yes,0.02309,131,6132,0.01933,0.02685
2017,30-45 y.,Urban regions,No,0.97690,6001,6132,0.97314,0.98066
2017,30-45 y.,Rural regions,Yes,0.01257,43,2996,0.00858,0.01656
2017,30-45 y.,Rural regions,No,0.98742,2953,2996,0.98343,0.99141
2017,46-65 y.,Urban regions,Yes,0.00667,62,6700,0.00472,0.00862
2017,46-65 y.,Urban regions,No,0.99333,6638,6700,0.99138,0.99528
2017,46-65 y.,Rural regions,Yes,0.00646,32,3878,0.00394,0.00899
2017,46-65 y.,Rural regions,No,0.99352,3846,3878,0.99099,0.99604
2017,66 and older,Urban regions,No,0.99970,3129,3129,0.99910,1.00031
2018,17-29 y.,Urban regions,Yes,0.01554,61,3778,0.01160,0.01949
2018,17-29 y.,Urban regions,No,0.92713,3717,3778,0.91884,0.93542
2018,17-29 y.,Rural regions,No,0.91070,1687,1687,0.89709,0.92431
2018,30-45 y.,Urban regions,Yes,0.02676,126,5739,0.02258,0.03093
2018,30-45 y.,Urban regions,No,0.97320,5613,5739,0.96902,0.97738
2018,30-45 y.,Rural regions,Yes,0.01003,50,2701,0.00627,0.01379
2018,30-45 y.,Rural regions,No,0.98924,2651,2701,0.98534,0.99313
2018,46-65 y.,Urban regions,Yes,0.00454,51,6530,0.00291,0.00617
2018,46-65 y.,Urban regions,No,0.99546,6479,6530,0.99383,0.99709
2018,46-65 y.,Rural regions,Yes,0.00383,33,3730,0.00185,0.00582
2018,46-65 y.,Rural regions,No,0.99617,3697,3730,0.99418,0.99815
2018,66 and older,Urban regions,No,0.99932,3170,3170,0.99842,1.00023
2018,66 and older,Rural regions,No,0.99929,1842,1842,0.99807,1.00051
2019,17-29 y.,Urban regions,Yes,0.01759,56,3298,0.01311,0.02208
2019,17-29 y.,Urban regions,No,0.91582,3242,3298,0.90634,0.92530
2019,17-29 y.,Rural regions,No,0.88596,1405,1405,0.86933,0.90259
2019,30-45 y.,Urban regions,Yes,0.01693,77,5257,0.01344,0.02041
2019,30-45 y.,Urban regions,No,0.98307,5180,5257,0.97959,0.98656
2019,30-45 y.,Rural regions,Yes,0.01497,43,2550,0.01025,0.01968
2019,30-45 y.,Rural regions,No,0.98503,2507,2550,0.98032,0.98975
2019,46-65 y.,Urban regions,Yes,0.00793,55,6989,0.00585,0.01001
2019,46-65 y.,Urban regions,No,0.99206,6934,6989,0.98998,0.99414
2019,46-65 y.,Rural regions,No,0.99646,3845,3845,0.99458,0.99834
2019,66 and older,Urban regions,No,0.99839,3237,3237,0.99700,0.99977
2019,66 and older,Rural regions,No,0.99935,1878,1878,0.99820,1.00050
2020,17-29 y.,Urban regions,Yes,0.01947,60,3973,0.01518,0.02377
2020,17-29 y.,Urban regions,No,0.91832,3913,3973,0.90980,0.92683
2020,17-29 y.,Rural regions,No,0.87918,1468,1468,0.86250,0.89586
2020,30-45 y.,Urban regions,Yes,0.01451,99,5954,0.01147,0.01754
2020,30-45 y.,Urban regions,No,0.98528,5855,5954,0.98222,0.98834
2020,30-45 y.,Rural regions,Yes,0.01190,34,2537,0.00768,0.01612
