year,sex,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,male,Yes,0.00824,107,12432,0.00665,0.00983
2014,male,No,0.82853,12325,12432,0.82190,0.83516
2014,female,Yes,0.01085,233,14648,0.00917,0.01253
2014,female,No,0.83786,14415,14648,0.83189,0.84383
2015,male,Yes,0.00934,108,12309,0.00764,0.01104
2015,male,No,0.82933,12201,12309,0.82268,0.83597
2015,female,Yes,0.01120,180,14477,0.00948,0.01291
2015,female,No,0.83871,14297,14477,0.83272,0.84470
2016,male,Yes,0.00778,135,12867,0.00626,0.00930
2016,male,No,0.82602,12732,12867,0.81947,0.83257
2016,female,Yes,0.01088,199,14389,0.00918,0.01257
2016,female,No,0.83818,14190,14389,0.83216,0.84420
2017,male,Yes,0.00858,166,14520,0.00708,0.01008
2017,male,No,0.82355,14354,14520,0.81735,0.82975
2017,female,Yes,0.00891,206,15995,0.00745,0.01037
2017,female,No,0.83814,15789,15995,0.83244,0.84385
2018,male,Yes,0.00677,158,13875,0.00541,0.00814
2018,male,No,0.82956,13717,13875,0.82330,0.83582
2018,female,Yes,0.00922,192,15331,0.00771,0.01074
2018,female,No,0.84122,15139,15331,0.83543,0.84700
2019,male,Yes,0.00595,131,14240,0.00468,0.00721
2019,male,No,0.82498,14109,14240,0.81873,0.83122
2019,female,Yes,0.00991,170,14826,0.00831,0.01150
2019,female,No,0.83519,14656,14826,0.82922,0.84117
2020,male,Yes,0.00751,151,14608,0.00611,0.00891
2020,male,No,0.82193,14457,14608,0.81572,0.82813
2020,female,Yes,0.00715,146,14786,0.00580,0.00851
2020,female,No,0.83487,14640,14786,0.82888,0.84085
2021,male,Yes,0.00578,108,9455,0.00425,0.00730
2021,male,No,0.81859,9347,9455,0.81083,0.82636
2021,female,Yes,0.00712,111,10047,0.00547,0.00876
2021,female,No,0.82792,9936,10047,0.82053,0.83530
