year,regtyp,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Urban regions,Yes,0.00952,217,17627,0.00808,0.01095
2014,Urban regions,No,0.82843,17410,17627,0.82286,0.83400
2014,Rural regions,Yes,0.00968,123,9453,0.00770,0.01165
2014,Rural regions,No,0.84339,9330,9453,0.83606,0.85072
2015,Urban regions,Yes,0.01087,195,17470,0.00933,0.01240
2015,Urban regions,No,0.83123,17275,17470,0.82568,0.83679
2015,Rural regions,Yes,0.00905,93,9316,0.00712,0.01097
2015,Rural regions,No,0.84007,9223,9316,0.83263,0.84752
2016,Urban regions,Yes,0.01071,244,17850,0.00920,0.01222
2016,Urban regions,No,0.82847,17606,17850,0.82294,0.83400
2016,Rural regions,Yes,0.00643,90,9406,0.00482,0.00805
2016,Rural regions,No,0.83952,9316,9406,0.83210,0.84694
2017,Urban regions,Yes,0.00956,263,19900,0.00820,0.01091
2017,Urban regions,No,0.82794,19637,19900,0.82269,0.83318
2017,Rural regions,Yes,0.00697,109,10615,0.00539,0.00856
2017,Rural regions,No,0.83733,10506,10615,0.83031,0.84435
2018,Urban regions,Yes,0.00939,241,19220,0.00803,0.01075
2018,Urban regions,No,0.83324,18979,19220,0.82797,0.83851
2018,Rural regions,Yes,0.00496,109,9986,0.00358,0.00634
2018,Rural regions,No,0.84001,9877,9986,0.83282,0.84720
2019,Urban regions,Yes,0.00874,195,18788,0.00741,0.01007
2019,Urban regions,No,0.82789,18593,18788,0.82250,0.83329
2019,Rural regions,Yes,0.00577,97,9732,0.00427,0.00728
2019,Rural regions,No,0.83435,9635,9732,0.82696,0.84173
2020,Urban regions,Yes,0.00785,217,19917,0.00663,0.00908
2020,Urban regions,No,0.82854,19700,19917,0.82330,0.83377
2020,Rural regions,Yes,0.00619,80,9485,0.00461,0.00777
2020,Rural regions,No,0.82744,9405,9485,0.81984,0.83505
2021,Urban regions,Yes,0.00773,163,13263,0.00624,0.00922
2021,Urban regions,No,0.81990,13100,13263,0.81336,0.82644
2021,Rural regions,Yes,0.00371,56,6245,0.00220,0.00522
2021,Rural regions,No,0.83049,6189,6245,0.82118,0.83979
