year,age_gr,pgisced97,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,Pre-primary Level,No,0.55598,449,449,0.50997,0.60199
2014,17-29 y.,Primary Level,No,0.98814,100,100,0.96682,1.00947
2014,17-29 y.,Lower Secondary Level,No,0.89849,900,900,0.87875,0.91823
2014,17-29 y.,Upper Secondary Level,Yes,0.02098,34,1704,0.01417,0.02779
2014,17-29 y.,Upper Secondary Level,No,0.97655,1670,1704,0.96936,0.98374
2014,17-29 y.,Post-secondary Non-tertiary Level,No,0.97662,236,236,0.95730,0.99594
2014,17-29 y.,First Stage of Tertiary Education,No,0.87868,53,53,0.78994,0.96743
2014,17-29 y.,Second Stage of Tertiary Education,No,0.98518,372,372,0.97288,0.99747
2014,30-45 y.,Primary Level,No,0.98520,202,202,0.96851,1.00190
2014,30-45 y.,Lower Secondary Level,No,0.98281,780,780,0.97369,0.99194
2014,30-45 y.,Upper Secondary Level,Yes,0.02404,60,3741,0.01913,0.02895
2014,30-45 y.,Upper Secondary Level,No,0.97596,3681,3741,0.97105,0.98087
2014,30-45 y.,Post-secondary Non-tertiary Level,Yes,0.02913,31,986,0.01862,0.03963
2014,30-45 y.,Post-secondary Non-tertiary Level,No,0.97087,955,986,0.96037,0.98138
2014,30-45 y.,First Stage of Tertiary Education,No,0.99767,433,433,0.99312,1.00222
2014,30-45 y.,Second Stage of Tertiary Education,Yes,0.02057,48,2260,0.01472,0.02642
2014,30-45 y.,Second Stage of Tertiary Education,No,0.97943,2212,2260,0.97358,0.98528
2014,46-65 y.,Primary Level,No,0.99202,148,148,0.97765,1.00640
2014,46-65 y.,Lower Secondary Level,No,0.99017,694,694,0.98283,0.99752
2014,46-65 y.,Upper Secondary Level,Yes,0.00573,38,4532,0.00353,0.00793
2014,46-65 y.,Upper Secondary Level,No,0.99427,4494,4532,0.99207,0.99647
2014,46-65 y.,Post-secondary Non-tertiary Level,No,0.98788,681,681,0.97966,0.99610
2014,46-65 y.,First Stage of Tertiary Education,No,0.99213,757,757,0.98583,0.99843
2014,46-65 y.,Second Stage of Tertiary Education,No,0.99227,2392,2392,0.98876,0.99578
2014,66 and older,Primary Level,No,0.95396,48,48,0.89404,1.01388
2014,66 and older,Upper Secondary Level,No,0.99890,2554,2554,0.99762,1.00019
2014,66 and older,First Stage of Tertiary Education,No,0.99802,341,341,0.99330,1.00275
2014,66 and older,Second Stage of Tertiary Education,No,0.99973,1164,1164,0.99878,1.00068
2015,17-29 y.,Pre-primary Level,No,0.53266,374,374,0.48202,0.58329
2015,17-29 y.,Primary Level,No,0.98361,113,113,0.96009,1.00712
2015,17-29 y.,Lower Secondary Level,No,0.88563,863,863,0.86439,0.90688
2015,17-29 y.,Upper Secondary Level,Yes,0.02610,41,1766,0.01866,0.03354
2015,17-29 y.,Upper Secondary Level,No,0.97044,1725,1766,0.96254,0.97834
2015,17-29 y.,Post-secondary Non-tertiary Level,No,0.97330,269,269,0.95400,0.99260
2015,17-29 y.,First Stage of Tertiary Education,No,0.91420,59,59,0.84212,0.98628
2015,17-29 y.,Second Stage of Tertiary Education,No,0.99622,500,500,0.99083,1.00160
2015,30-45 y.,Primary Level,No,0.99293,224,224,0.98193,1.00393
2015,30-45 y.,Lower Secondary Level,No,0.97012,754,754,0.95796,0.98228
2015,30-45 y.,Upper Secondary Level,Yes,0.02868,56,3457,0.02312,0.03424
