year,pgisced97,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Pre-primary Level,No,0.55598,449,449,0.50997,0.60199
2014,Primary Level,No,0.98181,498,498,0.97006,0.99356
2014,Lower Secondary Level,Yes,0.01249,45,3108,0.00858,0.01639
2014,Lower Secondary Level,No,0.96888,3063,3108,0.96278,0.97499
2014,Upper Secondary Level,Yes,0.01043,134,12533,0.00865,0.01220
2014,Upper Secondary Level,No,0.98922,12399,12533,0.98742,0.99103
2014,Post-secondary Non-tertiary Level,Yes,0.01967,49,2049,0.01365,0.02568
2014,Post-secondary Non-tertiary Level,No,0.98033,2000,2049,0.97432,0.98635
2014,First Stage of Tertiary Education,No,0.98976,1584,1584,0.98480,0.99472
2014,Second Stage of Tertiary Education,Yes,0.01098,87,6227,0.00839,0.01357
2014,Second Stage of Tertiary Education,No,0.98902,6140,6227,0.98643,0.99161
2015,Pre-primary Level,No,0.53310,375,375,0.48254,0.58367
2015,Primary Level,No,0.98978,525,525,0.98116,0.99839
2015,Lower Secondary Level,Yes,0.01313,33,2960,0.00903,0.01723
2015,Lower Secondary Level,No,0.96443,2927,2960,0.95775,0.97110
2015,Upper Secondary Level,Yes,0.01150,119,12161,0.00961,0.01340
2015,Upper Secondary Level,No,0.98802,12042,12161,0.98609,0.98995
2015,Post-secondary Non-tertiary Level,Yes,0.01674,37,2157,0.01133,0.02216
2015,Post-secondary Non-tertiary Level,No,0.98326,2120,2157,0.97784,0.98867
2015,First Stage of Tertiary Education,No,0.99132,1524,1524,0.98667,0.99598
2015,Second Stage of Tertiary Education,Yes,0.01201,68,6422,0.00935,0.01468
2015,Second Stage of Tertiary Education,No,0.98799,6354,6422,0.98532,0.99065
2016,Pre-primary Level,No,0.49384,358,358,0.44198,0.54570
2016,Primary Level,No,0.98492,1428,1428,0.97859,0.99124
2016,Lower Secondary Level,Yes,0.00730,35,3150,0.00433,0.01028
2016,Lower Secondary Level,No,0.96820,3115,3150,0.96207,0.97433
2016,Upper Secondary Level,Yes,0.00952,118,11529,0.00775,0.01129
2016,Upper Secondary Level,No,0.99014,11411,11529,0.98834,0.99194
2016,Post-secondary Non-tertiary Level,Yes,0.01988,43,2093,0.01390,0.02586
2016,Post-secondary Non-tertiary Level,No,0.98012,2050,2093,0.97414,0.98610
2016,First Stage of Tertiary Education,No,0.98642,1395,1395,0.98034,0.99249
2016,Second Stage of Tertiary Education,Yes,0.01130,100,6488,0.00872,0.01387
2016,Second Stage of Tertiary Education,No,0.98870,6388,6488,0.98613,0.99128
2017,Pre-primary Level,No,0.54572,425,425,0.49833,0.59312
2017,Primary Level,No,0.98763,1851,1851,0.98259,0.99266
2017,Lower Secondary Level,Yes,0.00887,36,3543,0.00578,0.01196
2017,Lower Secondary Level,No,0.97038,3507,3543,0.96480,0.97597
2017,Upper Secondary Level,Yes,0.00755,123,12735,0.00605,0.00906
2017,Upper Secondary Level,No,0.99209,12612,12735,0.99055,0.99363
2017,Post-secondary Non-tertiary Level,Yes,0.01787,46,2314,0.01247,0.02327
2017,Post-secondary Non-tertiary Level,No,0.98213,2268,2314,0.97673,0.98753
2017,First Stage of Tertiary Education,No,0.99367,1529,1529,0.98970,0.99765
2017,Second Stage of Tertiary Education,Yes,0.01555,122,7249,0.01270,0.01840
2017,Second Stage of Tertiary Education,No,0.98444,7127,7249,0.98159,0.98729
2018,Pre-primary Level,No,0.54247,357,357,0.49072,0.59423
2018,Primary Level,Yes,0.01587,39,1769,0.01005,0.02170
2018,Primary Level,No,0.97833,1730,1769,0.97154,0.98512
2018,Lower Secondary Level,Yes,0.01135,48,3421,0.00780,0.01490
2018,Lower Secondary Level,No,0.96747,3373,3421,0.96152,0.97341
2018,Upper Secondary Level,Yes,0.00693,108,12132,0.00545,0.00840
2018,Upper Secondary Level,No,0.99282,12024,12132,0.99132,0.99433
2018,Post-secondary Non-tertiary Level,Yes,0.01642,37,2215,0.01113,0.02171
2018,Post-secondary Non-tertiary Level,No,0.98358,2178,2215,0.97829,0.98887
2018,First Stage of Tertiary Education,No,0.98796,1440,1440,0.98232,0.99359
2018,Second Stage of Tertiary Education,Yes,0.01123,97,6975,0.00875,0.01370
2018,Second Stage of Tertiary Education,No,0.98869,6878,6975,0.98620,0.99117
2019,Pre-primary Level,No,0.59763,335,335,0.54504,0.65022
2019,Primary Level,No,0.96890,1640,1640,0.96049,0.97730
2019,Lower Secondary Level,Yes,0.00834,35,3088,0.00513,0.01154
2019,Lower Secondary Level,No,0.96084,3053,3088,0.95399,0.96768
2019,Upper Secondary Level,Yes,0.00698,105,11677,0.00547,0.00848
2019,Upper Secondary Level,No,0.99275,11572,11677,0.99121,0.99429
2019,Post-secondary Non-tertiary Level,Yes,0.01277,39,2260,0.00814,0.01740
2019,Post-secondary Non-tertiary Level,No,0.98723,2221,2260,0.98260,0.99186
2019,First Stage of Tertiary Education,No,0.98138,1654,1654,0.97487,0.98790
2019,Second Stage of Tertiary Education,Yes,0.00998,90,7584,0.00775,0.01222
2019,Second Stage of Tertiary Education,No,0.98999,7494,7584,0.98775,0.99223
2020,Pre-primary Level,No,0.47905,363,363,0.42759,0.53051
2020,Primary Level,No,0.99779,1800,1800,0.99562,0.99996
2020,Lower Secondary Level,Yes,0.00916,34,3223,0.00587,0.01245
2020,Lower Secondary Level,No,0.96968,3189,3223,0.96376,0.97560
2020,Upper Secondary Level,Yes,0.00584,98,11362,0.00444,0.00724
2020,Upper Secondary Level,No,0.99336,11264,11362,0.99186,0.99485
2020,Post-secondary Non-tertiary Level,Yes,0.01899,42,2362,0.01349,0.02450
2020,Post-secondary Non-tertiary Level,No,0.98099,2320,2362,0.97549,0.98650
2020,First Stage of Tertiary Education,No,0.99456,1462,1462,0.99078,0.99833
2020,Second Stage of Tertiary Education,Yes,0.01205,99,7761,0.00962,0.01447
2020,Second Stage of Tertiary Education,No,0.98792,7662,7761,0.98549,0.99035
2021,Pre-primary Level,No,0.51071,197,197,0.44073,0.58070
2021,Primary Level,No,0.99063,1015,1015,0.98470,0.99656
2021,Lower Secondary Level,No,0.95902,1798,1798,0.94986,0.96819
2021,Upper Secondary Level,Yes,0.00570,68,7375,0.00398,0.00742
2021,Upper Secondary Level,No,0.98983,7307,7375,0.98755,0.99212
2021,Post-secondary Non-tertiary Level,No,0.98448,1572,1572,0.97837,0.99059
2021,First Stage of Tertiary Education,No,0.98347,992,992,0.97553,0.99140
2021,Second Stage of Tertiary Education,Yes,0.01064,81,5694,0.00797,0.01330
2021,Second Stage of Tertiary Education,No,0.98799,5613,5694,0.98516,0.99082
