year,age_gr,quintil_oecd,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,1st Quintile,No,0.92435,1432,1432,0.91064,0.93805
2014,17-29 y.,2nd Quintile,No,0.88924,863,863,0.86829,0.91019
2014,17-29 y.,3rd Quintile,No,0.91399,742,742,0.89381,0.93418
2014,17-29 y.,4th Quintile,No,0.93350,715,715,0.91523,0.95178
2014,17-29 y.,5th Quintile,No,0.88636,460,460,0.85732,0.91539
2014,30-45 y.,1st Quintile,Yes,0.02643,54,1891,0.01920,0.03366
2014,30-45 y.,1st Quintile,No,0.97357,1837,1891,0.96634,0.98080
2014,30-45 y.,2nd Quintile,Yes,0.02753,41,1928,0.02023,0.03484
2014,30-45 y.,2nd Quintile,No,0.97247,1887,1928,0.96516,0.97977
2014,30-45 y.,3rd Quintile,No,0.98069,1679,1679,0.97410,0.98727
2014,30-45 y.,4th Quintile,No,0.98292,1536,1536,0.97644,0.98941
2014,30-45 y.,5th Quintile,No,0.98082,1416,1416,0.97367,0.98797
2014,46-65 y.,1st Quintile,No,0.99368,1628,1628,0.98983,0.99753
2014,46-65 y.,2nd Quintile,No,0.98794,1432,1432,0.98228,0.99359
2014,46-65 y.,3rd Quintile,No,0.99642,1652,1652,0.99354,0.99930
2014,46-65 y.,4th Quintile,No,0.99186,1948,1948,0.98787,0.99585
2014,46-65 y.,5th Quintile,No,0.99368,2559,2559,0.99061,0.99675
2014,66 and older,2nd Quintile,No,0.99797,1264,1264,0.99549,1.00045
2014,66 and older,5th Quintile,No,0.99440,913,913,0.98956,0.99924
2015,17-29 y.,1st Quintile,No,0.91836,1230,1230,0.90305,0.93367
2015,17-29 y.,2nd Quintile,No,0.90082,853,853,0.88074,0.92089
2015,17-29 y.,3rd Quintile,No,0.89552,740,740,0.87347,0.91758
2015,17-29 y.,4th Quintile,No,0.92268,616,616,0.90157,0.94379
2015,17-29 y.,5th Quintile,No,0.91104,439,439,0.88438,0.93770
2015,30-45 y.,1st Quintile,Yes,0.04541,46,1582,0.03515,0.05568
2015,30-45 y.,1st Quintile,No,0.95459,1536,1582,0.94432,0.96485
2015,30-45 y.,2nd Quintile,No,0.97723,1633,1633,0.96999,0.98447
2015,30-45 y.,3rd Quintile,Yes,0.03957,31,1536,0.02982,0.04932
2015,30-45 y.,3rd Quintile,No,0.96043,1505,1536,0.95068,0.97018
2015,30-45 y.,4th Quintile,No,0.98287,1342,1342,0.97593,0.98982
2015,30-45 y.,5th Quintile,No,0.98465,1225,1225,0.97777,0.99154
2015,46-65 y.,1st Quintile,No,0.98984,1466,1466,0.98471,0.99498
2015,46-65 y.,2nd Quintile,No,0.99352,1467,1467,0.98941,0.99762
2015,46-65 y.,3rd Quintile,No,0.99325,1551,1551,0.98917,0.99732
2015,46-65 y.,4th Quintile,No,0.99720,1892,1892,0.99481,0.99958
2015,46-65 y.,5th Quintile,No,0.99525,2465,2465,0.99253,0.99796
2015,66 and older,2nd Quintile,No,0.99822,1288,1288,0.99592,1.00052
2015,66 and older,4th Quintile,No,0.99361,884,884,0.98835,0.99886
2016,17-29 y.,1st Quintile,No,0.92489,1263,1263,0.91034,0.93943
