year,pli0097_h,bula_h,migback,proportion,n,lower_confidence,upper_confidence
1985,At least once per week,Bavaria,No migration background,0.1568627450980392,14443,0.15093162919461095,0.16279386100146748
1985,At least once per week,North Rhine-Westphalia,No migration background,0.13725490196078433,14443,0.13164270960508662,0.14286709431648204
1985,At least once per week,"Rhineland-Palatinate, Saarland",No migration background,0.13725490196078433,14443,0.13164270960508662,0.14286709431648204
1985,At least once per week,Lower Saxony,No migration background,0.12745098039215685,14443,0.12201229579853114,0.13288966498578256
1985,At least once per week,Baden-Wuerttemberg,No migration background,0.12745098039215685,14443,0.12201229579853114,0.13288966498578256
1985,At least once per week,Hesse,No migration background,0.11764705882352941,14443,0.11239246595927178,0.12290165168778704
1985,At least once per week,North Rhine-Westphalia,Direct migration background,0.0392156862745098,14443,0.03604998283938556,0.042381389709634044
1985,At least once per week,Bavaria,Direct migration background,0.0392156862745098,14443,0.03604998283938556,0.042381389709634044
1985,At least once per week,Schleswig-Holstein,No migration background,0.0196078431372549,14443,0.017346626397880444,0.02186905987662936
1985,At least once per week,Hamburg,No migration background,0.0196078431372549,14443,0.017346626397880444,0.02186905987662936
1985,At least once per week,Hesse,Direct migration background,0.0196078431372549,14443,0.017346626397880444,0.02186905987662936
1985,At least once per week,Berlin,No migration background,0.0196078431372549,14443,0.017346626397880444,0.02186905987662936
1985,At least once per week,Baden-Wuerttemberg,Direct migration background,0.00980392156862745,14443,0.008197025157241276,0.011410817980013626
1985,At least once per week,Bremen,No migration background,0.00980392156862745,14443,0.008197025157241276,0.011410817980013626
1985,At least once per week,Schleswig-Holstein,Direct migration background,0.00980392156862745,14443,0.008197025157241276,0.011410817980013626
1985,At least once per week,Hamburg,Direct migration background,0.00980392156862745,14443,0.008197025157241276,0.011410817980013626
1985,At least once per month,North Rhine-Westphalia,No migration background,0.24120603015075376,14443,0.2342287946531185,0.24818326564838902
1985,At least once per month,Bavaria,No migration background,0.18090452261306533,14443,0.17462655108271902,0.18718249414341165
1985,At least once per month,Hesse,No migration background,0.09547738693467336,14443,0.090684608611547,0.10027016525779973
1985,At least once per month,Lower Saxony,No migration background,0.09547738693467336,14443,0.090684608611547,0.10027016525779973
1985,At least once per month,"Rhineland-Palatinate, Saarland",No migration background,0.08040201005025126,14443,0.07596735518746496,0.08483666491303755
1985,At least once per month,Baden-Wuerttemberg,No migration background,0.07035175879396985,14443,0.06618091263395691,0.07452260495398279
1985,At least once per month,Schleswig-Holstein,No migration background,0.06030150753768844,14443,0.05641923771951401,0.06418377735586288
1985,At least once per month,Bavaria,Direct migration background,0.04522613065326633,14443,0.04183712460025978,0.048615136706272884
1985,At least once per month,Berlin,No migration background,0.035175879396984924,14443,0.03217136753009028,0.03818039126387957
1985,At least once per month,North Rhine-Westphalia,Direct migration background,0.03015075376884422,14443,0.02736188185248342,0.032939625685205025
1985,At least once per month,Hamburg,No migration background,0.020100502512562814,14443,0.017811630068521628,0.022389374956604
1985,At least once per month,Baden-Wuerttemberg,Direct migration background,0.010050251256281407,14443,0.008423495319925532,0.011677007192637283
1985,At least once per month,Schleswig-Holstein,Direct migration background,0.010050251256281407,14443,0.008423495319925532,0.011677007192637283
1985,At least once per month,Berlin,Direct migration background,0.010050251256281407,14443,0.008423495319925532,0.011677007192637283
1985,At least once per month,Bremen,Direct migration background,0.005025125628140704,14443,0.003871919651649329,0.006178331604632078
1985,At least once per month,"Rhineland-Palatinate, Saarland",Direct migration background,0.005025125628140704,14443,0.003871919651649329,0.006178331604632078
1985,At least once per month,Baden-Wuerttemberg,Indirect migration background,0.005025125628140704,14443,0.003871919651649329,0.006178331604632078
1985,Seldom,North Rhine-Westphalia,No migration background,0.27111984282907664,14443,0.26386987496724623,0.27836981069090705
1985,Seldom,Bavaria,No migration background,0.16306483300589392,14443,0.15703988325551155,0.16908978275627629
1985,Seldom,Baden-Wuerttemberg,No migration background,0.11591355599214145,14443,0.11069269841370082,0.12113441357058209
1985,Seldom,Hesse,No migration background,0.08644400785854617,14443,0.08186087551632665,0.09102714020076569
1985,Seldom,Lower Saxony,No migration background,0.08447937131630648,14443,0.07994375018980661,0.08901499244280635
1985,Seldom,"Rhineland-Palatinate, Saarland",No migration background,0.07269155206286837,14443,0.06845725381564674,0.07692585031009
1985,Seldom,North Rhine-Westphalia,Direct migration background,0.03929273084479371,14443,0.036124046262073266,0.04246141542751416
1985,Seldom,Schleswig-Holstein,No migration background,0.03536345776031434,14443,0.03235123849369985,0.03837567702692883
1985,Seldom,Berlin,No migration background,0.021611001964636542,14443,0.019239515788782458,0.023982488140490626
1985,Seldom,Baden-Wuerttemberg,Direct migration background,0.019646365422396856,14443,0.01738297300715856,0.02190975783763515
1985,Seldom,Bavaria,Direct migration background,0.01768172888015717,14443,0.015532335830063726,0.019831121930250613
1985,Seldom,Hesse,Direct migration background,0.015717092337917484,14443,0.013688599681395826,0.017745584994439144
1985,Seldom,Lower Saxony,Direct migration background,0.011787819253438114,14443,0.010027590134508282,0.013548048372367946
1985,Seldom,Bremen,No migration background,0.009823182711198428,14443,0.008214724234605886,0.01143164118779097
1985,Seldom,Berlin,Direct migration background,0.009823182711198428,14443,0.008214724234605886,0.01143164118779097
1985,Seldom,Hamburg,No migration background,0.005893909626719057,14443,0.004645533458838627,0.007142285794599487
1985,Seldom,Hamburg,Direct migration background,0.005893909626719057,14443,0.004645533458838627,0.007142285794599487
1985,Seldom,Bavaria,Indirect migration background,0.003929273084479371,14443,0.002908971500462495,0.004949574668496247
1985,Seldom,Baden-Wuerttemberg,Indirect migration background,0.003929273084479371,14443,0.002908971500462495,0.004949574668496247
