year,age_gr,pgisced97,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,No answer / don't know,Never,0.92843,54,54,0.85903,0.99783
1985,17-29 y.,Pre-primary Level,Never,0.92260,174,174,0.88278,0.96242
1985,17-29 y.,Primary Level,Never,0.99723,158,158,0.98900,1.00545
1985,17-29 y.,Lower Secondary Level,Seldom,0.04574,32,930,0.03231,0.05918
1985,17-29 y.,Lower Secondary Level,Never,0.92751,898,930,0.91083,0.94418
1985,17-29 y.,Upper Secondary Level,Seldom,0.06903,89,1387,0.05568,0.08237
1985,17-29 y.,Upper Secondary Level,Never,0.91124,1298,1387,0.89627,0.92621
1985,17-29 y.,Post-secondary Non-tertiary Level,Never,0.75720,82,82,0.66383,0.85058
1985,17-29 y.,First Stage of Tertiary Education,Never,0.85460,97,97,0.78408,0.92511
1985,17-29 y.,Second Stage of Tertiary Education,Never,0.84992,101,101,0.77992,0.91992
1985,30-45 y.,Primary Level,Never,0.97485,309,309,0.95737,0.99234
1985,30-45 y.,Lower Secondary Level,Never,0.94502,638,638,0.92731,0.96272
1985,30-45 y.,Upper Secondary Level,At least once per month,0.02046,33,1721,0.01377,0.02715
1985,30-45 y.,Upper Secondary Level,Seldom,0.05527,87,1721,0.04447,0.06607
1985,30-45 y.,Upper Secondary Level,Never,0.91324,1601,1721,0.89994,0.92655
1985,30-45 y.,Post-secondary Non-tertiary Level,Never,0.82455,74,74,0.73730,0.91180
1985,30-45 y.,First Stage of Tertiary Education,Never,0.84828,195,195,0.79779,0.89876
1985,30-45 y.,Second Stage of Tertiary Education,Seldom,0.16780,58,327,0.12723,0.20837
1985,30-45 y.,Second Stage of Tertiary Education,Never,0.73973,269,327,0.69210,0.78736
1985,46-65 y.,Primary Level,Never,0.96615,328,328,0.94655,0.98575
1985,46-65 y.,Lower Secondary Level,Never,0.96668,950,950,0.95526,0.97810
1985,46-65 y.,Upper Secondary Level,At least once per month,0.02991,39,1436,0.02110,0.03873
1985,46-65 y.,Upper Secondary Level,Seldom,0.04643,70,1436,0.03555,0.05732
