"pli0097_h","year","bildungsniveau","n","percent","lower_confidence","upper_confidence","NA"
"Taeglich","1985","(noch) kein Abschluss","","","","",""
"Taeglich","1985","Hauptschule","","","","",""
"Taeglich","1985","Realschule","","","","",""
"Taeglich","1985","(Fach-)Abitur","","","","",""
"Taeglich","1985","AkademikerIn","","","","",""
"Min 1x pro Woche","1985","(noch) kein Abschluss","4","","","",""
"Min 1x pro Woche","1985","Hauptschule","36","0.00541224698188054","0.00360612086686905","0.00721837309689204",""
"Min 1x pro Woche","1985","Realschule","22","","","",""
"Min 1x pro Woche","1985","(Fach-)Abitur","17","","","",""
"Min 1x pro Woche","1985","AkademikerIn","23","","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","4","","","",""
"Min 1x pro Monat","1985","Hauptschule","94","0.0154970540437451","0.0124563734740082","0.0185377346134821",""
"Min 1x pro Monat","1985","Realschule","38","0.0215487506412264","0.0148276779872741","0.0282698232951787",""
"Min 1x pro Monat","1985","(Fach-)Abitur","23","","","",""
"Min 1x pro Monat","1985","AkademikerIn","39","0.0510942305512136","0.035293536913739","0.0668949241886883",""
"Seltener","1985","(noch) kein Abschluss","22","","","",""
"Seltener","1985","Hauptschule","197","0.0323003767007113","0.0279481471361871","0.0366526062652356",""
"Seltener","1985","Realschule","121","0.0672807109982221","0.0556854985158327","0.0788759234806116",""
"Seltener","1985","(Fach-)Abitur","81","0.115826210697257","0.0932812307628142","0.138371190631699",""
"Seltener","1985","AkademikerIn","90","0.120430402612986","0.097075296161706","0.143785509064266",""
"Nie","1985","(noch) kein Abschluss","1046","0.954418368977044","0.941955837144531","0.966880900809556",""
"Nie","1985","Hauptschule","6012","0.946790322273663","0.941264970478488","0.952315674068838",""
"Nie","1985","Realschule","1612","0.898575286808097","0.884601726440753","0.91254884717544",""
"Nie","1985","(Fach-)Abitur","653","0.821696896948542","0.794731123293811","0.848662670603273",""
"Nie","1985","AkademikerIn","594","0.796829231751313","0.767956231302759","0.825702232199867",""
"Taeglich","1986","(noch) kein Abschluss","","","","",""
"Taeglich","1986","Hauptschule","","","","",""
"Taeglich","1986","Realschule","","","","",""
"Taeglich","1986","(Fach-)Abitur","","","","",""
"Taeglich","1986","AkademikerIn","","","","",""
"Min 1x pro Woche","1986","(noch) kein Abschluss","4","","","",""
"Min 1x pro Woche","1986","Hauptschule","45","0.00755985551505918","0.00536833678412117","0.00975137424599718",""
"Min 1x pro Woche","1986","Realschule","12","","","",""
"Min 1x pro Woche","1986","(Fach-)Abitur","14","","","",""
"Min 1x pro Woche","1986","AkademikerIn","21","","","",""
"Min 1x pro Monat","1986","(noch) kein Abschluss","5","","","",""
"Min 1x pro Monat","1986","Hauptschule","92","0.0176217569505091","0.014292860785598","0.0209506531154201",""
"Min 1x pro Monat","1986","Realschule","21","","","",""
"Min 1x pro Monat","1986","(Fach-)Abitur","26","","","",""
"Min 1x pro Monat","1986","AkademikerIn","24","","","",""
"Seltener","1986","(noch) kein Abschluss","16","","","",""
"Seltener","1986","Hauptschule","199","0.0339055542130346","0.0293264398080471","0.0384846686180222",""
"Seltener","1986","Realschule","114","0.0629461524285452","0.0515965136406181","0.0742957912164724",""
"Seltener","1986","(Fach-)Abitur","74","0.109677588509193","0.0880910627640124","0.131264114254373",""
"Seltener","1986","AkademikerIn","94","0.128362674930327","0.10427880483593","0.152446545024725",""
"Nie","1986","(noch) kein Abschluss","990","0.971135792261529","0.960835848081736","0.981435736441322",""
"Nie","1986","Hauptschule","5665","0.940912833321397","0.934947186257167","0.946878480385627",""
"Nie","1986","Realschule","1612","0.918030176196406","0.905210689070447","0.930849663322366",""
"Nie","1986","(Fach-)Abitur","691","0.832729113226686","0.806947374396378","0.858510852056994",""
"Nie","1986","AkademikerIn","602","0.810612733506774","0.782401564306472","0.838823902707076",""
"Taeglich","1987","(noch) kein Abschluss","","","","",""
"Taeglich","1987","Hauptschule","","","","",""
"Taeglich","1987","Realschule","","","","",""
"Taeglich","1987","(Fach-)Abitur","","","","",""
"Taeglich","1987","AkademikerIn","","","","",""
"Min 1x pro Woche","1987","(noch) kein Abschluss","","","","",""
"Min 1x pro Woche","1987","Hauptschule","","","","",""
"Min 1x pro Woche","1987","Realschule","","","","",""
"Min 1x pro Woche","1987","(Fach-)Abitur","","","","",""
"Min 1x pro Woche","1987","AkademikerIn","","","","",""
"Min 1x pro Monat","1987","(noch) kein Abschluss","","","","",""
"Min 1x pro Monat","1987","Hauptschule","","","","",""
"Min 1x pro Monat","1987","Realschule","","","","",""
"Min 1x pro Monat","1987","(Fach-)Abitur","","","","",""
"Min 1x pro Monat","1987","AkademikerIn","","","","",""
"Seltener","1987","(noch) kein Abschluss","","","","",""
"Seltener","1987","Hauptschule","","","","",""
"Seltener","1987","Realschule","","","","",""
"Seltener","1987","(Fach-)Abitur","","","","",""
"Seltener","1987","AkademikerIn","","","","",""
"Nie","1987","(noch) kein Abschluss","","","","",""
"Nie","1987","Hauptschule","","","","",""
"Nie","1987","Realschule","","","","",""
"Nie","1987","(Fach-)Abitur","","","","",""
"Nie","1987","AkademikerIn","","","","",""
"Taeglich","1988","(noch) kein Abschluss","","","","",""
"Taeglich","1988","Hauptschule","","","","",""
"Taeglich","1988","Realschule","","","","",""
"Taeglich","1988","(Fach-)Abitur","","","","",""
"Taeglich","1988","AkademikerIn","","","","",""
"Min 1x pro Woche","1988","(noch) kein Abschluss","2","","","",""
"Min 1x pro Woche","1988","Hauptschule","32","0.0053571049132729","0.00345625948721014","0.00725795033933566",""
"Min 1x pro Woche","1988","Realschule","12","","","",""
"Min 1x pro Woche","1988","(Fach-)Abitur","9","","","",""
"Min 1x pro Woche","1988","AkademikerIn","14","","","",""
"Min 1x pro Monat","1988","(noch) kein Abschluss","1","","","",""
"Min 1x pro Monat","1988","Hauptschule","57","0.0109502919716006","0.00824028727832278","0.0136602966648783",""
"Min 1x pro Monat","1988","Realschule","23","","","",""
"Min 1x pro Monat","1988","(Fach-)Abitur","16","","","",""
"Min 1x pro Monat","1988","AkademikerIn","27","","","",""
"Seltener","1988","(noch) kein Abschluss","18","","","",""
"Seltener","1988","Hauptschule","194","0.0373869148181233","0.0324468365624629","0.0423269930737837",""
"Seltener","1988","Realschule","107","0.0679509381381907","0.0559525790873589","0.0799492971890225",""
"Seltener","1988","(Fach-)Abitur","72","0.0963902122189632","0.0750106168262294","0.117769807611697",""
"Seltener","1988","AkademikerIn","112","0.155090157367391","0.128254835654103","0.181925479080678",""
"Nie","1988","(noch) kein Abschluss","880","0.96653198852616","0.954788185289508","0.978275791762811",""
"Nie","1988","Hauptschule","5382","0.946305688297003","0.940435824838336","0.952175551755671",""
"Nie","1988","Realschule","1548","0.912014424116452","0.898508903422711","0.925519944810193",""
"Nie","1988","(Fach-)Abitur","635","0.858012610313286","0.832727533724877","0.883297686901694",""
"Nie","1988","AkademikerIn","546","0.7825451986911","0.751964407362918","0.813125990019282",""
"Taeglich","1989","(noch) kein Abschluss","","","","",""
"Taeglich","1989","Hauptschule","","","","",""
"Taeglich","1989","Realschule","","","","",""
"Taeglich","1989","(Fach-)Abitur","","","","",""
"Taeglich","1989","AkademikerIn","","","","",""
"Min 1x pro Woche","1989","(noch) kein Abschluss","","","","",""
"Min 1x pro Woche","1989","Hauptschule","","","","",""
"Min 1x pro Woche","1989","Realschule","","","","",""
"Min 1x pro Woche","1989","(Fach-)Abitur","","","","",""
"Min 1x pro Woche","1989","AkademikerIn","","","","",""
"Min 1x pro Monat","1989","(noch) kein Abschluss","","","","",""
"Min 1x pro Monat","1989","Hauptschule","","","","",""
"Min 1x pro Monat","1989","Realschule","","","","",""
"Min 1x pro Monat","1989","(Fach-)Abitur","","","","",""
"Min 1x pro Monat","1989","AkademikerIn","","","","",""
