year,age_gr,regtyp,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,At least once per month,0.01627,34,2446,0.01126,0.02129
1985,17-29 y.,Urban regions,Seldom,0.07085,145,2446,0.06068,0.08102
1985,17-29 y.,Urban regions,Never,0.89337,2267,2446,0.88114,0.90561
1985,17-29 y.,Rural regions,Never,0.92066,595,595,0.89892,0.94239
1985,30-45 y.,Urban regions,At least once per month,0.02614,62,2694,0.02011,0.03217
1985,30-45 y.,Urban regions,Seldom,0.05928,135,2694,0.05036,0.06820
1985,30-45 y.,Urban regions,Never,0.89066,2497,2694,0.87887,0.90245
1985,30-45 y.,Rural regions,Seldom,0.09455,59,680,0.07254,0.11656
1985,30-45 y.,Rural regions,Never,0.84160,621,680,0.81414,0.86907
1985,46-65 y.,Urban regions,At least once per month,0.02376,51,2554,0.01785,0.02967
1985,46-65 y.,Urban regions,Seldom,0.03862,96,2554,0.03114,0.04609
1985,46-65 y.,Urban regions,Never,0.91000,2407,2554,0.89890,0.92110
1985,46-65 y.,Rural regions,Seldom,0.05353,33,645,0.03615,0.07092
1985,46-65 y.,Rural regions,Never,0.88243,612,645,0.85755,0.90731
1985,66 and older,Urban regions,Never,0.94848,775,775,0.93290,0.96405
1985,66 and older,Rural regions,Never,0.96428,277,277,0.94239,0.98618
1986,17-29 y.,Urban regions,At least once per month,0.02000,35,2391,0.01439,0.02561
1986,17-29 y.,Urban regions,Seldom,0.06372,123,2391,0.05392,0.07351
1986,17-29 y.,Urban regions,Never,0.90555,2233,2391,0.89383,0.91728
1986,17-29 y.,Rural regions,Seldom,0.05555,34,615,0.03743,0.07366
1986,17-29 y.,Rural regions,Never,0.91220,581,615,0.88981,0.93458
1986,30-45 y.,Urban regions,At least once per week,0.01412,33,2573,0.00956,0.01868
1986,30-45 y.,Urban regions,At least once per month,0.02193,48,2573,0.01627,0.02759
1986,30-45 y.,Urban regions,Seldom,0.07026,144,2573,0.06038,0.08013
1986,30-45 y.,Urban regions,Never,0.88424,2348,2573,0.87187,0.89660
1986,30-45 y.,Rural regions,Seldom,0.07218,43,648,0.05224,0.09212
1986,30-45 y.,Rural regions,Never,0.88537,605,648,0.86082,0.90991
1986,46-65 y.,Urban regions,At least once per month,0.01710,37,2498,0.01201,0.02218
1986,46-65 y.,Urban regions,Seldom,0.05115,117,2498,0.04251,0.05979
1986,46-65 y.,Urban regions,Never,0.90040,2344,2498,0.88866,0.91215
1986,46-65 y.,Rural regions,Never,0.88769,594,594,0.86227,0.91310
1986,66 and older,Urban regions,Never,0.95903,733,733,0.94467,0.97339
1986,66 and older,Rural regions,Never,0.95953,252,252,0.93515,0.98391
1988,17-29 y.,Urban regions,Seldom,0.05729,101,2265,0.04772,0.06686
1988,17-29 y.,Urban regions,Never,0.92497,2164,2265,0.91412,0.93582
1988,17-29 y.,Rural regions,Never,0.93643,534,534,0.91572,0.95715
1988,30-45 y.,Urban regions,At least once per month,0.01744,32,2293,0.01208,0.02280
1988,30-45 y.,Urban regions,Seldom,0.08084,148,2293,0.06968,0.09199
1988,30-45 y.,Urban regions,Never,0.88085,2113,2293,0.86758,0.89411
1988,30-45 y.,Rural regions,Seldom,0.07055,42,589,0.04985,0.09125
1988,30-45 y.,Rural regions,Never,0.87588,547,589,0.84923,0.90253
1988,46-65 y.,Urban regions,At least once per month,0.01580,35,2430,0.01084,0.02076
1988,46-65 y.,Urban regions,Seldom,0.05780,127,2430,0.04852,0.06708
1988,46-65 y.,Urban regions,Never,0.89841,2268,2430,0.88639,0.91042
1988,46-65 y.,Rural regions,Seldom,0.07473,43,595,0.05359,0.09588
1988,46-65 y.,Rural regions,Never,0.87429,552,595,0.84763,0.90095
1988,66 and older,Urban regions,Never,0.95672,750,750,0.94215,0.97129
1988,66 and older,Rural regions,Never,0.93233,234,234,0.90008,0.96458
1990,17-29 y.,Urban regions,At least once per month,0.02101,40,2484,0.01537,0.02665
1990,17-29 y.,Urban regions,Seldom,0.10880,221,2484,0.09655,0.12105
1990,17-29 y.,Urban regions,Never,0.85751,2223,2484,0.84376,0.87126
1990,17-29 y.,Rural regions,At least once per month,0.02704,36,1290,0.01819,0.03590
1990,17-29 y.,Rural regions,Seldom,0.12526,150,1290,0.10719,0.14333
1990,17-29 y.,Rural regions,Never,0.83052,1104,1290,0.81004,0.85101
1990,30-45 y.,Urban regions,At least once per week,0.01665,38,2718,0.01184,0.02146
1990,30-45 y.,Urban regions,At least once per month,0.02720,77,2718,0.02108,0.03332
1990,30-45 y.,Urban regions,Seldom,0.17053,386,2718,0.15638,0.18467
1990,30-45 y.,Urban regions,Never,0.78142,2217,2718,0.76588,0.79696
1990,30-45 y.,Rural regions,At least once per week,0.01931,37,1500,0.01234,0.02627
1990,30-45 y.,Rural regions,At least once per month,0.04421,72,1500,0.03381,0.05462
1990,30-45 y.,Rural regions,Seldom,0.15141,215,1500,0.13326,0.16956
1990,30-45 y.,Rural regions,Never,0.77237,1176,1500,0.75115,0.79360
1990,46-65 y.,Urban regions,At least once per week,0.01446,38,2758,0.01001,0.01892
1990,46-65 y.,Urban regions,At least once per month,0.03879,94,2758,0.03158,0.04600
1990,46-65 y.,Urban regions,Seldom,0.12165,297,2758,0.10945,0.13385
1990,46-65 y.,Urban regions,Never,0.81698,2329,2758,0.80254,0.83141
1990,46-65 y.,Rural regions,At least once per week,0.03193,46,1420,0.02278,0.04107
1990,46-65 y.,Rural regions,At least once per month,0.05316,85,1420,0.04149,0.06483
1990,46-65 y.,Rural regions,Seldom,0.14425,180,1420,0.12597,0.16253
1990,46-65 y.,Rural regions,Never,0.75779,1109,1420,0.73549,0.78008
1990,66 and older,Urban regions,Seldom,0.06468,63,883,0.04845,0.08092
1990,66 and older,Urban regions,Never,0.90514,820,883,0.88581,0.92448
1990,66 and older,Rural regions,Never,0.88832,475,475,0.85996,0.91667
1992,17-29 y.,Urban regions,Seldom,0.04503,94,2319,0.03658,0.05347
1992,17-29 y.,Urban regions,Never,0.93776,2225,2319,0.92793,0.94760
1992,17-29 y.,Rural regions,Seldom,0.05910,67,1146,0.04544,0.07276
1992,17-29 y.,Rural regions,Never,0.91986,1079,1146,0.90413,0.93558
1992,30-45 y.,Urban regions,At least once per month,0.01755,39,2666,0.01257,0.02254
1992,30-45 y.,Urban regions,Seldom,0.07464,176,2666,0.06466,0.08461
1992,30-45 y.,Urban regions,Never,0.88854,2451,2666,0.87659,0.90049
1992,30-45 y.,Rural regions,At least once per month,0.02743,41,1447,0.01901,0.03585
1992,30-45 y.,Rural regions,Seldom,0.08715,125,1447,0.07261,0.10169
1992,30-45 y.,Rural regions,Never,0.86401,1281,1447,0.84634,0.88168
