,Unnamed: 0,year,migback,sex,pli0097_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,No migration background,male,At least once per week,0.01781,70,10784,0.01665,0.019
1,1,1985,No migration background,male,At least once per month,0.02967,114,10784,0.02829,0.03099
2,2,1985,No migration background,male,Seldom,0.07189,279,10784,0.06938,0.07381
3,3,1985,No migration background,male,Never,0.88063,3292,10784,0.8728,0.88943
4,4,1985,No migration background,female,At least once per month,0.01319,61,10784,0.01216,0.01412
5,5,1985,No migration background,female,Seldom,0.03735,167,10784,0.03583,0.03938
6,6,1985,No migration background,female,Never,0.94946,3857,10784,0.93876,0.95918
7,7,1985,Direct migration background,male,Seldom,0.03698,42,10784,0.025,0.05098
8,8,1985,Direct migration background,male,Never,0.96302,1453,10784,0.89448,1.01732
9,9,1985,Direct migration background,female,Never,1.0,1317,10784,0.93402,1.05779
10,10,1985,Indirect migration background,male,Never,1.0,60,10784,0.69144,1.36671
11,11,1985,Indirect migration background,female,Never,1.0,72,10784,0.73447,1.28734
12,12,1986,No migration background,male,At least once per week,0.01639,60,10370,0.0154,0.01755
13,13,1986,No migration background,male,At least once per month,0.0293,103,10370,0.02734,0.03124
14,14,1986,No migration background,male,Seldom,0.07294,263,10370,0.07051,0.075
15,15,1986,No migration background,male,Never,0.88138,3178,10370,0.87166,0.89162
16,16,1986,No migration background,female,At least once per month,0.01107,48,10370,0.00975,0.01239
17,17,1986,No migration background,female,Seldom,0.03848,163,10370,0.03633,0.04052
18,18,1986,No migration background,female,Never,0.95045,3672,10370,0.93873,0.96135
19,19,1986,Direct migration background,male,Seldom,0.03829,43,10370,0.0265,0.05073
20,20,1986,Direct migration background,male,Never,0.96171,1429,10370,0.90794,1.02418
21,21,1986,Direct migration background,female,Never,1.0,1268,10370,0.95314,1.06835
22,22,1986,Indirect migration background,male,Never,1.0,64,10370,0.69219,1.36848
23,23,1986,Indirect migration background,female,Never,1.0,79,10370,0.70648,1.3214
24,24,1988,No migration background,male,At least once per week,0.01314,45,9772,0.01179,0.01467
25,25,1988,No migration background,male,At least once per month,0.02386,79,9772,0.02216,0.02583
26,26,1988,No migration background,male,Seldom,0.08264,283,9772,0.07966,0.08606
27,27,1988,No migration background,male,Never,0.88036,2974,9772,0.8681,0.89191
28,28,1988,No migration background,female,Seldom,0.03924,154,9772,0.03699,0.04243
29,29,1988,No migration background,female,Never,0.96076,3426,9772,0.94658,0.9752
30,30,1988,Direct migration background,male,Seldom,0.0583,49,9772,0.04374,0.077
