year,pgisced97,regtyp,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No answer / don't know,Urban regions,Never,0.94417,93,93,0.89725,0.99109
1985,Pre-primary Level,Urban regions,Never,0.91800,139,139,0.87223,0.96378
1985,Pre-primary Level,Rural regions,Never,0.93826,35,35,0.85736,1.01916
1985,Primary Level,Urban regions,Never,0.97758,709,709,0.96668,0.98849
1985,Primary Level,Rural regions,Never,0.99618,100,100,0.98403,1.00833
1985,Lower Secondary Level,Urban regions,Seldom,0.02863,59,2249,0.02174,0.03552
1985,Lower Secondary Level,Urban regions,Never,0.95407,2190,2249,0.94541,0.96272
1985,Lower Secondary Level,Rural regions,Never,0.96287,704,704,0.94890,0.97685
1985,Upper Secondary Level,Urban regions,At least once per week,0.00783,31,3988,0.00509,0.01056
1985,Upper Secondary Level,Urban regions,At least once per month,0.01899,70,3988,0.01475,0.02322
1985,Upper Secondary Level,Urban regions,Seldom,0.04548,184,3988,0.03902,0.05195
1985,Upper Secondary Level,Urban regions,Never,0.92770,3703,3988,0.91966,0.93574
1985,Upper Secondary Level,Rural regions,Seldom,0.06612,72,1083,0.05131,0.08092
1985,Upper Secondary Level,Rural regions,Never,0.90164,1011,1083,0.88389,0.91938
1985,Post-secondary Non-tertiary Level,Urban regions,Never,0.80537,188,188,0.74862,0.86211
1985,Post-secondary Non-tertiary Level,Rural regions,Never,0.87634,37,37,0.76880,0.98387
1985,First Stage of Tertiary Education,Urban regions,Seldom,0.06806,33,452,0.04482,0.09131
1985,First Stage of Tertiary Education,Urban regions,Never,0.88810,419,452,0.85900,0.91719
1985,First Stage of Tertiary Education,Rural regions,Never,0.83321,113,113,0.76417,0.90225
1985,Second Stage of Tertiary Education,Urban regions,At least once per month,0.05128,33,610,0.03376,0.06879
1985,Second Stage of Tertiary Education,Urban regions,Seldom,0.11557,72,610,0.09018,0.14096
1985,Second Stage of Tertiary Education,Urban regions,Never,0.80508,505,610,0.77362,0.83654
1985,Second Stage of Tertiary Education,Rural regions,Never,0.75753,89,89,0.66799,0.84708
1986,No answer / don't know,Urban regions,Never,0.97083,91,91,0.93606,1.00560
1986,Pre-primary Level,Urban regions,Never,0.94980,154,154,0.91520,0.98440
1986,Primary Level,Urban regions,Never,0.98787,657,657,0.97950,0.99625
