year,migback,quintil_oecd,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,1st Quintile,Seldom,0.03358,59,1257,0.02361,0.04354
1985,No migration background,1st Quintile,Never,0.74355,1198,1257,0.71940,0.76770
1985,No migration background,2nd Quintile,Seldom,0.03261,66,1413,0.02334,0.04187
1985,No migration background,2nd Quintile,Never,0.74963,1347,1413,0.72703,0.77222
1985,No migration background,3rd Quintile,At least once per month,0.01603,32,1578,0.00983,0.02223
1985,No migration background,3rd Quintile,Seldom,0.04760,98,1578,0.03709,0.05810
1985,No migration background,3rd Quintile,Never,0.76428,1448,1578,0.74333,0.78523
1985,No migration background,4th Quintile,At least once per month,0.02086,41,1666,0.01399,0.02772
1985,No migration background,4th Quintile,Seldom,0.05244,105,1666,0.04173,0.06315
1985,No migration background,4th Quintile,Never,0.78816,1520,1666,0.76853,0.80778
1985,No migration background,5th Quintile,At least once per week,0.01768,36,1841,0.01166,0.02370
1985,No migration background,5th Quintile,At least once per month,0.02638,57,1841,0.01906,0.03370
1985,No migration background,5th Quintile,Seldom,0.05686,118,1841,0.04628,0.06744
1985,No migration background,5th Quintile,Never,0.79914,1630,1841,0.78083,0.81745
1985,Direct migration background,1st Quintile,Never,0.80352,871,871,0.77711,0.82992
1985,Direct migration background,2nd Quintile,Never,0.87138,622,622,0.84505,0.89771
1985,Direct migration background,3rd Quintile,Never,0.87253,536,536,0.84428,0.90079
1985,Direct migration background,4th Quintile,Never,0.89742,458,458,0.86960,0.92524
1985,Direct migration background,5th Quintile,Never,0.85498,281,281,0.81374,0.89623
1985,Indirect migration background,1st Quintile,Never,0.06702,33,33,-0.01962,0.15367
1985,Indirect migration background,2nd Quintile,Never,0.11056,35,35,0.00515,0.21596
1986,No migration background,1st Quintile,Seldom,0.03083,46,1186,0.02099,0.04068
1986,No migration background,1st Quintile,Never,0.75946,1140,1186,0.73512,0.78379
1986,No migration background,2nd Quintile,Seldom,0.02753,51,1327,0.01873,0.03634
1986,No migration background,2nd Quintile,Never,0.75529,1276,1327,0.73214,0.77843
1986,No migration background,3rd Quintile,At least once per month,0.02001,34,1485,0.01288,0.02713
1986,No migration background,3rd Quintile,Seldom,0.04490,84,1485,0.03436,0.05544
1986,No migration background,3rd Quintile,Never,0.75450,1367,1485,0.73260,0.77639
1986,No migration background,4th Quintile,Seldom,0.04879,101,1621,0.03830,0.05928
1986,No migration background,4th Quintile,Never,0.79834,1520,1621,0.77880,0.81788
1986,No migration background,5th Quintile,At least once per month,0.02335,47,1734,0.01624,0.03045
1986,No migration background,5th Quintile,Seldom,0.07474,144,1734,0.06235,0.08712
1986,No migration background,5th Quintile,Never,0.78495,1543,1734,0.76560,0.80429
1986,Direct migration background,1st Quintile,Never,0.81821,768,768,0.79092,0.84551
1986,Direct migration background,2nd Quintile,Never,0.87028,657,657,0.84457,0.89600
1986,Direct migration background,3rd Quintile,Never,0.89502,520,520,0.86865,0.92139
1986,Direct migration background,4th Quintile,Never,0.91431,479,479,0.88922,0.93941
1986,Direct migration background,5th Quintile,Never,0.85997,271,271,0.81858,0.90136
1986,Indirect migration background,1st Quintile,Never,0.10164,41,41,0.00799,0.19528
1986,Indirect migration background,3rd Quintile,Never,0.19108,31,31,0.05039,0.33177
1988,No migration background,1st Quintile,Seldom,0.03086,47,1100,0.02064,0.04109
1988,No migration background,1st Quintile,Never,0.75717,1053,1100,0.73182,0.78252
1988,No migration background,2nd Quintile,Seldom,0.03753,66,1273,0.02708,0.04797
1988,No migration background,2nd Quintile,Never,0.74691,1207,1273,0.72302,0.77081
1988,No migration background,3rd Quintile,Seldom,0.04432,82,1395,0.03352,0.05513
1988,No migration background,3rd Quintile,Never,0.76696,1313,1395,0.74477,0.78916
1988,No migration background,4th Quintile,Seldom,0.06299,109,1479,0.05061,0.07538
1988,No migration background,4th Quintile,Never,0.78534,1370,1479,0.76441,0.80627
1988,No migration background,5th Quintile,At least once per month,0.02533,45,1633,0.01771,0.03295
1988,No migration background,5th Quintile,Seldom,0.07171,133,1633,0.05919,0.08422
1988,No migration background,5th Quintile,Never,0.79578,1455,1633,0.77622,0.81534
1988,Direct migration background,1st Quintile,Never,0.86839,756,756,0.84428,0.89251
1988,Direct migration background,2nd Quintile,Never,0.86680,592,592,0.83940,0.89419
1988,Direct migration background,3rd Quintile,Never,0.87000,494,494,0.84032,0.89969
1988,Direct migration background,4th Quintile,Never,0.89678,471,471,0.86927,0.92429
1988,Direct migration background,5th Quintile,Never,0.89667,243,243,0.85832,0.93502
1988,Indirect migration background,1st Quintile,Never,0.09559,63,63,0.02240,0.16878
1988,Indirect migration background,2nd Quintile,Never,0.16258,54,54,0.06324,0.26191
1988,Indirect migration background,3rd Quintile,Never,0.17399,38,38,0.05184,0.29615
1988,Indirect migration background,4th Quintile,Never,0.30276,40,40,0.15856,0.44696
1990,No migration background,1st Quintile,Seldom,0.07628,98,985,0.05969,0.09286
1990,No migration background,1st Quintile,Never,0.69805,887,985,0.66936,0.72674
1990,No migration background,2nd Quintile,Seldom,0.09443,154,1193,0.07783,0.11103
1990,No migration background,2nd Quintile,Never,0.67420,1039,1193,0.64759,0.70080
1990,No migration background,3rd Quintile,At least once per month,0.02178,32,1272,0.01375,0.02980
1990,No migration background,3rd Quintile,Seldom,0.13774,217,1272,0.11879,0.15669
1990,No migration background,3rd Quintile,Never,0.65882,1023,1272,0.63275,0.68488
1990,No migration background,4th Quintile,At least once per month,0.02285,40,1479,0.01524,0.03047
1990,No migration background,4th Quintile,Seldom,0.13382,224,1479,0.11647,0.15118
1990,No migration background,4th Quintile,Never,0.72757,1215,1479,0.70487,0.75027
1990,No migration background,5th Quintile,At least once per month,0.03857,60,1543,0.02895,0.04818
1990,No migration background,5th Quintile,Seldom,0.14338,255,1543,0.12589,0.16087
1990,No migration background,5th Quintile,Never,0.70582,1228,1543,0.68307,0.72856
1990,Direct migration background,1st Quintile,Seldom,0.06041,36,786,0.04375,0.07708
1990,Direct migration background,1st Quintile,Never,0.85517,750,786,0.83055,0.87979
1990,Direct migration background,2nd Quintile,Seldom,0.07848,39,563,0.05624,0.10071
1990,Direct migration background,2nd Quintile,Never,0.86399,524,563,0.83565,0.89233
1990,Direct migration background,3rd Quintile,Never,0.84899,499,499,0.81754,0.88043
1990,Direct migration background,4th Quintile,Never,0.88180,349,349,0.84787,0.91572
1990,Direct migration background,5th Quintile,Never,0.80589,205,205,0.75162,0.86017
1990,Indirect migration background,1st Quintile,Never,0.13965,75,75,0.06067,0.21862
1990,Indirect migration background,2nd Quintile,Never,0.19632,66,66,0.09976,0.29289
1990,Indirect migration background,3rd Quintile,Never,0.15377,60,60,0.06172,0.24581
1990,Indirect migration background,4th Quintile,Never,0.32906,50,50,0.19749,0.46062
1992,No migration background,1st Quintile,At least once per month,0.01700,48,2119,0.01149,0.02251
1992,No migration background,1st Quintile,Seldom,0.03189,89,2119,0.02441,0.03938
1992,No migration background,1st Quintile,Never,0.73387,1982,2119,0.71505,0.75269
1992,No migration background,2nd Quintile,At least once per month,0.01487,40,2115,0.00971,0.02003
1992,No migration background,2nd Quintile,Seldom,0.03873,121,2115,0.03051,0.04696
1992,No migration background,2nd Quintile,Never,0.69881,1954,2115,0.67926,0.71837
1992,No migration background,3rd Quintile,At least once per month,0.01175,34,1915,0.00692,0.01658
1992,No migration background,3rd Quintile,Seldom,0.04148,111,1915,0.03255,0.05042
1992,No migration background,3rd Quintile,Never,0.73412,1770,1915,0.71433,0.75391
1992,No migration background,4th Quintile,At least once per month,0.01748,42,1923,0.01162,0.02334
1992,No migration background,4th Quintile,Seldom,0.06168,129,1923,0.05093,0.07244
1992,No migration background,4th Quintile,Never,0.76753,1752,1923,0.74865,0.78642
1992,No migration background,5th Quintile,At least once per week,0.01254,32,2061,0.00774,0.01735
1992,No migration background,5th Quintile,At least once per month,0.02639,54,2061,0.01947,0.03332
1992,No migration background,5th Quintile,Seldom,0.06926,167,2061,0.05829,0.08022
1992,No migration background,5th Quintile,Never,0.78115,1808,2061,0.76329,0.79900
1992,Direct migration background,1st Quintile,Never,0.93151,498,498,0.90930,0.95372
1992,Direct migration background,2nd Quintile,Never,0.85781,559,559,0.82883,0.88678
1992,Direct migration background,3rd Quintile,Never,0.91262,564,564,0.88929,0.93595
1992,Direct migration background,4th Quintile,Never,0.92592,507,507,0.90311,0.94874
1992,Direct migration background,5th Quintile,Never,0.85446,257,257,0.81127,0.89766
1992,Indirect migration background,1st Quintile,Never,0.17060,69,69,0.08119,0.26000
1992,Indirect migration background,2nd Quintile,Never,0.21532,90,90,0.12992,0.30071
1992,Indirect migration background,3rd Quintile,Never,0.22174,87,87,0.13394,0.30953
1992,Indirect migration background,4th Quintile,Never,0.33743,91,91,0.23974,0.43511
1992,Indirect migration background,5th Quintile,Never,0.28854,34,34,0.13395,0.44313
1994,No migration background,1st Quintile,Seldom,0.02671,66,1665,0.01896,0.03446
1994,No migration background,1st Quintile,Never,0.72606,1599,1665,0.70463,0.74749
1994,No migration background,2nd Quintile,Seldom,0.05259,127,1962,0.04271,0.06247
1994,No migration background,2nd Quintile,Never,0.71022,1835,1962,0.69014,0.73030
1994,No migration background,3rd Quintile,At least once per month,0.01609,50,2068,0.01067,0.02152
1994,No migration background,3rd Quintile,Seldom,0.04504,130,2068,0.03610,0.05398
1994,No migration background,3rd Quintile,Never,0.72831,1888,2068,0.70913,0.74749
1994,No migration background,4th Quintile,At least once per month,0.01400,39,2032,0.00889,0.01911
1994,No migration background,4th Quintile,Seldom,0.06565,155,2032,0.05488,0.07642
1994,No migration background,4th Quintile,Never,0.75735,1838,2032,0.73871,0.77600
1994,No migration background,5th Quintile,At least once per week,0.01262,32,2060,0.00779,0.01744
1994,No migration background,5th Quintile,At least once per month,0.01871,48,2060,0.01286,0.02456
1994,No migration background,5th Quintile,Seldom,0.08632,175,2060,0.07419,0.09845
1994,No migration background,5th Quintile,Never,0.77116,1805,2060,0.75302,0.78931
1994,Direct migration background,1st Quintile,Never,0.92136,640,640,0.90049,0.94223
1994,Direct migration background,2nd Quintile,Never,0.90094,493,493,0.87454,0.92734
1994,Direct migration background,3rd Quintile,Never,0.92768,459,459,0.90396,0.95140
1994,Direct migration background,4th Quintile,Never,0.91330,339,339,0.88330,0.94330
1994,Direct migration background,5th Quintile,Never,0.90753,262,262,0.87239,0.94268
1994,Indirect migration background,1st Quintile,Never,0.24570,112,112,0.16561,0.32579
1994,Indirect migration background,2nd Quintile,Never,0.27055,110,110,0.18715,0.35395
1994,Indirect migration background,3rd Quintile,Never,0.35483,91,91,0.25598,0.45369
1994,Indirect migration background,4th Quintile,Never,0.33354,91,91,0.23613,0.43095
1994,Indirect migration background,5th Quintile,Never,0.41961,50,50,0.28143,0.55779
1995,No migration background,1st Quintile,Seldom,0.05504,104,1503,0.04351,0.06657
1995,No migration background,1st Quintile,Never,0.67777,1399,1503,0.65414,0.70141
1995,No migration background,2nd Quintile,At least once per month,0.01009,31,1995,0.00570,0.01448
1995,No migration background,2nd Quintile,Seldom,0.06642,148,1995,0.05549,0.07735
1995,No migration background,2nd Quintile,Never,0.70931,1816,1995,0.68938,0.72925
1995,No migration background,3rd Quintile,At least once per month,0.02038,52,2061,0.01428,0.02649
1995,No migration background,3rd Quintile,Seldom,0.06783,189,2061,0.05697,0.07869
1995,No migration background,3rd Quintile,Never,0.70992,1820,2061,0.69032,0.72951
1995,No migration background,4th Quintile,At least once per week,0.01131,37,2175,0.00687,0.01576
1995,No migration background,4th Quintile,At least once per month,0.01863,39,2175,0.01295,0.02432
