year,quintil_oecd,sampreg,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,West,Seldom,0.03994,76,2178,0.03172,0.04817
1985,1st Quintile,West,Never,0.93847,2102,2178,0.92837,0.94856
1985,2nd Quintile,West,Seldom,0.04001,78,2082,0.03159,0.04843
1985,2nd Quintile,West,Never,0.93794,2004,2082,0.92758,0.94831
1985,3rd Quintile,West,At least once per month,0.01879,35,2157,0.01306,0.02452
1985,3rd Quintile,West,Seldom,0.05397,109,2157,0.04443,0.06351
1985,3rd Quintile,West,Never,0.91976,2013,2157,0.90829,0.93123
1985,4th Quintile,West,At least once per month,0.02293,47,2167,0.01662,0.02923
1985,4th Quintile,West,Seldom,0.05689,115,2167,0.04714,0.06665
1985,4th Quintile,West,Never,0.91018,2005,2167,0.89814,0.92222
1985,5th Quintile,West,At least once per week,0.01889,39,2156,0.01314,0.02463
1985,5th Quintile,West,At least once per month,0.02823,60,2156,0.02123,0.03522
1985,5th Quintile,West,Seldom,0.06338,137,2156,0.05309,0.07366
1985,5th Quintile,West,Never,0.88951,1920,2156,0.87628,0.90275
1986,1st Quintile,West,Seldom,0.03738,73,2022,0.02911,0.04565
1986,1st Quintile,West,Never,0.94327,1949,2022,0.93319,0.95336
1986,2nd Quintile,West,Seldom,0.03286,70,2031,0.02510,0.04061
1986,2nd Quintile,West,Never,0.94665,1961,2031,0.93687,0.95642
1986,3rd Quintile,West,At least once per month,0.02302,41,2052,0.01653,0.02951
1986,3rd Quintile,West,Seldom,0.05016,93,2052,0.04071,0.05961
1986,3rd Quintile,West,Never,0.91631,1918,2052,0.90432,0.92829
1986,4th Quintile,West,At least once per month,0.01548,34,2174,0.01029,0.02067
1986,4th Quintile,West,Seldom,0.05384,113,2174,0.04435,0.06333
1986,4th Quintile,West,Never,0.91988,2027,2174,0.90847,0.93130
1986,5th Quintile,West,At least once per month,0.02609,50,2031,0.01915,0.03302
1986,5th Quintile,West,Seldom,0.08081,152,2031,0.06895,0.09266
1986,5th Quintile,West,Never,0.87801,1829,2031,0.86377,0.89225
1988,1st Quintile,West,Seldom,0.03578,58,1930,0.02749,0.04407
1988,1st Quintile,West,Never,0.95129,1872,1930,0.94168,0.96089
1988,2nd Quintile,West,Seldom,0.04605,83,1936,0.03671,0.05539
1988,2nd Quintile,West,Never,0.93701,1853,1936,0.92618,0.94783
1988,3rd Quintile,West,Seldom,0.05228,99,1944,0.04238,0.06218
1988,3rd Quintile,West,Never,0.93146,1845,1944,0.92023,0.94270
1988,4th Quintile,West,Seldom,0.06852,124,2005,0.05746,0.07959
1988,4th Quintile,West,Never,0.90952,1881,2005,0.89696,0.92208
1988,5th Quintile,West,At least once per month,0.02722,47,1901,0.01990,0.03454
1988,5th Quintile,West,Seldom,0.07842,145,1901,0.06633,0.09051
1988,5th Quintile,West,Never,0.88110,1709,1901,0.86655,0.89566
1990,1st Quintile,West,At least once per month,0.01952,31,1882,0.01327,0.02577
1990,1st Quintile,West,Seldom,0.08958,139,1882,0.07667,0.10248
1990,1st Quintile,West,Never,0.88469,1712,1882,0.87026,0.89912
1990,2nd Quintile,West,Seldom,0.11240,198,1827,0.09791,0.12688
1990,2nd Quintile,West,Never,0.85583,1629,1827,0.83972,0.87194
1990,3rd Quintile,West,At least once per month,0.02578,41,1870,0.01860,0.03297
1990,3rd Quintile,West,Seldom,0.15289,247,1870,0.13658,0.16921
1990,3rd Quintile,West,Never,0.80929,1582,1870,0.79148,0.82710
1990,4th Quintile,West,At least once per month,0.02408,46,1913,0.01721,0.03095
1990,4th Quintile,West,Seldom,0.14398,253,1913,0.12824,0.15971
1990,4th Quintile,West,Never,0.81912,1614,1913,0.80187,0.83638
1990,5th Quintile,West,At least once per month,0.04289,65,1789,0.03349,0.05228
1990,5th Quintile,West,Seldom,0.15418,274,1789,0.13744,0.17092
1990,5th Quintile,West,Never,0.78528,1450,1789,0.76625,0.80431
1992,1st Quintile,West,Seldom,0.03752,35,1120,0.02638,0.04865
1992,1st Quintile,West,Never,0.93433,1085,1120,0.91982,0.94885
1992,1st Quintile,East,At least once per month,0.01872,32,1562,0.01200,0.02545
1992,1st Quintile,East,Seldom,0.03799,66,1562,0.02851,0.04748
1992,1st Quintile,East,Never,0.93653,1464,1562,0.92444,0.94863
1992,2nd Quintile,West,Seldom,0.04731,69,1594,0.03688,0.05773
1992,2nd Quintile,West,Never,0.93335,1525,1594,0.92111,0.94560
1992,2nd Quintile,East,Seldom,0.06320,84,1162,0.04920,0.07720
1992,2nd Quintile,East,Never,0.90472,1078,1162,0.88784,0.92161
1992,3rd Quintile,West,Seldom,0.04578,85,1895,0.03637,0.05520
1992,3rd Quintile,West,Never,0.93722,1810,1895,0.92629,0.94814
1992,3rd Quintile,East,Seldom,0.07809,55,666,0.05770,0.09849
1992,3rd Quintile,East,Never,0.87423,611,666,0.84903,0.89943
1992,4th Quintile,West,At least once per month,0.01756,35,2247,0.01213,0.02300
1992,4th Quintile,West,Seldom,0.07041,134,2247,0.05983,0.08099
1992,4th Quintile,West,Never,0.90677,2078,2247,0.89475,0.91880
1992,4th Quintile,East,Never,0.89277,272,272,0.85593,0.92961
1992,5th Quintile,West,At least once per month,0.02746,49,2206,0.02064,0.03429
1992,5th Quintile,West,Seldom,0.07746,170,2206,0.06630,0.08862
1992,5th Quintile,West,Never,0.88252,1987,2206,0.86908,0.89596
1992,5th Quintile,East,Never,0.85492,112,112,0.78940,0.92044
1994,1st Quintile,West,Seldom,0.03802,61,1506,0.02835,0.04768
1994,1st Quintile,West,Never,0.94829,1445,1506,0.93710,0.95948
1994,1st Quintile,East,Seldom,0.02754,32,938,0.01706,0.03801
1994,1st Quintile,East,Never,0.95276,906,938,0.93918,0.96635
1994,2nd Quintile,West,Seldom,0.07110,99,1549,0.05830,0.08390
1994,2nd Quintile,West,Never,0.91534,1450,1549,0.90147,0.92920
1994,2nd Quintile,East,Seldom,0.05056,56,1044,0.03727,0.06386
1994,2nd Quintile,East,Never,0.92370,988,1044,0.90759,0.93981
1994,3rd Quintile,West,Seldom,0.05445,97,1752,0.04383,0.06508
1994,3rd Quintile,West,Never,0.92352,1655,1752,0.91107,0.93597
1994,3rd Quintile,East,Seldom,0.06131,58,841,0.04509,0.07754
1994,3rd Quintile,East,Never,0.89831,783,841,0.87787,0.91875
1994,4th Quintile,West,Seldom,0.07717,151,1928,0.06526,0.08909
1994,4th Quintile,West,Never,0.90039,1777,1928,0.88702,0.91376
1994,4th Quintile,East,Seldom,0.06204,32,523,0.04135,0.08274
1994,4th Quintile,East,Never,0.89114,491,523,0.86442,0.91786
1994,5th Quintile,West,At least once per month,0.01842,42,2093,0.01266,0.02418
1994,5th Quintile,West,Seldom,0.09307,175,2093,0.08062,0.10552
1994,5th Quintile,West,Never,0.87659,1876,2093,0.86249,0.89068
1994,5th Quintile,East,Never,0.85490,241,241,0.81034,0.89946
1995,1st Quintile,West,Seldom,0.06955,92,1696,0.05743,0.08166
1995,1st Quintile,West,Never,0.91602,1604,1696,0.90282,0.92923
1995,1st Quintile,East,Seldom,0.04963,45,769,0.03427,0.06499
1995,1st Quintile,East,Never,0.93141,724,769,0.91354,0.94929
1995,2nd Quintile,West,Seldom,0.07911,115,1795,0.06662,0.09160
1995,2nd Quintile,West,Never,0.90399,1680,1795,0.89035,0.91762
1995,2nd Quintile,East,Seldom,0.06150,64,1001,0.04661,0.07639
1995,2nd Quintile,East,Never,0.90654,937,1001,0.88850,0.92458
1995,3rd Quintile,West,Seldom,0.08102,143,1819,0.06847,0.09356
1995,3rd Quintile,West,Never,0.89048,1676,1819,0.87613,0.90484
1995,3rd Quintile,East,At least once per month,0.03837,33,840,0.02537,0.05137
1995,3rd Quintile,East,Seldom,0.07576,79,840,0.05785,0.09366
1995,3rd Quintile,East,Never,0.87381,728,840,0.85134,0.89628
1995,4th Quintile,West,At least once per month,0.02263,34,1947,0.01602,0.02923
1995,4th Quintile,West,Seldom,0.09160,166,1947,0.07878,0.10441
1995,4th Quintile,West,Never,0.87312,1747,1947,0.85834,0.88791
1995,4th Quintile,East,Seldom,0.09505,65,649,0.07247,0.11763
1995,4th Quintile,East,Never,0.87607,584,649,0.85070,0.90144
1995,5th Quintile,West,At least once per week,0.01747,37,2129,0.01190,0.02303
1995,5th Quintile,West,At least once per month,0.02745,54,2129,0.02051,0.03440
1995,5th Quintile,West,Seldom,0.10947,216,2129,0.09620,0.12273
1995,5th Quintile,West,Never,0.84561,1822,2129,0.83026,0.86096
1995,5th Quintile,East,Seldom,0.11500,34,307,0.07926,0.15075
1995,5th Quintile,East,Never,0.81679,273,307,0.77345,0.86014
1996,1st Quintile,West,Seldom,0.04847,85,1767,0.03845,0.05849
1996,1st Quintile,West,Never,0.94352,1682,1767,0.93275,0.95428
1996,1st Quintile,East,Seldom,0.03875,32,760,0.02502,0.05249
1996,1st Quintile,East,Never,0.94380,728,760,0.92742,0.96019
1996,2nd Quintile,West,Seldom,0.07153,106,1661,0.05913,0.08393
1996,2nd Quintile,West,Never,0.91559,1555,1661,0.90221,0.92896
1996,2nd Quintile,East,Seldom,0.07450,67,904,0.05738,0.09163
1996,2nd Quintile,East,Never,0.90610,837,904,0.88707,0.92512
1996,3rd Quintile,West,Seldom,0.08391,128,1746,0.07090,0.09692
1996,3rd Quintile,West,Never,0.89986,1618,1746,0.88578,0.91395
1996,3rd Quintile,East,Seldom,0.07137,71,877,0.05432,0.08842
1996,3rd Quintile,East,Never,0.89344,806,877,0.87301,0.91387
1996,4th Quintile,West,Seldom,0.09849,168,1967,0.08532,0.11167
1996,4th Quintile,West,Never,0.88161,1799,1967,0.86733,0.89590
1996,4th Quintile,East,Seldom,0.09068,63,661,0.06877,0.11258
1996,4th Quintile,East,Never,0.87116,598,661,0.84560,0.89672
1996,5th Quintile,West,At least once per week,0.01856,40,2056,0.01272,0.02439
1996,5th Quintile,West,At least once per month,0.02293,43,2056,0.01646,0.02940
1996,5th Quintile,West,Seldom,0.13015,233,2056,0.11560,0.14469
1996,5th Quintile,West,Never,0.82837,1740,2056,0.81206,0.84467
1996,5th Quintile,East,Seldom,0.10704,37,360,0.07506,0.13902
1996,5th Quintile,East,Never,0.84402,323,360,0.80649,0.88155
1997,1st Quintile,West,Seldom,0.06023,86,1643,0.04873,0.07174
1997,1st Quintile,West,Never,0.93217,1557,1643,0.92001,0.94433
