year,migback,regtyp,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Urban regions,At least once per week,0.01114,66,5919,0.00847,0.01382
1985,No migration background,Urban regions,At least once per month,0.02081,131,5919,0.01717,0.02445
1985,No migration background,Urban regions,Seldom,0.05204,330,5919,0.04638,0.05769
1985,No migration background,Urban regions,Never,0.91601,5392,5919,0.90895,0.92308
1985,No migration background,Rural regions,At least once per month,0.02090,44,1916,0.01449,0.02731
1985,No migration background,Rural regions,Seldom,0.05731,116,1916,0.04690,0.06772
1985,No migration background,Rural regions,Never,0.91096,1756,1916,0.89820,0.92371
1985,Direct migration background,Urban regions,Seldom,0.03108,56,2494,0.02427,0.03789
1985,Direct migration background,Urban regions,Never,0.95295,2438,2494,0.94463,0.96126
1985,Direct migration background,Rural regions,Never,0.93618,332,332,0.90984,0.96251
1985,Indirect migration background,Urban regions,Never,0.94829,116,116,0.90782,0.98876
1986,No migration background,Urban regions,At least once per week,0.00950,55,5674,0.00698,0.01203
1986,No migration background,Urban regions,At least once per month,0.01874,111,5674,0.01521,0.02227
1986,No migration background,Urban regions,Seldom,0.05581,325,5674,0.04983,0.06178
1986,No migration background,Urban regions,Never,0.91595,5183,5674,0.90873,0.92317
1986,No migration background,Rural regions,At least once per month,0.02220,40,1808,0.01541,0.02900
1986,No migration background,Rural regions,Seldom,0.05081,101,1808,0.04068,0.06093
1986,No migration background,Rural regions,Never,0.91604,1667,1808,0.90325,0.92883
1986,Direct migration background,Urban regions,Seldom,0.03060,59,2410,0.02372,0.03748
1986,Direct migration background,Urban regions,Never,0.95623,2351,2410,0.94806,0.96440
1986,Direct migration background,Rural regions,Never,0.93121,346,346,0.90451,0.95792
1986,Indirect migration background,Urban regions,Never,0.95629,124,124,0.92016,0.99242
1988,No migration background,Urban regions,At least once per week,0.00803,44,5330,0.00563,0.01043
1988,No migration background,Urban regions,At least once per month,0.01363,74,5330,0.01052,0.01674
1988,No migration background,Urban regions,Seldom,0.05907,328,5330,0.05274,0.06540
