"pli0097_h","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1985","(noch) kein Abschluss","maennlich","","","",""
"Taeglich","1985","(noch) kein Abschluss","weiblich","","","",""
"Taeglich","1985","Hauptschule","maennlich","","","",""
"Taeglich","1985","Hauptschule","weiblich","","","",""
"Taeglich","1985","Realschule","maennlich","","","",""
"Taeglich","1985","Realschule","weiblich","","","",""
"Taeglich","1985","(Fach-)Abitur","maennlich","","","",""
"Taeglich","1985","(Fach-)Abitur","weiblich","","","",""
"Taeglich","1985","AkademikerIn","maennlich","","","",""
"Taeglich","1985","AkademikerIn","weiblich","","","",""
"Min 1x pro Woche","1985","(noch) kein Abschluss","maennlich","3","","",""
"Min 1x pro Woche","1985","(noch) kein Abschluss","weiblich","1","","",""
"Min 1x pro Woche","1985","Hauptschule","maennlich","33","0.010798017288862","0.00714450428238548","0.0144515302953386"
"Min 1x pro Woche","1985","Hauptschule","weiblich","3","","",""
"Min 1x pro Woche","1985","Realschule","maennlich","12","","",""
"Min 1x pro Woche","1985","Realschule","weiblich","10","","",""
"Min 1x pro Woche","1985","(Fach-)Abitur","maennlich","11","","",""
"Min 1x pro Woche","1985","(Fach-)Abitur","weiblich","6","","",""
"Min 1x pro Woche","1985","AkademikerIn","maennlich","21","","",""
"Min 1x pro Woche","1985","AkademikerIn","weiblich","2","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","maennlich","3","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","weiblich","1","","",""
"Min 1x pro Monat","1985","Hauptschule","maennlich","65","0.0237059726234219","0.018328039900955","0.0290839053458888"
"Min 1x pro Monat","1985","Hauptschule","weiblich","29","","",""
"Min 1x pro Monat","1985","Realschule","maennlich","21","","",""
"Min 1x pro Monat","1985","Realschule","weiblich","17","","",""
"Min 1x pro Monat","1985","(Fach-)Abitur","maennlich","10","","",""
"Min 1x pro Monat","1985","(Fach-)Abitur","weiblich","13","","",""
"Min 1x pro Monat","1985","AkademikerIn","maennlich","29","","",""
"Min 1x pro Monat","1985","AkademikerIn","weiblich","10","","",""
"Seltener","1985","(noch) kein Abschluss","maennlich","16","","",""
"Seltener","1985","(noch) kein Abschluss","weiblich","6","","",""
"Seltener","1985","Hauptschule","maennlich","129","0.0459242435095993","0.0385246375215862","0.0533238494976124"
"Seltener","1985","Hauptschule","weiblich","68","0.0210284530538776","0.0161069790479206","0.0259499270598346"
"Seltener","1985","Realschule","maennlich","68","0.0943359740199474","0.0733750695933799","0.115296878446515"
