"pli0097_h","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Taeglich","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Taeglich","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Taeglich","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"Taeglich","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Taeglich","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"Taeglich","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Taeglich","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Taeglich","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"Taeglich","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Taeglich","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"Taeglich","1984","66 und älter","(noch) kein Abschluss","","","",""
"Taeglich","1984","66 und älter","Hauptschulabschluss","","","",""
"Taeglich","1984","66 und älter","Realschulabschluss","","","",""
"Taeglich","1984","66 und älter","(Fach-)Abitur","","","",""
"Taeglich","1984","66 und älter","AkademikerInnen","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"Min 1x pro Woche","1984","66 und älter","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1984","66 und älter","Hauptschulabschluss","","","",""
"Min 1x pro Woche","1984","66 und älter","Realschulabschluss","","","",""
"Min 1x pro Woche","1984","66 und älter","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1984","66 und älter","AkademikerInnen","","","",""
"Min 1x pro Monat","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Min 1x pro Monat","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"Min 1x pro Monat","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"Min 1x pro Monat","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Min 1x pro Monat","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"Min 1x pro Monat","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"Min 1x pro Monat","1984","66 und älter","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1984","66 und älter","Hauptschulabschluss","","","",""
"Min 1x pro Monat","1984","66 und älter","Realschulabschluss","","","",""
"Min 1x pro Monat","1984","66 und älter","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1984","66 und älter","AkademikerInnen","","","",""
"Seltener","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Seltener","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
