"pli0097_h","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1985","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Taeglich","1985","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Taeglich","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Taeglich","1985","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1985","Hauptschule","kein Migrationshintergrund","","","",""
"Taeglich","1985","Hauptschule","direkter Migrationshintergrund","","","",""
"Taeglich","1985","Hauptschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1985","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1985","Realschule","kein Migrationshintergrund","","","",""
"Taeglich","1985","Realschule","direkter Migrationshintergrund","","","",""
"Taeglich","1985","Realschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1985","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1985","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Taeglich","1985","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Taeglich","1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Taeglich","1985","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1985","AkademikerIn","kein Migrationshintergrund","","","",""
"Taeglich","1985","AkademikerIn","direkter Migrationshintergrund","","","",""
"Taeglich","1985","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Taeglich","1985","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1985","(noch) kein Abschluss","kein Migrationshintergrund","2","","",""
"Min 1x pro Woche","1985","(noch) kein Abschluss","direkter Migrationshintergrund","2","","",""
"Min 1x pro Woche","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1985","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1985","Hauptschule","kein Migrationshintergrund","30","0.00569652819483486","0.00356165793510851","0.0078313984545612"
"Min 1x pro Woche","1985","Hauptschule","direkter Migrationshintergrund","6","","",""
"Min 1x pro Woche","1985","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1985","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1985","Realschule","kein Migrationshintergrund","21","","",""
"Min 1x pro Woche","1985","Realschule","direkter Migrationshintergrund","1","","",""
"Min 1x pro Woche","1985","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1985","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1985","(Fach-)Abitur","kein Migrationshintergrund","16","","",""
"Min 1x pro Woche","1985","(Fach-)Abitur","direkter Migrationshintergrund","1","","",""
"Min 1x pro Woche","1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1985","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1985","AkademikerIn","kein Migrationshintergrund","21","","",""
"Min 1x pro Woche","1985","AkademikerIn","direkter Migrationshintergrund","2","","",""
"Min 1x pro Woche","1985","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1985","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","kein Migrationshintergrund","1","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","direkter Migrationshintergrund","3","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1985","Hauptschule","kein Migrationshintergrund","81","0.0158645274072526","0.0123200852258462","0.0194089695886589"
"Min 1x pro Monat","1985","Hauptschule","direkter Migrationshintergrund","13","","",""
"Min 1x pro Monat","1985","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1985","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1985","Realschule","kein Migrationshintergrund","36","0.0213476237905136","0.014328602711774","0.0283666448692533"
"Min 1x pro Monat","1985","Realschule","direkter Migrationshintergrund","1","","",""
"Min 1x pro Monat","1985","Realschule","indirekter Migrationshintergrund","1","","",""
"Min 1x pro Monat","1985","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1985","(Fach-)Abitur","kein Migrationshintergrund","19","","",""
"Min 1x pro Monat","1985","(Fach-)Abitur","direkter Migrationshintergrund","4","","",""
"Min 1x pro Monat","1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1985","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1985","AkademikerIn","kein Migrationshintergrund","37","0.0547708976449742","0.037059740611704","0.0724820546782445"
"Min 1x pro Monat","1985","AkademikerIn","direkter Migrationshintergrund","2","","",""
"Min 1x pro Monat","1985","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1985","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1985","(noch) kein Abschluss","kein Migrationshintergrund","10","","",""
"Seltener","1985","(noch) kein Abschluss","direkter Migrationshintergrund","12","","",""
"Seltener","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Seltener","1985","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1985","Hauptschule","kein Migrationshintergrund","175","0.033810270316388","0.0286832809869669","0.038937259645809"
"Seltener","1985","Hauptschule","direkter Migrationshintergrund","21","","",""
"Seltener","1985","Hauptschule","indirekter Migrationshintergrund","1","","",""
"Seltener","1985","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1985","Realschule","kein Migrationshintergrund","114","0.0690820105262948","0.0567672564183175","0.081396764634272"
"Seltener","1985","Realschule","direkter Migrationshintergrund","5","","",""
"Seltener","1985","Realschule","indirekter Migrationshintergrund","2","","",""
"Seltener","1985","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1985","(Fach-)Abitur","kein Migrationshintergrund","66","0.119213603624662","0.0919334598390329","0.14649374741029"
"Seltener","1985","(Fach-)Abitur","direkter Migrationshintergrund","15","","",""
"Seltener","1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Seltener","1985","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1985","AkademikerIn","kein Migrationshintergrund","78","0.1183148697937","0.0931740239356824","0.143455715651718"
"Seltener","1985","AkademikerIn","direkter Migrationshintergrund","10","","",""
"Seltener","1985","AkademikerIn","indirekter Migrationshintergrund","2","","",""
"Seltener","1985","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1985","(noch) kein Abschluss","kein Migrationshintergrund","211","0.938790618133666","0.907398729202192","0.970182507065139"
"Nie","1985","(noch) kein Abschluss","direkter Migrationshintergrund","818","0.977528374160666","0.967475580072782","0.987581168248549"
"Nie","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","17","","",""
"Nie","1985","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1985","Hauptschule","kein Migrationshintergrund","4488","0.944628674081525","0.938141136189059","0.95111621197399"
"Nie","1985","Hauptschule","direkter Migrationshintergrund","1446","0.967435410381555","0.958410924271451","0.976459896491659"
"Nie","1985","Hauptschule","indirekter Migrationshintergrund","78","0.998815785358076","0.991231887812105","1.00639968290405"
"Nie","1985","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1985","Realschule","kein Migrationshintergrund","1458","0.896792292665152","0.88201858341419","0.911566001916114"
"Nie","1985","Realschule","direkter Migrationshintergrund","128","0.935574395522089","0.894160162609354","0.976988628434824"
"Nie","1985","Realschule","indirekter Migrationshintergrund","26","","",""
"Nie","1985","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1985","(Fach-)Abitur","kein Migrationshintergrund","441","0.813206096923627","0.780394292882629","0.846017900964626"
"Nie","1985","(Fach-)Abitur","direkter Migrationshintergrund","207","0.88253771812468","0.84065344173001","0.924421994519351"
"Nie","1985","(Fach-)Abitur","indirekter Migrationshintergrund","5","","",""
"Nie","1985","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1985","AkademikerIn","kein Migrationshintergrund","498","0.793112782572021","0.761581781009551","0.82464378413449"
"Nie","1985","AkademikerIn","direkter Migrationshintergrund","94","0.852406214967435","0.785511231273275","0.919301198661594"
"Nie","1985","AkademikerIn","indirekter Migrationshintergrund","2","","",""
"Nie","1985","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1986","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Taeglich","1986","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Taeglich","1986","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Taeglich","1986","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1986","Hauptschule","kein Migrationshintergrund","","","",""
"Taeglich","1986","Hauptschule","direkter Migrationshintergrund","","","",""
"Taeglich","1986","Hauptschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1986","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1986","Realschule","kein Migrationshintergrund","","","",""
"Taeglich","1986","Realschule","direkter Migrationshintergrund","","","",""
"Taeglich","1986","Realschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1986","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1986","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Taeglich","1986","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Taeglich","1986","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Taeglich","1986","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1986","AkademikerIn","kein Migrationshintergrund","","","",""
"Taeglich","1986","AkademikerIn","direkter Migrationshintergrund","","","",""
"Taeglich","1986","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Taeglich","1986","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1986","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1986","(noch) kein Abschluss","direkter Migrationshintergrund","4","","",""
"Min 1x pro Woche","1986","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1986","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1986","Hauptschule","kein Migrationshintergrund","36","0.00776531659119905","0.00518542586484122","0.0103452073175569"
"Min 1x pro Woche","1986","Hauptschule","direkter Migrationshintergrund","9","","",""
"Min 1x pro Woche","1986","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1986","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1986","Realschule","kein Migrationshintergrund","11","","",""
"Min 1x pro Woche","1986","Realschule","direkter Migrationshintergrund","1","","",""
"Min 1x pro Woche","1986","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1986","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1986","(Fach-)Abitur","kein Migrationshintergrund","11","","",""
"Min 1x pro Woche","1986","(Fach-)Abitur","direkter Migrationshintergrund","3","","",""
"Min 1x pro Woche","1986","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1986","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1986","AkademikerIn","kein Migrationshintergrund","18","","",""
"Min 1x pro Woche","1986","AkademikerIn","direkter Migrationshintergrund","2","","",""
"Min 1x pro Woche","1986","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Min 1x pro Woche","1986","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1986","(noch) kein Abschluss","kein Migrationshintergrund","3","","",""
"Min 1x pro Monat","1986","(noch) kein Abschluss","direkter Migrationshintergrund","2","","",""
"Min 1x pro Monat","1986","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1986","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1986","Hauptschule","kein Migrationshintergrund","82","0.0180913410578661","0.0141740535126697","0.0220086286030625"
"Min 1x pro Monat","1986","Hauptschule","direkter Migrationshintergrund","9","","",""
"Min 1x pro Monat","1986","Hauptschule","indirekter Migrationshintergrund","1","","",""
"Min 1x pro Monat","1986","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1986","Realschule","kein Migrationshintergrund","20","","",""
"Min 1x pro Monat","1986","Realschule","direkter Migrationshintergrund","1","","",""
"Min 1x pro Monat","1986","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1986","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1986","(Fach-)Abitur","kein Migrationshintergrund","23","","",""
