year,age_gr,sampreg,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,West,At least once per month,0.01715,46,3080,0.01256,0.02173
1985,17-29 y.,West,Seldom,0.06523,172,3080,0.05650,0.07395
1985,17-29 y.,West,Never,0.89985,2862,3080,0.88924,0.91045
1985,30-45 y.,West,At least once per week,0.01479,43,3433,0.01075,0.01883
1985,30-45 y.,West,At least once per month,0.02589,78,3433,0.02058,0.03120
1985,30-45 y.,West,Seldom,0.06760,194,3433,0.05920,0.07600
1985,30-45 y.,West,Never,0.87909,3118,3433,0.86818,0.89000
1985,46-65 y.,West,At least once per week,0.01194,33,3250,0.00821,0.01567
1985,46-65 y.,West,At least once per month,0.02476,69,3250,0.01942,0.03011
1985,46-65 y.,West,Seldom,0.04219,129,3250,0.03528,0.04910
1985,46-65 y.,West,Never,0.90340,3019,3250,0.89324,0.91356
1985,66 and older,West,Never,0.95275,1052,1052,0.93993,0.96558
1986,17-29 y.,West,At least once per month,0.02003,46,3017,0.01503,0.02503
1986,17-29 y.,West,Seldom,0.06173,157,3017,0.05315,0.07032
1986,17-29 y.,West,Never,0.90716,2814,3017,0.89681,0.91752
1986,30-45 y.,West,At least once per week,0.01402,41,3241,0.00997,0.01807
1986,30-45 y.,West,At least once per month,0.02192,60,3241,0.01687,0.02696
1986,30-45 y.,West,Seldom,0.07070,187,3241,0.06187,0.07953
1986,30-45 y.,West,Never,0.88450,2953,3241,0.87349,0.89550
1986,46-65 y.,West,At least once per week,0.01337,36,3176,0.00938,0.01737
1986,46-65 y.,West,At least once per month,0.02086,56,3176,0.01589,0.02583
1986,46-65 y.,West,Seldom,0.04925,146,3176,0.04172,0.05678
1986,46-65 y.,West,Never,0.89743,2938,3176,0.88688,0.90799
1986,66 and older,West,Never,0.95916,985,985,0.94679,0.97153
1988,17-29 y.,West,Seldom,0.05583,130,2828,0.04737,0.06429
1988,17-29 y.,West,Never,0.92760,2698,2828,0.91804,0.93715
1988,30-45 y.,West,At least once per month,0.02060,48,2898,0.01543,0.02578
1988,30-45 y.,West,Seldom,0.07845,190,2898,0.06866,0.08824
1988,30-45 y.,West,Never,0.87970,2660,2898,0.86785,0.89154
1988,46-65 y.,West,At least once per month,0.01847,50,3040,0.01368,0.02326
1988,46-65 y.,West,Seldom,0.06174,170,3040,0.05318,0.07029
1988,46-65 y.,West,Never,0.89280,2820,3040,0.88180,0.90380
1988,66 and older,West,Never,0.95067,984,984,0.93713,0.96421
1990,17-29 y.,West,At least once per month,0.02030,43,2694,0.01497,0.02563
1990,17-29 y.,West,Seldom,0.12320,281,2694,0.11078,0.13561
1990,17-29 y.,West,Never,0.84783,2370,2694,0.83426,0.86139
1990,17-29 y.,East,At least once per month,0.03357,34,1100,0.02292,0.04422
1990,17-29 y.,East,Seldom,0.07832,91,1100,0.06243,0.09420
1990,17-29 y.,East,Never,0.85258,975,1100,0.83162,0.87354
1990,30-45 y.,West,At least once per week,0.01631,37,2780,0.01160,0.02102
1990,30-45 y.,West,At least once per month,0.02831,68,2780,0.02214,0.03448
1990,30-45 y.,West,Seldom,0.17607,411,2780,0.16191,0.19023
1990,30-45 y.,West,Never,0.77680,2264,2780,0.76132,0.79228
1990,30-45 y.,East,At least once per week,0.02194,39,1475,0.01446,0.02941
1990,30-45 y.,East,At least once per month,0.04824,83,1475,0.03730,0.05918
1990,30-45 y.,East,Seldom,0.11987,196,1475,0.10329,0.13645
1990,30-45 y.,East,Never,0.78650,1157,1475,0.76558,0.80742
1990,46-65 y.,West,At least once per week,0.01831,49,2902,0.01343,0.02319
1990,46-65 y.,West,At least once per month,0.03728,89,2902,0.03039,0.04418
1990,46-65 y.,West,Seldom,0.13558,345,2902,0.12313,0.14804
1990,46-65 y.,West,Never,0.80514,2419,2902,0.79072,0.81955
1990,46-65 y.,East,At least once per week,0.02696,36,1301,0.01816,0.03577
1990,46-65 y.,East,At least once per month,0.06767,91,1301,0.05401,0.08132
1990,46-65 y.,East,Seldom,0.10182,136,1301,0.08539,0.11826
1990,46-65 y.,East,Never,0.77007,1038,1301,0.74719,0.79294
1990,66 and older,West,Seldom,0.06583,74,1011,0.05054,0.08112
1990,66 and older,West,Never,0.90771,937,1011,0.88986,0.92556
1990,66 and older,East,Never,0.86364,362,362,0.82824,0.89904
1992,17-29 y.,West,Seldom,0.04903,117,2614,0.04075,0.05731
1992,17-29 y.,West,Never,0.93442,2497,2614,0.92493,0.94392
1992,17-29 y.,East,Seldom,0.05168,46,887,0.03710,0.06626
1992,17-29 y.,East,Never,0.92156,841,887,0.90386,0.93926
1992,30-45 y.,West,At least once per month,0.01907,43,2769,0.01398,0.02417
1992,30-45 y.,West,Seldom,0.08044,195,2769,0.07031,0.09057
1992,30-45 y.,West,Never,0.88281,2531,2769,0.87083,0.89479
1992,30-45 y.,East,At least once per month,0.02573,38,1392,0.01741,0.03405
1992,30-45 y.,East,Seldom,0.07074,111,1392,0.05726,0.08421
1992,30-45 y.,East,Never,0.87296,1243,1392,0.85546,0.89047
1992,46-65 y.,West,At least once per month,0.02382,54,2702,0.01807,0.02957
1992,46-65 y.,West,Seldom,0.06224,149,2702,0.05313,0.07136
1992,46-65 y.,West,Never,0.87316,2499,2702,0.86061,0.88571
1992,46-65 y.,East,At least once per month,0.03237,40,1194,0.02233,0.04242
1992,46-65 y.,East,Seldom,0.05713,75,1194,0.04396,0.07030
1992,46-65 y.,East,Never,0.87686,1079,1194,0.85821,0.89551
1992,66 and older,West,Seldom,0.02773,32,993,0.01751,0.03794
1992,66 and older,West,Never,0.89858,961,993,0.87979,0.91736
1992,66 and older,East,Never,0.95981,374,374,0.93987,0.97974
1994,17-29 y.,West,Seldom,0.05275,132,2448,0.04389,0.06161
1994,17-29 y.,West,Never,0.92824,2316,2448,0.91801,0.93846
1994,17-29 y.,East,Seldom,0.04937,35,823,0.03456,0.06418
1994,17-29 y.,East,Never,0.92287,788,823,0.90463,0.94111
1994,30-45 y.,West,Seldom,0.08401,219,2737,0.07361,0.09440
1994,30-45 y.,West,Never,0.89106,2518,2737,0.87939,0.90274
1994,30-45 y.,East,At least once per month,0.02215,31,1317,0.01420,0.03010
1994,30-45 y.,East,Seldom,0.06024,83,1317,0.04738,0.07309
1994,30-45 y.,East,Never,0.90106,1203,1317,0.88493,0.91719
1994,46-65 y.,West,At least once per week,0.01300,33,2650,0.00868,0.01731
1994,46-65 y.,West,At least once per month,0.02105,59,2650,0.01559,0.02652
1994,46-65 y.,West,Seldom,0.07171,177,2650,0.06189,0.08154
1994,46-65 y.,West,Never,0.86541,2381,2650,0.85241,0.87841
1994,46-65 y.,East,At least once per month,0.03615,41,1158,0.02539,0.04690
1994,46-65 y.,East,Seldom,0.04768,64,1158,0.03540,0.05996
1994,46-65 y.,East,Never,0.89164,1053,1158,0.87373,0.90955
1994,66 and older,West,Seldom,0.05464,55,1049,0.04088,0.06840
1994,66 and older,West,Never,0.89958,994,1049,0.88138,0.91778
1994,66 and older,East,Never,0.92538,366,366,0.89842,0.95233
1995,17-29 y.,West,Seldom,0.07349,165,2478,0.06321,0.08377
1995,17-29 y.,West,Never,0.90969,2313,2478,0.89840,0.92098
1995,17-29 y.,East,Seldom,0.06422,49,818,0.04741,0.08103
1995,17-29 y.,East,Never,0.91185,769,818,0.89241,0.93129
1995,30-45 y.,West,At least once per week,0.00833,31,3133,0.00514,0.01151
1995,30-45 y.,West,At least once per month,0.01801,45,3133,0.01335,0.02267
1995,30-45 y.,West,Seldom,0.09579,269,3133,0.08548,0.10609
1995,30-45 y.,West,Never,0.86476,2788,3133,0.85278,0.87674
1995,30-45 y.,East,Seldom,0.09281,121,1229,0.07658,0.10904
1995,30-45 y.,East,Never,0.87029,1108,1229,0.85149,0.88908
1995,46-65 y.,West,At least once per week,0.01772,50,2769,0.01281,0.02264
1995,46-65 y.,West,At least once per month,0.02508,59,2769,0.01926,0.03091
1995,46-65 y.,West,Seldom,0.10338,239,2769,0.09204,0.11472
1995,46-65 y.,West,Never,0.84307,2421,2769,0.82952,0.85662
1995,46-65 y.,East,At least once per month,0.03300,41,1145,0.02265,0.04335
1995,46-65 y.,East,Seldom,0.07663,99,1145,0.06121,0.09204
1995,46-65 y.,East,Never,0.86465,1005,1145,0.84482,0.88447
1995,66 and older,West,Seldom,0.06068,59,1069,0.04636,0.07500
1995,66 and older,West,Never,0.88796,1010,1069,0.86904,0.90688
1995,66 and older,East,Never,0.91445,364,364,0.88568,0.94323
1996,17-29 y.,West,Seldom,0.07686,157,2296,0.06597,0.08776
1996,17-29 y.,West,Never,0.91002,2139,2296,0.89831,0.92172
1996,17-29 y.,East,Seldom,0.06215,46,824,0.04566,0.07865
1996,17-29 y.,East,Never,0.92539,778,824,0.90744,0.94334
1996,30-45 y.,West,At least once per month,0.01381,40,3140,0.00973,0.01789
1996,30-45 y.,West,Seldom,0.09277,259,3140,0.08262,0.10292
1996,30-45 y.,West,Never,0.87761,2841,3140,0.86614,0.88907
1996,30-45 y.,East,Seldom,0.06905,93,1217,0.05480,0.08330
1996,30-45 y.,East,Never,0.89686,1124,1217,0.87977,0.91396
1996,46-65 y.,West,At least once per week,0.01306,36,2709,0.00879,0.01734
