year,bula_h,sex,pli0097_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,male,Never,0.015775959782989096,139,10417,0.01574050072865987,0.015811418837318323
1985,Schleswig-Holstein,female,Never,0.02049652454974389,171,10417,0.020456204099447196,0.020536845000040587
1985,Hamburg,male,Never,0.013621398611774183,126,10417,0.013588413729257868,0.013654383494290498
1985,Hamburg,female,Never,0.014282580712493153,133,10417,0.014248816095427054,0.01431634532955925
1985,Lower Saxony,male,Seldom,0.003930259589184291,33,10417,0.003912454762074794,0.003948064416293788
1985,Lower Saxony,male,Never,0.04992741117581187,475,10417,0.04986543422760997,0.04998938812401377
1985,Lower Saxony,female,Never,0.06175709334927929,524,10417,0.06168859449018556,0.061825592208373026
1985,Bremen,male,Never,0.005123620864732568,48,10417,0.005103304063950464,0.005143937665514672
1985,Bremen,female,Never,0.007143486694750397,59,10417,0.007119521518123851,0.007167451871376943
1985,North Rhine-Westphalia,male,At least once per month,0.0034078621781891234,33,10417,0.003391278456181124,0.003424445900197123
1985,North Rhine-Westphalia,male,Seldom,0.009863390181808164,101,10417,0.00983526839344371,0.009891511970172618
1985,North Rhine-Westphalia,male,Never,0.11722937550529565,1302,10417,0.11713783265477137,0.11732091835581993
1985,North Rhine-Westphalia,female,Seldom,0.006378427763762182,60,10417,0.006355773518600205,0.006401082008924159
1985,North Rhine-Westphalia,female,Never,0.13934192269288379,1393,10417,0.13924337680804652,0.13944046857772105
1985,Hesse,male,Never,0.0418506000301304,501,10417,0.04179361645018179,0.041907583610079006
1985,Hesse,female,Never,0.04515420827266294,525,10417,0.04509512044759388,0.045213296097732
1985,"Rhineland-Palatinate, Saarland",male,Never,0.03409136874498956,331,10417,0.03403973037653487,0.03414300711344425
1985,"Rhineland-Palatinate, Saarland",female,Never,0.03805069833241978,358,10417,0.037996255629671585,0.038105141035167975
1985,Baden-Wuerttemberg,male,Seldom,0.003790912087060162,45,10417,0.0037734245206956854,0.0038083996534246387
1985,Baden-Wuerttemberg,male,Never,0.06711203769902785,940,10417,0.06704083487371425,0.06718324052434145
1985,Baden-Wuerttemberg,female,Never,0.08075374877946595,981,10417,0.08067621703612488,0.08083128052280703
1985,Bavaria,male,Seldom,0.006984647966326273,63,10417,0.006960948830398492,0.007008347102254055
1985,Bavaria,male,Never,0.07897011070161991,784,10417,0.07889336562836732,0.0790468557748725
1985,Bavaria,female,Seldom,0.003365857823502585,31,10417,0.0033493762742175504,0.0033823393727876196
1985,Bavaria,female,Never,0.10047203299454012,925,10417,0.10038648453380888,0.10055758145527136
1985,Berlin,male,Never,0.013720742167331287,159,10417,0.013687638887824035,0.013753845446838539
