year,pgisced97,sex,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No answer / don't know,male,Never,0.90821,47,47,0.82477,0.99165
1985,No answer / don't know,female,Never,0.99455,62,62,0.97609,1.01302
1985,Pre-primary Level,male,Never,0.90029,102,102,0.84186,0.95873
1985,Pre-primary Level,female,Never,0.95669,72,72,0.90934,1.00404
1985,Primary Level,male,Never,0.98124,330,330,0.96658,0.99590
1985,Primary Level,female,Never,0.98184,479,479,0.96987,0.99381
1985,Lower Secondary Level,male,Seldom,0.04043,32,992,0.02816,0.05269
1985,Lower Secondary Level,male,Never,0.93435,960,992,0.91893,0.94977
1985,Lower Secondary Level,female,Seldom,0.02323,44,1978,0.01659,0.02987
1985,Lower Secondary Level,female,Never,0.96443,1934,1978,0.95627,0.97260
1985,Upper Secondary Level,male,At least once per week,0.01274,35,2794,0.00858,0.01690
1985,Upper Secondary Level,male,At least once per month,0.02649,65,2794,0.02054,0.03245
1985,Upper Secondary Level,male,Seldom,0.06224,167,2794,0.05328,0.07120
1985,Upper Secondary Level,male,Never,0.89853,2527,2794,0.88733,0.90973
1985,Upper Secondary Level,female,At least once per month,0.01259,31,2307,0.00804,0.01714
1985,Upper Secondary Level,female,Seldom,0.03697,89,2307,0.02927,0.04467
1985,Upper Secondary Level,female,Never,0.94751,2187,2307,0.93841,0.95661
1985,Post-secondary Non-tertiary Level,male,Never,0.84720,144,144,0.78823,0.90617
1985,Post-secondary Non-tertiary Level,female,Never,0.77270,81,81,0.68086,0.86454
1985,First Stage of Tertiary Education,male,Seldom,0.08957,31,334,0.05890,0.12024
1985,First Stage of Tertiary Education,male,Never,0.85500,303,334,0.81718,0.89282
1985,First Stage of Tertiary Education,female,Never,0.90292,229,229,0.86448,0.94135
1985,Second Stage of Tertiary Education,male,Seldom,0.12955,64,456,0.09869,0.16040
1985,Second Stage of Tertiary Education,male,Never,0.77084,392,456,0.73223,0.80946
1985,Second Stage of Tertiary Education,female,Never,0.84983,202,202,0.80045,0.89922
1986,No answer / don't know,male,Never,0.95352,48,48,0.89334,1.01371
1986,No answer / don't know,female,Never,0.92585,59,59,0.85841,0.99328
1986,Pre-primary Level,male,Never,0.95958,106,106,0.92192,0.99725
1986,Pre-primary Level,female,Never,0.95350,71,71,0.90417,1.00283
1986,Primary Level,male,Never,0.98240,310,310,0.96774,0.99706
1986,Primary Level,female,Never,0.99147,448,448,0.98295,1.00000
1986,Lower Secondary Level,male,Seldom,0.04575,38,981,0.03267,0.05884
1986,Lower Secondary Level,male,Never,0.92479,943,981,0.90828,0.94130
1986,Lower Secondary Level,female,Seldom,0.02141,44,1847,0.01481,0.02801
1986,Lower Secondary Level,female,Never,0.96664,1803,1847,0.95844,0.97483
1986,Upper Secondary Level,male,At least once per week,0.01442,37,2706,0.00992,0.01891
1986,Upper Secondary Level,male,At least once per month,0.02690,64,2706,0.02080,0.03300
1986,Upper Secondary Level,male,Seldom,0.06139,152,2706,0.05235,0.07044
1986,Upper Secondary Level,male,Never,0.89729,2453,2706,0.88585,0.90873
1986,Upper Secondary Level,female,Seldom,0.03563,82,2194,0.02787,0.04339
1986,Upper Secondary Level,female,Never,0.94930,2112,2194,0.94012,0.95848
1986,Post-secondary Non-tertiary Level,male,Never,0.84648,143,143,0.78719,0.90577
1986,Post-secondary Non-tertiary Level,female,Never,0.83942,98,98,0.76636,0.91249
1986,First Stage of Tertiary Education,male,Seldom,0.10403,37,311,0.07005,0.13802
1986,First Stage of Tertiary Education,male,Never,0.85485,274,311,0.81563,0.89406
1986,First Stage of Tertiary Education,female,Never,0.90449,220,220,0.86556,0.94342
1986,Second Stage of Tertiary Education,male,Seldom,0.13758,65,459,0.10603,0.16912
1986,Second Stage of Tertiary Education,male,Never,0.78568,394,459,0.74810,0.82326
1986,Second Stage of Tertiary Education,female,Never,0.86093,208,208,0.81379,0.90807
1988,No answer / don't know,male,Never,0.93780,68,68,0.87996,0.99563
1988,No answer / don't know,female,Never,0.99433,71,71,0.97674,1.01192
1988,Pre-primary Level,male,Never,0.95212,85,85,0.90646,0.99778
1988,Pre-primary Level,female,Never,0.93058,68,68,0.86973,0.99144
