year,regtyp,sampreg,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,West,Yes,0.03659,169,3770,0.03060,0.04259
1996,Urban regions,West,No,0.96341,3601,3770,0.95741,0.96940
1996,Urban regions,East,Yes,0.06734,49,638,0.04788,0.08681
1996,Urban regions,East,No,0.93266,589,638,0.91319,0.95212
1996,Rural regions,West,Yes,0.04689,59,1023,0.03393,0.05985
1996,Rural regions,West,No,0.95311,964,1023,0.94015,0.96607
1996,Rural regions,East,Yes,0.05669,87,1200,0.04360,0.06977
1996,Rural regions,East,No,0.94331,1113,1200,0.93023,0.95640
2001,Urban regions,West,Yes,0.04755,373,6828,0.04250,0.05259
2001,Urban regions,West,No,0.95245,6455,6828,0.94741,0.95750
2001,Urban regions,East,Yes,0.06408,70,955,0.04854,0.07962
2001,Urban regions,East,No,0.93592,885,955,0.92038,0.95146
2001,Rural regions,West,Yes,0.05048,121,2009,0.04091,0.06006
2001,Rural regions,West,No,0.94952,1888,2009,0.93994,0.95909
2001,Rural regions,East,Yes,0.07670,168,1888,0.06469,0.08870
2001,Rural regions,East,No,0.92330,1720,1888,0.91130,0.93531
2006,Urban regions,West,Yes,0.04529,398,7176,0.04048,0.05010
2006,Urban regions,West,No,0.95471,6778,7176,0.94990,0.95952
2006,Urban regions,East,Yes,0.05398,62,992,0.03991,0.06805
2006,Urban regions,East,No,0.94602,930,992,0.93195,0.96009
2006,Rural regions,West,Yes,0.05847,142,2161,0.04858,0.06837
2006,Rural regions,West,No,0.94153,2019,2161,0.93163,0.95142
2006,Rural regions,East,Yes,0.09356,184,1936,0.08058,0.10653
2006,Rural regions,East,No,0.90644,1752,1936,0.89347,0.91942
2011,Urban regions,West,Yes,0.04578,377,6851,0.04083,0.05073
2011,Urban regions,West,No,0.95422,6474,6851,0.94927,0.95917
2011,Urban regions,East,Yes,0.05230,68,1022,0.03864,0.06596
2011,Urban regions,East,No,0.94770,954,1022,0.93404,0.96136
2011,Rural regions,West,Yes,0.04417,138,2341,0.03585,0.05250
2011,Rural regions,West,No,0.95583,2203,2341,0.94750,0.96415
2011,Rural regions,East,Yes,0.06878,142,1870,0.05731,0.08025
2011,Rural regions,East,No,0.93122,1728,1870,0.91975,0.94269
2016,Urban regions,West,Yes,0.02724,322,8255,0.02373,0.03076
2016,Urban regions,West,No,0.97276,7933,8255,0.96924,0.97627
2016,Urban regions,East,Yes,0.03652,60,1122,0.02554,0.04750
2016,Urban regions,East,No,0.96348,1062,1122,0.95250,0.97446
2016,Rural regions,West,Yes,0.04354,156,2973,0.03621,0.05088
2016,Rural regions,West,No,0.95646,2817,2973,0.94912,0.96379
2016,Rural regions,East,Yes,0.06748,149,1952,0.05634,0.07861
2016,Rural regions,East,No,0.93252,1803,1952,0.92139,0.94366
2021,Urban regions,West,Yes,0.02600,235,6511,0.02214,0.02987
2021,Urban regions,West,No,0.97400,6276,6511,0.97013,0.97786
2021,Urban regions,East,Yes,0.03246,34,898,0.02087,0.04406
2021,Urban regions,East,No,0.96754,864,898,0.95594,0.97913
2021,Rural regions,West,Yes,0.04005,91,2153,0.03177,0.04834
2021,Rural regions,West,No,0.95995,2062,2153,0.95166,0.96823
2021,Rural regions,East,Yes,0.05856,109,1493,0.04665,0.07048
2021,Rural regions,East,No,0.94144,1384,1493,0.92952,0.95335
