year,hhtyp,sampreg,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,West,No,0.98899,1073,1073,0.98274,0.99524
1996,Single-person household,East,No,0.98025,336,336,0.96535,0.99515
1996,Couple without children,West,Yes,0.03537,52,1306,0.02535,0.04539
1996,Couple without children,West,No,0.96463,1254,1306,0.95461,0.97465
1996,Couple without children,East,No,0.95521,509,509,0.93722,0.97320
1996,Single parent,West,No,0.94444,263,263,0.91671,0.97218
1996,Single parent,East,No,0.92680,99,99,0.87524,0.97837
1996,Couple with children,West,Yes,0.07422,138,1922,0.06250,0.08595
1996,Couple with children,West,No,0.92578,1784,1922,0.91405,0.93750
1996,Couple with children,East,Yes,0.10915,84,764,0.08703,0.13128
1996,Couple with children,East,No,0.89085,680,764,0.86872,0.91297
1996,Multi-generational household,West,No,0.96512,94,94,0.92784,1.00241
1996,Other Combinations,West,No,0.93353,97,97,0.88370,0.98336
1996,Other Combinations,East,No,0.91096,53,53,0.83355,0.98837
2001,Single-person household,West,Yes,0.01595,39,2220,0.01074,0.02116
2001,Single-person household,West,No,0.98405,2181,2220,0.97884,0.98926
2001,Single-person household,East,No,0.97990,689,689,0.96942,0.99039
2001,Couple without children,West,Yes,0.04160,112,2664,0.03402,0.04919
2001,Couple without children,West,No,0.95840,2552,2664,0.95081,0.96598
2001,Couple without children,East,Yes,0.06811,65,925,0.05187,0.08436
2001,Couple without children,East,No,0.93189,860,925,0.91564,0.94813
2001,Single parent,West,No,0.95938,489,489,0.94187,0.97690
2001,Single parent,East,No,0.92099,177,177,0.88113,0.96084
2001,Couple with children,West,Yes,0.09975,305,3208,0.08938,0.11012
2001,Couple with children,West,No,0.90025,2903,3208,0.88988,0.91062
2001,Couple with children,East,Yes,0.15224,138,967,0.12959,0.17490
2001,Couple with children,East,No,0.84776,829,967,0.82510,0.87041
2001,Multi-generational household,West,No,0.92464,125,125,0.87818,0.97110
2001,Other Combinations,West,No,0.96379,93,93,0.92562,1.00197
2006,Single-person household,West,Yes,0.01822,54,2472,0.01295,0.02349
2006,Single-person household,West,No,0.98178,2418,2472,0.97651,0.98705
2006,Single-person household,East,Yes,0.03099,31,816,0.01910,0.04289
2006,Single-person household,East,No,0.96901,785,816,0.95711,0.98090
2006,Couple without children,West,Yes,0.04918,162,3132,0.04161,0.05676
2006,Couple without children,West,No,0.95082,2970,3132,0.94324,0.95839
2006,Couple without children,East,Yes,0.07138,66,1026,0.05562,0.08715
2006,Couple without children,East,No,0.92862,960,1026,0.91285,0.94438
2006,Single parent,West,No,0.96717,562,562,0.95242,0.98191
2006,Single parent,East,No,0.89435,170,170,0.84801,0.94070
2006,Couple with children,West,Yes,0.09895,294,2984,0.08824,0.10967
2006,Couple with children,West,No,0.90105,2690,2984,0.89033,0.91176
2006,Couple with children,East,Yes,0.17774,126,853,0.15207,0.20342
2006,Couple with children,East,No,0.82226,727,853,0.79658,0.84793
2006,Multi-generational household,West,No,0.96593,75,75,0.92460,1.00727
2006,Other Combinations,West,No,0.96682,82,82,0.92781,1.00582
2011,Single-person household,West,Yes,0.02102,59,2622,0.01553,0.02652
2011,Single-person household,West,No,0.97898,2563,2622,0.97348,0.98447
2011,Single-person household,East,No,0.97168,865,865,0.96062,0.98274
2011,Couple without children,West,Yes,0.04383,157,3281,0.03682,0.05083
2011,Couple without children,West,No,0.95617,3124,3281,0.94917,0.96318
2011,Couple without children,East,Yes,0.07182,76,1090,0.05649,0.08716
2011,Couple without children,East,No,0.92818,1014,1090,0.91284,0.94351
2011,Single parent,West,No,0.95749,561,561,0.94078,0.97420
2011,Single parent,East,No,0.93014,183,183,0.89310,0.96717
2011,Couple with children,West,Yes,0.10110,269,2566,0.08943,0.11277
2011,Couple with children,West,No,0.89890,2297,2566,0.88723,0.91057
2011,Couple with children,East,Yes,0.14179,94,674,0.11544,0.16815
2011,Couple with children,East,No,0.85821,580,674,0.83185,0.88456
2011,Multi-generational household,West,No,0.97233,60,60,0.93048,1.01418
2011,Other Combinations,West,No,0.97996,72,72,0.94736,1.01256
2016,Single-person household,West,No,0.98920,2508,2508,0.98516,0.99325
2016,Single-person household,East,No,0.97333,837,837,0.96240,0.98425
2016,Couple without children,West,Yes,0.02952,99,3085,0.02355,0.03550
2016,Couple without children,West,No,0.97048,2986,3085,0.96450,0.97645
2016,Couple without children,East,Yes,0.05577,61,1012,0.04162,0.06991
2016,Couple without children,East,No,0.94423,951,1012,0.93009,0.95838
2016,Single parent,West,Yes,0.02902,42,1188,0.01947,0.03857
2016,Single parent,West,No,0.97098,1146,1188,0.96143,0.98053
2016,Single parent,East,Yes,0.09004,31,336,0.05939,0.12069
2016,Single parent,East,No,0.90996,305,336,0.87931,0.94061
2016,Couple with children,West,Yes,0.06990,301,4169,0.06216,0.07764
2016,Couple with children,West,No,0.93010,3868,4169,0.92236,0.93784
2016,Couple with children,East,Yes,0.12224,99,821,0.09982,0.14466
2016,Couple with children,East,No,0.87776,722,821,0.85534,0.90018
2016,Multi-generational household,West,No,0.92364,79,79,0.86471,0.98258
