year,regtyp,rentown,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,Owner,Yes,0.04830,83,1397,0.03706,0.05955
1996,Urban regions,Owner,No,0.95170,1314,1397,0.94045,0.96294
1996,Urban regions,Tenant,Yes,0.03433,135,3011,0.02783,0.04084
1996,Urban regions,Tenant,No,0.96567,2876,3011,0.95916,0.97217
1996,Rural regions,Owner,Yes,0.06115,79,998,0.04628,0.07602
1996,Rural regions,Owner,No,0.93885,919,998,0.92398,0.95372
1996,Rural regions,Tenant,Yes,0.04111,67,1225,0.02999,0.05223
1996,Rural regions,Tenant,No,0.95889,1158,1225,0.94777,0.97001
2001,Urban regions,Owner,Yes,0.06040,206,3142,0.05207,0.06873
2001,Urban regions,Owner,No,0.93960,2936,3142,0.93127,0.94793
2001,Urban regions,Tenant,Yes,0.04207,237,4641,0.03629,0.04785
2001,Urban regions,Tenant,No,0.95793,4404,4641,0.95215,0.96371
2001,Rural regions,Owner,Yes,0.07736,190,2125,0.06599,0.08872
2001,Rural regions,Owner,No,0.92264,1935,2125,0.91128,0.93401
2001,Rural regions,Tenant,Yes,0.04390,99,1772,0.03436,0.05344
2001,Rural regions,Tenant,No,0.95610,1673,1772,0.94656,0.96564
2006,Urban regions,Owner,Yes,0.05895,259,3709,0.05137,0.06653
2006,Urban regions,Owner,No,0.94105,3450,3709,0.93347,0.94863
2006,Urban regions,Tenant,Yes,0.03840,201,4458,0.03275,0.04404
2006,Urban regions,Tenant,No,0.96160,4257,4458,0.95596,0.96725
2006,Rural regions,Owner,Yes,0.08691,208,2294,0.07538,0.09844
2006,Rural regions,Owner,No,0.91309,2086,2294,0.90156,0.92462
2006,Rural regions,Tenant,Yes,0.05753,118,1802,0.04678,0.06829
2006,Rural regions,Tenant,No,0.94247,1684,1802,0.93171,0.95322
2011,Urban regions,Owner,Yes,0.06067,251,3595,0.05287,0.06848
2011,Urban regions,Owner,No,0.93933,3344,3595,0.93152,0.94713
2011,Urban regions,Tenant,Yes,0.03559,194,4278,0.03004,0.04114
2011,Urban regions,Tenant,No,0.96441,4084,4278,0.95886,0.96996
2011,Rural regions,Owner,Yes,0.07002,186,2349,0.05970,0.08034
2011,Rural regions,Owner,No,0.92998,2163,2349,0.91966,0.94030
2011,Rural regions,Tenant,Yes,0.03424,94,1862,0.02598,0.04250
2011,Rural regions,Tenant,No,0.96576,1768,1862,0.95750,0.97402
2016,Urban regions,Owner,Yes,0.03652,194,3771,0.03053,0.04251
2016,Urban regions,Owner,No,0.96348,3577,3771,0.95749,0.96947
2016,Urban regions,Tenant,Yes,0.02174,188,5605,0.01792,0.02556
2016,Urban regions,Tenant,No,0.97826,5417,5605,0.97444,0.98208
2016,Rural regions,Owner,Yes,0.06203,192,2531,0.05263,0.07143
2016,Rural regions,Owner,No,0.93797,2339,2531,0.92857,0.94737
2016,Rural regions,Tenant,Yes,0.04128,113,2394,0.03331,0.04925
2016,Rural regions,Tenant,No,0.95872,2281,2394,0.95075,0.96669
2021,Urban regions,Owner,Yes,0.03666,153,3126,0.03007,0.04325
2021,Urban regions,Owner,No,0.96334,2973,3126,0.95675,0.96993
2021,Urban regions,Tenant,Yes,0.01845,116,4279,0.01442,0.02249
2021,Urban regions,Tenant,No,0.98155,4163,4279,0.97751,0.98558
2021,Rural regions,Owner,Yes,0.06453,133,1954,0.05363,0.07542
2021,Rural regions,Owner,No,0.93547,1821,1954,0.92458,0.94637
2021,Rural regions,Tenant,Yes,0.02711,67,1691,0.01937,0.03485
2021,Rural regions,Tenant,No,0.97289,1624,1691,0.96515,0.98063
