year,sampreg,sex,plj0047,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,West,male,Very concerned,0.40862,460,1199,0.38078,0.43646
1992,West,male,Somewhat concerned,0.40176,512,1199,0.37399,0.42952
1992,West,male,Not concerned at all,0.18962,227,1199,0.16742,0.21182
1992,West,female,Very concerned,0.43240,398,1038,0.40224,0.46255
1992,West,female,Somewhat concerned,0.39681,452,1038,0.36703,0.42658
1992,West,female,Not concerned at all,0.17079,188,1038,0.14789,0.19370
1993,West,male,Very concerned,0.46552,533,1175,0.43698,0.49405
1993,West,male,Somewhat concerned,0.43219,509,1175,0.40386,0.46053
1993,West,male,Not concerned at all,0.10229,133,1175,0.08495,0.11962
1993,West,female,Very concerned,0.53310,495,1009,0.50230,0.56390
1993,West,female,Somewhat concerned,0.34892,394,1009,0.31949,0.37834
1993,West,female,Not concerned at all,0.11798,120,1009,0.09807,0.13790
1994,West,male,Very concerned,0.45123,476,1112,0.42197,0.48049
1994,West,male,Somewhat concerned,0.45438,504,1112,0.42510,0.48366
1994,West,male,Not concerned at all,0.09439,132,1112,0.07720,0.11158
1994,West,female,Very concerned,0.51806,483,991,0.48693,0.54919
1994,West,female,Somewhat concerned,0.37172,397,991,0.34161,0.40182
1994,West,female,Not concerned at all,0.11022,111,991,0.09072,0.12973
1995,West,male,Very concerned,0.42899,399,1020,0.39860,0.45938
1995,West,male,Somewhat concerned,0.43471,479,1020,0.40427,0.46515
1995,West,male,Not concerned at all,0.13630,142,1020,0.11523,0.15736
1995,West,female,Very concerned,0.46156,390,928,0.42947,0.49366
1995,West,female,Somewhat concerned,0.42015,418,928,0.38838,0.45193
1995,West,female,Not concerned at all,0.11828,120,928,0.09749,0.13907
1996,West,male,Very concerned,0.28942,1351,4486,0.27615,0.30269
1996,West,male,Somewhat concerned,0.53060,2359,4486,0.51599,0.54521
1996,West,male,Not concerned at all,0.17998,776,4486,0.16874,0.19122
1996,West,female,Very concerned,0.31832,1520,4745,0.30507,0.33158
1996,West,female,Somewhat concerned,0.53090,2547,4745,0.51670,0.54510
1996,West,female,Not concerned at all,0.15078,678,4745,0.14060,0.16096
1996,East,male,Very concerned,0.26696,463,1733,0.24612,0.28779
1996,East,male,Somewhat concerned,0.50386,871,1733,0.48032,0.52741
1996,East,male,Not concerned at all,0.22918,399,1733,0.20938,0.24897
1996,East,female,Very concerned,0.27514,510,1902,0.25507,0.29522
1996,East,female,Somewhat concerned,0.53916,1064,1902,0.51675,0.56156
1996,East,female,Not concerned at all,0.18570,328,1902,0.16822,0.20318
1997,West,male,Very concerned,0.30747,1373,4418,0.29386,0.32108
1997,West,male,Somewhat concerned,0.49483,2206,4418,0.48008,0.50957
1997,West,male,Not concerned at all,0.19770,839,4418,0.18596,0.20945
1997,West,female,Very concerned,0.31887,1508,4680,0.30551,0.33222
1997,West,female,Somewhat concerned,0.51905,2469,4680,0.50473,0.53336
1997,West,female,Not concerned at all,0.16209,703,4680,0.15153,0.17265
1997,East,male,Very concerned,0.25826,449,1731,0.23764,0.27889
1997,East,male,Somewhat concerned,0.50837,864,1731,0.48481,0.53193
1997,East,male,Not concerned at all,0.23337,418,1731,0.21343,0.25330
1997,East,female,Very concerned,0.29248,542,1870,0.27186,0.31311
1997,East,female,Somewhat concerned,0.53792,1006,1870,0.51531,0.56052
1997,East,female,Not concerned at all,0.16960,322,1870,0.15259,0.18662
1998,West,male,Very concerned,0.31427,1533,4939,0.30132,0.32722
1998,West,male,Somewhat concerned,0.48897,2434,4939,0.47503,0.50291
1998,West,male,Not concerned at all,0.19676,972,4939,0.18567,0.20784
