year,age_gr,plj0047,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,17-29 y.,Very concerned,0.04193,368,840,0.02837,0.05549
1992,17-29 y.,Somewhat concerned,0.03475,340,840,0.02235,0.04714
1992,17-29 y.,Not concerned at all,0.01334,132,840,0.00558,0.02110
1992,30-45 y.,Very concerned,0.02656,232,633,0.01402,0.03909
1992,30-45 y.,Somewhat concerned,0.02576,282,633,0.01341,0.03812
1992,30-45 y.,Not concerned at all,0.01047,119,633,0.00254,0.01841
1992,46-65 y.,Very concerned,0.02400,251,733,0.01291,0.03508
1992,46-65 y.,Somewhat concerned,0.02572,326,733,0.01425,0.03718
1992,46-65 y.,Not concerned at all,0.01431,156,733,0.00570,0.02291
1993,17-29 y.,Very concerned,0.05818,427,832,0.04226,0.07409
1993,17-29 y.,Somewhat concerned,0.03878,323,832,0.02565,0.05191
1993,17-29 y.,Not concerned at all,0.00882,82,832,0.00247,0.01518
1993,30-45 y.,Very concerned,0.02951,271,588,0.01582,0.04320
1993,30-45 y.,Somewhat concerned,0.02484,255,588,0.01225,0.03743
1993,30-45 y.,Not concerned at all,0.00613,62,588,-0.00018,0.01245
1993,46-65 y.,Very concerned,0.03160,320,725,0.01886,0.04434
1993,46-65 y.,Somewhat concerned,0.02848,302,725,0.01636,0.04060
1993,46-65 y.,Not concerned at all,0.00991,103,725,0.00269,0.01712
1994,17-29 y.,Very concerned,0.05866,388,783,0.04219,0.07513
1994,17-29 y.,Somewhat concerned,0.04724,324,783,0.03237,0.06211
1994,17-29 y.,Not concerned at all,0.00849,71,783,0.00206,0.01493
1994,30-45 y.,Very concerned,0.03189,260,566,0.01741,0.04638
1994,30-45 y.,Somewhat concerned,0.02524,249,566,0.01230,0.03817
1994,30-45 y.,Not concerned at all,0.00613,57,566,-0.00031,0.01257
1994,46-65 y.,Very concerned,0.03387,296,708,0.02054,0.04721
1994,46-65 y.,Somewhat concerned,0.03234,306,708,0.01930,0.04538
1994,46-65 y.,Not concerned at all,0.00991,106,708,0.00261,0.01721
1995,17-29 y.,Very concerned,0.04061,303,691,0.02588,0.05533
1995,17-29 y.,Somewhat concerned,0.03476,316,691,0.02109,0.04843
1995,17-29 y.,Not concerned at all,0.00762,72,691,0.00113,0.01411
1995,30-45 y.,Very concerned,0.01919,200,520,0.00739,0.03100
1995,30-45 y.,Somewhat concerned,0.02018,250,520,0.00808,0.03227
1995,30-45 y.,Not concerned at all,0.00598,70,520,-0.00066,0.01261
1995,46-65 y.,Very concerned,0.02477,270,686,0.01313,0.03641
1995,46-65 y.,Somewhat concerned,0.02452,305,686,0.01294,0.03610
1995,46-65 y.,Not concerned at all,0.00912,111,686,0.00200,0.01624
1996,17-29 y.,Very concerned,0.30555,979,3127,0.28940,0.32170
1996,17-29 y.,Somewhat concerned,0.52522,1659,3127,0.50771,0.54272
1996,17-29 y.,Not concerned at all,0.15484,489,3127,0.14216,0.16753
1996,30-45 y.,Very concerned,0.26997,1224,4393,0.25684,0.28310
1996,30-45 y.,Somewhat concerned,0.55373,2433,4393,0.53903,0.56843
1996,30-45 y.,Not concerned at all,0.16363,736,4393,0.15269,0.17457
1996,46-65 y.,Very concerned,0.29514,1171,3830,0.28069,0.30958
1996,46-65 y.,Somewhat concerned,0.51473,2018,3830,0.49890,0.53056
1996,46-65 y.,Not concerned at all,0.16353,641,3830,0.15181,0.17524
1996,66 and older,Very concerned,0.30824,470,1516,0.28498,0.33149
1996,66 and older,Somewhat concerned,0.46135,731,1516,0.43625,0.48646
1996,66 and older,Not concerned at all,0.20307,315,1516,0.18281,0.22333
1997,17-29 y.,Very concerned,0.30176,922,3000,0.28533,0.31819
1997,17-29 y.,Somewhat concerned,0.50180,1538,3000,0.48390,0.51969
1997,17-29 y.,Not concerned at all,0.18411,540,3000,0.17024,0.19799
1997,30-45 y.,Very concerned,0.29761,1264,4338,0.28400,0.31122
1997,30-45 y.,Somewhat concerned,0.51719,2298,4338,0.50232,0.53207
1997,30-45 y.,Not concerned at all,0.17673,776,4338,0.16538,0.18809
1997,46-65 y.,Very concerned,0.30070,1207,3812,0.28614,0.31526
1997,46-65 y.,Somewhat concerned,0.51092,1945,3812,0.49505,0.52679
1997,46-65 y.,Not concerned at all,0.17260,660,3812,0.16060,0.18460
1997,66 and older,Very concerned,0.30879,479,1549,0.28577,0.33180
1997,66 and older,Somewhat concerned,0.46684,764,1549,0.44199,0.49169
1997,66 and older,Not concerned at all,0.19601,306,1549,0.17624,0.21579
1998,17-29 y.,Very concerned,0.29361,932,3108,0.27760,0.30963
1998,17-29 y.,Somewhat concerned,0.48752,1585,3108,0.46994,0.50509
1998,17-29 y.,Not concerned at all,0.19463,591,3108,0.18071,0.20855
1998,30-45 y.,Very concerned,0.28183,1315,4770,0.26906,0.29460
1998,30-45 y.,Somewhat concerned,0.52376,2538,4770,0.50958,0.53793
1998,30-45 y.,Not concerned at all,0.17972,917,4770,0.16882,0.19061
1998,46-65 y.,Very concerned,0.31533,1411,4316,0.30146,0.32919
1998,46-65 y.,Somewhat concerned,0.48390,2117,4316,0.46899,0.49882
1998,46-65 y.,Not concerned at all,0.17819,788,4316,0.16677,0.18961
1998,66 and older,Very concerned,0.31840,587,1799,0.29687,0.33994
1998,66 and older,Somewhat concerned,0.46850,881,1799,0.44543,0.49156
1998,66 and older,Not concerned at all,0.17768,331,1799,0.16001,0.19535
1999,17-29 y.,Very concerned,0.31642,913,2964,0.29967,0.33316
1999,17-29 y.,Somewhat concerned,0.51904,1587,2964,0.50105,0.53703
1999,17-29 y.,Not concerned at all,0.16063,464,2964,0.14741,0.17385
1999,30-45 y.,Very concerned,0.31311,1437,4697,0.29984,0.32637
1999,30-45 y.,Somewhat concerned,0.55879,2667,4697,0.54459,0.57299
1999,30-45 y.,Not concerned at all,0.12447,593,4697,0.11503,0.13391
1999,46-65 y.,Very concerned,0.30811,1255,4167,0.29409,0.32213
1999,46-65 y.,Somewhat concerned,0.54070,2305,4167,0.52557,0.55583
1999,46-65 y.,Not concerned at all,0.14413,607,4167,0.13347,0.15480
1999,66 and older,Very concerned,0.23944,453,1782,0.21962,0.25926
1999,66 and older,Somewhat concerned,0.52859,951,1782,0.50540,0.55177
1999,66 and older,Not concerned at all,0.21946,378,1782,0.20024,0.23869
2000,17-29 y.,Very concerned,0.31858,1428,4526,0.30500,0.33215
2000,17-29 y.,Somewhat concerned,0.48851,2273,4526,0.47394,0.50307
2000,17-29 y.,Not concerned at all,0.17995,825,4526,0.16876,0.19115
2000,30-45 y.,Very concerned,0.34740,2721,8095,0.33702,0.35777
2000,30-45 y.,Somewhat concerned,0.50643,4240,8095,0.49554,0.51732
2000,30-45 y.,Not concerned at all,0.13701,1134,8095,0.12951,0.14450
2000,46-65 y.,Very concerned,0.33485,2517,7685,0.32429,0.34540
2000,46-65 y.,Somewhat concerned,0.48951,3891,7685,0.47834,0.50069
2000,46-65 y.,Not concerned at all,0.16452,1277,7685,0.15623,0.17281
2000,66 and older,Very concerned,0.22148,831,3534,0.20778,0.23517
2000,66 and older,Somewhat concerned,0.49446,1790,3534,0.47798,0.51095
2000,66 and older,Not concerned at all,0.26371,913,3534,0.24918,0.27824
2001,17-29 y.,Very concerned,0.37000,1532,4068,0.35516,0.38484
2001,17-29 y.,Somewhat concerned,0.45456,1892,4068,0.43926,0.46986
2001,17-29 y.,Not concerned at all,0.16693,644,4068,0.15547,0.17839
2001,30-45 y.,Very concerned,0.37361,2747,7254,0.36248,0.38474
2001,30-45 y.,Somewhat concerned,0.49501,3620,7254,0.48350,0.50652
2001,30-45 y.,Not concerned at all,0.11894,887,7254,0.11149,0.12639
2001,46-65 y.,Very concerned,0.35917,2561,7005,0.34794,0.37041
2001,46-65 y.,Somewhat concerned,0.46943,3362,7005,0.45774,0.48112
2001,46-65 y.,Not concerned at all,0.15451,1082,7005,0.14605,0.16297
2001,66 and older,Very concerned,0.27396,969,3347,0.25885,0.28908
2001,66 and older,Somewhat concerned,0.47944,1619,3347,0.46251,0.49637
2001,66 and older,Not concerned at all,0.22931,759,3347,0.21507,0.24356
2002,17-29 y.,Very concerned,0.28014,1165,4111,0.26641,0.29387
2002,17-29 y.,Somewhat concerned,0.50650,2131,4111,0.49121,0.52179
2002,17-29 y.,Not concerned at all,0.20423,815,4111,0.19190,0.21655
2002,30-45 y.,Very concerned,0.29346,2126,7387,0.28307,0.30384
2002,30-45 y.,Somewhat concerned,0.55372,4176,7387,0.54239,0.56506
2002,30-45 y.,Not concerned at all,0.14360,1085,7387,0.13560,0.15160
2002,46-65 y.,Very concerned,0.27793,2237,7803,0.26799,0.28787
2002,46-65 y.,Somewhat concerned,0.55056,4340,7803,0.53952,0.56160
2002,46-65 y.,Not concerned at all,0.16288,1226,7803,0.15468,0.17107
2002,66 and older,Very concerned,0.24549,878,3547,0.23133,0.25966
2002,66 and older,Somewhat concerned,0.51108,1854,3547,0.49463,0.52754
2002,66 and older,Not concerned at all,0.23030,815,3547,0.21644,0.24416
2003,17-29 y.,Very concerned,0.22224,865,3978,0.20932,0.23517
2003,17-29 y.,Somewhat concerned,0.51548,2133,3978,0.49994,0.53101
2003,17-29 y.,Not concerned at all,0.25189,980,3978,0.23839,0.26538
2003,30-45 y.,Very concerned,0.23831,1586,6879,0.22824,0.24838
2003,30-45 y.,Somewhat concerned,0.56885,3992,6879,0.55714,0.58055
2003,30-45 y.,Not concerned at all,0.18295,1301,6879,0.17381,0.19209
2003,46-65 y.,Very concerned,0.24125,1775,7502,0.23157,0.25094
2003,46-65 y.,Somewhat concerned,0.55123,4253,7502,0.53997,0.56248
2003,46-65 y.,Not concerned at all,0.19661,1474,7502,0.18761,0.20560
2003,66 and older,Very concerned,0.19809,734,3598,0.18507,0.21112
2003,66 and older,Somewhat concerned,0.51620,1895,3598,0.49987,0.53253
2003,66 and older,Not concerned at all,0.26829,969,3598,0.25381,0.28277
2004,17-29 y.,Very concerned,0.22955,925,3923,0.21639,0.24271
2004,17-29 y.,Somewhat concerned,0.49972,2026,3923,0.48407,0.51537
2004,17-29 y.,Not concerned at all,0.25875,972,3923,0.24504,0.27245
2004,30-45 y.,Very concerned,0.25169,1572,6485,0.24112,0.26225
2004,30-45 y.,Somewhat concerned,0.55472,3674,6485,0.54262,0.56682
2004,30-45 y.,Not concerned at all,0.18602,1239,6485,0.17655,0.19549
2004,46-65 y.,Very concerned,0.24379,1741,7297,0.23394,0.25365
2004,46-65 y.,Somewhat concerned,0.53435,4072,7297,0.52290,0.54580
2004,46-65 y.,Not concerned at all,0.20836,1484,7297,0.19904,0.21768
2004,66 and older,Very concerned,0.19731,752,3695,0.18447,0.21014
2004,66 and older,Somewhat concerned,0.51648,1950,3695,0.50036,0.53259
2004,66 and older,Not concerned at all,0.26519,993,3695,0.25095,0.27942
2005,17-29 y.,Very concerned,0.30672,1118,3804,0.29206,0.32137
2005,17-29 y.,Somewhat concerned,0.47693,1891,3804,0.46106,0.49281
2005,17-29 y.,Not concerned at all,0.20805,795,3804,0.19515,0.22095
2005,30-45 y.,Very concerned,0.31233,1836,6047,0.30065,0.32402
2005,30-45 y.,Somewhat concerned,0.51073,3202,6047,0.49813,0.52333
2005,30-45 y.,Not concerned at all,0.16781,1009,6047,0.15839,0.17723
2005,46-65 y.,Very concerned,0.33010,2230,6964,0.31906,0.34115
2005,46-65 y.,Somewhat concerned,0.50712,3669,6964,0.49538,0.51886
2005,46-65 y.,Not concerned at all,0.15295,1065,6964,0.14449,0.16140
2005,66 and older,Very concerned,0.25212,986,3722,0.23817,0.26608
2005,66 and older,Somewhat concerned,0.50419,1898,3722,0.48813,0.52026
2005,66 and older,Not concerned at all,0.22892,838,3722,0.21542,0.24242
2006,17-29 y.,Very concerned,0.25618,932,3646,0.24201,0.27035
2006,17-29 y.,Somewhat concerned,0.46638,1929,3646,0.45019,0.48258
2006,17-29 y.,Not concerned at all,0.20307,785,3646,0.19001,0.21613
2006,30-45 y.,Very concerned,0.29640,1804,6226,0.28505,0.30774
2006,30-45 y.,Somewhat concerned,0.52454,3379,6226,0.51213,0.53695
2006,30-45 y.,Not concerned at all,0.16755,1043,6226,0.15827,0.17682
2006,46-65 y.,Very concerned,0.30659,2242,7518,0.29617,0.31702
2006,46-65 y.,Somewhat concerned,0.51351,4034,7518,0.50221,0.52481
2006,46-65 y.,Not concerned at all,0.16855,1242,7518,0.16008,0.17701
2006,66 and older,Very concerned,0.23987,1069,4366,0.22721,0.25254
2006,66 and older,Somewhat concerned,0.51506,2332,4366,0.50023,0.52988
2006,66 and older,Not concerned at all,0.22427,965,4366,0.21189,0.23664
2007,17-29 y.,Very concerned,0.24564,887,3362,0.23109,0.26020
2007,17-29 y.,Somewhat concerned,0.44983,1699,3362,0.43302,0.46665
2007,17-29 y.,Not concerned at all,0.21182,776,3362,0.19801,0.22564
2007,30-45 y.,Very concerned,0.28622,1569,5668,0.27446,0.29799
2007,30-45 y.,Somewhat concerned,0.52817,3090,5668,0.51517,0.54116
2007,30-45 y.,Not concerned at all,0.17552,1009,5668,0.16562,0.18543
2007,46-65 y.,Very concerned,0.28199,1971,7004,0.27145,0.29252
2007,46-65 y.,Somewhat concerned,0.53789,3879,7004,0.52622,0.54957
2007,46-65 y.,Not concerned at all,0.16790,1154,7004,0.15914,0.17665
2007,66 and older,Very concerned,0.24312,1088,4277,0.23026,0.25597
2007,66 and older,Somewhat concerned,0.50045,2205,4277,0.48546,0.51544
2007,66 and older,Not concerned at all,0.23822,984,4277,0.22545,0.25099
2008,17-29 y.,Very concerned,0.22517,711,3142,0.21057,0.23978
2008,17-29 y.,Somewhat concerned,0.47070,1678,3142,0.45324,0.48815
2008,17-29 y.,Not concerned at all,0.22658,753,3142,0.21194,0.24122
2008,30-45 y.,Very concerned,0.23593,1176,5145,0.22432,0.24753
2008,30-45 y.,Somewhat concerned,0.54995,2912,5145,0.53636,0.56355
2008,30-45 y.,Not concerned at all,0.20874,1057,5145,0.19763,0.21984
2008,46-65 y.,Very concerned,0.25610,1658,6661,0.24562,0.26659
2008,46-65 y.,Somewhat concerned,0.54929,3742,6661,0.53734,0.56124
2008,46-65 y.,Not concerned at all,0.18799,1261,6661,0.17861,0.19737
2008,66 and older,Very concerned,0.21184,937,4239,0.19954,0.22415
2008,66 and older,Somewhat concerned,0.53931,2298,4239,0.52431,0.55432
2008,66 and older,Not concerned at all,0.23151,1004,4239,0.21881,0.24421
2009,17-29 y.,Very concerned,0.19077,574,2828,0.17629,0.20525
2009,17-29 y.,Somewhat concerned,0.48613,1509,2828,0.46770,0.50455
2009,17-29 y.,Not concerned at all,0.24477,745,2828,0.22892,0.26062
2009,30-45 y.,Very concerned,0.19960,878,4648,0.18810,0.21109
2009,30-45 y.,Somewhat concerned,0.57595,2722,4648,0.56174,0.59016
2009,30-45 y.,Not concerned at all,0.21599,1048,4648,0.20416,0.22782
2009,46-65 y.,Very concerned,0.21653,1289,6294,0.20635,0.22670
2009,46-65 y.,Somewhat concerned,0.57722,3690,6294,0.56501,0.58942
2009,46-65 y.,Not concerned at all,0.20017,1315,6294,0.19029,0.21006
2009,66 and older,Very concerned,0.18148,748,4113,0.16970,0.19326
2009,66 and older,Somewhat concerned,0.55835,2336,4113,0.54317,0.57353
2009,66 and older,Not concerned at all,0.24817,1029,4113,0.23496,0.26137
2010,17-29 y.,Very concerned,0.18241,840,3900,0.17029,0.19453
2010,17-29 y.,Somewhat concerned,0.50969,2092,3900,0.49400,0.52538
2010,17-29 y.,Not concerned at all,0.24578,968,3900,0.23227,0.25930
2010,30-45 y.,Very concerned,0.19383,1963,9004,0.18566,0.20200
2010,30-45 y.,Somewhat concerned,0.55606,5077,9004,0.54580,0.56632
2010,30-45 y.,Not concerned at all,0.24241,1964,9004,0.23355,0.25126
2010,46-65 y.,Very concerned,0.23171,1577,6915,0.22176,0.24165
2010,46-65 y.,Somewhat concerned,0.56007,3946,6915,0.54837,0.57177
2010,46-65 y.,Not concerned at all,0.20222,1392,6915,0.19275,0.21169
2010,66 and older,Very concerned,0.18929,746,3968,0.17710,0.20148
2010,66 and older,Somewhat concerned,0.55787,2276,3968,0.54242,0.57333
