year,age_gr,migback,plj0047,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1992,17-29 y.,Direct migration background,Very concerned,0.45305,237,2195,0.45198,0.45412
1992,17-29 y.,Direct migration background,Somewhat concerned,0.40818,222,2195,0.40713,0.40924
1992,17-29 y.,Direct migration background,Not concerned at all,0.13877,75,2195,0.13802,0.13951
1992,17-29 y.,Indirect migration background,Very concerned,0.48645,130,2195,0.48503,0.48787
1992,17-29 y.,Indirect migration background,Somewhat concerned,0.34843,118,2195,0.34707,0.34978
1992,17-29 y.,Indirect migration background,Not concerned at all,0.16512,57,2195,0.16407,0.16618
1992,30-45 y.,Direct migration background,Very concerned,0.42809,231,2195,0.42718,0.42899
1992,30-45 y.,Direct migration background,Somewhat concerned,0.41129,279,2195,0.41039,0.41219
1992,30-45 y.,Direct migration background,Not concerned at all,0.16062,117,2195,0.15995,0.16129
1992,46-65 y.,Direct migration background,Very concerned,0.37659,250,2195,0.37577,0.37742
1992,46-65 y.,Direct migration background,Somewhat concerned,0.40229,324,2195,0.40146,0.40313
1992,46-65 y.,Direct migration background,Not concerned at all,0.22111,155,2195,0.22041,0.22182
1993,17-29 y.,Direct migration background,Very concerned,0.55082,270,2128,0.54980,0.55184
1993,17-29 y.,Direct migration background,Somewhat concerned,0.36236,182,2128,0.36137,0.36334
1993,17-29 y.,Direct migration background,Not concerned at all,0.08682,47,2128,0.08624,0.08740
1993,17-29 y.,Indirect migration background,Very concerned,0.54738,156,2128,0.54611,0.54865
1993,17-29 y.,Indirect migration background,Somewhat concerned,0.37418,141,2128,0.37295,0.37541
1993,17-29 y.,Indirect migration background,Not concerned at all,0.07844,35,2128,0.07776,0.07913
1993,30-45 y.,Direct migration background,Very concerned,0.49387,267,2128,0.49295,0.49480
1993,30-45 y.,Direct migration background,Somewhat concerned,0.41331,250,2128,0.41241,0.41422
1993,30-45 y.,Direct migration background,Not concerned at all,0.09281,59,2128,0.09228,0.09335
1993,46-65 y.,Direct migration background,Very concerned,0.45396,319,2128,0.45315,0.45477
1993,46-65 y.,Direct migration background,Somewhat concerned,0.40754,300,2128,0.40674,0.40834
1993,46-65 y.,Direct migration background,Not concerned at all,0.13850,102,2128,0.13794,0.13906
1994,17-29 y.,Direct migration background,Very concerned,0.49872,209,2006,0.49768,0.49977
1994,17-29 y.,Direct migration background,Somewhat concerned,0.42421,188,2006,0.42318,0.42524
1994,17-29 y.,Direct migration background,Not concerned at all,0.07706,41,2006,0.07651,0.07762
1994,17-29 y.,Indirect migration background,Very concerned,0.56951,177,2006,0.56828,0.57074
1994,17-29 y.,Indirect migration background,Somewhat concerned,0.43049,136,2006,0.42926,0.43172
1994,30-45 y.,Direct migration background,Very concerned,0.51070,256,2006,0.50981,0.51159
1994,30-45 y.,Direct migration background,Somewhat concerned,0.40126,242,2006,0.40038,0.40213
1994,30-45 y.,Direct migration background,Not concerned at all,0.08804,53,2006,0.08754,0.08855
1994,46-65 y.,Direct migration background,Very concerned,0.44405,295,2006,0.44327,0.44482
1994,46-65 y.,Direct migration background,Somewhat concerned,0.42567,304,2006,0.42490,0.42644
1994,46-65 y.,Direct migration background,Not concerned at all,0.13028,105,2006,0.12976,0.13081
1995,17-29 y.,Direct migration background,Very concerned,0.54759,172,1871,0.54630,0.54887
1995,17-29 y.,Direct migration background,Somewhat concerned,0.36686,152,1871,0.36561,0.36811
1995,17-29 y.,Direct migration background,Not concerned at all,0.08555,35,1871,0.08483,0.08628
1995,17-29 y.,Indirect migration background,Very concerned,0.42317,130,1871,0.42181,0.42454
1995,17-29 y.,Indirect migration background,Somewhat concerned,0.47747,163,1871,0.47609,0.47885
1995,17-29 y.,Indirect migration background,Not concerned at all,0.09935,37,1871,0.09853,0.10018
1995,30-45 y.,Direct migration background,Very concerned,0.42711,194,1871,0.42608,0.42815
1995,30-45 y.,Direct migration background,Somewhat concerned,0.44533,238,1871,0.44429,0.44637
1995,30-45 y.,Direct migration background,Not concerned at all,0.12755,67,1871,0.12686,0.12825
1995,46-65 y.,Direct migration background,Very concerned,0.42272,269,1871,0.42184,0.42359
1995,46-65 y.,Direct migration background,Somewhat concerned,0.41994,303,1871,0.41906,0.42081
1995,46-65 y.,Direct migration background,Not concerned at all,0.15735,111,1871,0.15670,0.15800
1996,17-29 y.,No migration background,Very concerned,0.28757,603,12823,0.28729,0.28786
