"plj0047","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Grosse Sorgen","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","144","0.506369989025977","0.449700766574","0.563039211477954"
"Grosse Sorgen","1995","(noch) kein Abschluss","2","42","0.30291048610834","0.226243220044235","0.379577752172445"
"Grosse Sorgen","1995","(noch) kein Abschluss","3","13","","",""
"Grosse Sorgen","1995","(noch) kein Abschluss","4","10","","",""
"Grosse Sorgen","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","4","","",""
"Grosse Sorgen","1995","Hauptschule","1 Einkommensschwächstes Quintil","231","0.514085373334193","0.469741278961053","0.558429467707332"
"Grosse Sorgen","1995","Hauptschule","2","89","0.325167117549961","0.271345961091354","0.378988274008569"
"Grosse Sorgen","1995","Hauptschule","3","45","0.432815583476659","0.34105573890627","0.524575428047047"
"Grosse Sorgen","1995","Hauptschule","4","20","","",""
"Grosse Sorgen","1995","Hauptschule","5 Einkommensstärkstes Quintil","6","","",""
"Grosse Sorgen","1995","Realschule","1 Einkommensschwächstes Quintil","16","","",""
"Grosse Sorgen","1995","Realschule","2","12","","",""
"Grosse Sorgen","1995","Realschule","3","7","","",""
"Grosse Sorgen","1995","Realschule","4","4","","",""
"Grosse Sorgen","1995","Realschule","5 Einkommensstärkstes Quintil","1","","",""
"Grosse Sorgen","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","38","0.386848681236166","0.288393504094269","0.485303858378062"
"Grosse Sorgen","1995","(Fach-)Abitur","2","18","","",""
"Grosse Sorgen","1995","(Fach-)Abitur","3","7","","",""
"Grosse Sorgen","1995","(Fach-)Abitur","4","5","","",""
"Grosse Sorgen","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","1","","",""
"Grosse Sorgen","1995","AkademikerIn","1 Einkommensschwächstes Quintil","2","","",""
"Grosse Sorgen","1995","AkademikerIn","2","4","","",""
"Grosse Sorgen","1995","AkademikerIn","3","5","","",""
"Grosse Sorgen","1995","AkademikerIn","4","","","",""
