"plj0047","year","quintil_oecd","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Einige Sorgen","1995","1 Einkommensschwächstes Quintil","männlich","221","0.404395367245323","0.362131879820403","0.446658854670242"
"Einige Sorgen","1995","1 Einkommensschwächstes Quintil","weiblich","204","0.375251397679936","0.332683352926197","0.417819442433676"
"Einige Sorgen","1995","2","männlich","166","0.552004363633151","0.493963791582255","0.610044935684047"
"Einige Sorgen","1995","2","weiblich","140","0.476310020792511","0.417810667303401","0.534809374281621"
"Einige Sorgen","1995","3","männlich","52","0.425444237695989","0.339116525094962","0.511771950297016"
"Einige Sorgen","1995","3","weiblich","44","0.482485874253574","0.379818891083693","0.585152857423455"
"Einige Sorgen","1995","4","männlich","36","0.322554986913577","0.218145097956488","0.426964875870666"
"Einige Sorgen","1995","4","weiblich","25","","",""
"Einige Sorgen","1995","5 Einkommensstärkstes Quintil","männlich","4","","",""
"Einige Sorgen","1995","5 Einkommensstärkstes Quintil","weiblich","5","","",""
"Grosse Sorgen","1995","1 Einkommensschwächstes Quintil","männlich","232","0.467083955531699","0.424119423710409","0.510048487352989"
"Grosse Sorgen","1995","1 Einkommensschwächstes Quintil","weiblich","236","0.521251878207913","0.477333402888421","0.565170353527406"
"Grosse Sorgen","1995","2","männlich","83","0.31558821142313","0.261345340982579","0.369831081863681"
"Grosse Sorgen","1995","2","weiblich","96","0.367163646946399","0.310703159616817","0.423624134275981"
"Grosse Sorgen","1995","3","männlich","50","0.426089944434112","0.339745305432034","0.51243458343619"
"Grosse Sorgen","1995","3","weiblich","39","0.457386069834239","0.355029828143771","0.559742311524708"
"Grosse Sorgen","1995","4","männlich","25","","",""
"Grosse Sorgen","1995","4","weiblich","14","","",""
"Grosse Sorgen","1995","5 Einkommensstärkstes Quintil","männlich","9","","",""
"Grosse Sorgen","1995","5 Einkommensstärkstes Quintil","weiblich","5","","",""
"Keine Sorgen","1995","1 Einkommensschwächstes Quintil","männlich","65","0.128520677222979","0.0997003931346311","0.157340961311326"
"Keine Sorgen","1995","1 Einkommensschwächstes Quintil","weiblich","57","0.10349672411215","0.0767168125222431","0.130276635702058"
"Keine Sorgen","1995","2","männlich","33","0.132407424943719","0.0928491249252781","0.17196572496216"
"Keine Sorgen","1995","2","weiblich","44","0.15652633226109","0.113966633602464","0.199086030919716"
"Keine Sorgen","1995","3","männlich","24","","",""
"Keine Sorgen","1995","3","weiblich","8","","",""
"Keine Sorgen","1995","4","männlich","16","","",""
"Keine Sorgen","1995","4","weiblich","8","","",""
"Keine Sorgen","1995","5 Einkommensstärkstes Quintil","männlich","4","","",""
"Keine Sorgen","1995","5 Einkommensstärkstes Quintil","weiblich","3","","",""
"Einige Sorgen","1996","1 Einkommensschwächstes Quintil","männlich","959","0.476907289221718","0.455147777220243","0.498666801223192"
"Einige Sorgen","1996","1 Einkommensschwächstes Quintil","weiblich","1235","0.504453186997866","0.484470985711006","0.524435388284727"
"Einige Sorgen","1996","2","männlich","989","0.52361377210213","0.500811897513247","0.546415646691013"
"Einige Sorgen","1996","2","weiblich","1076","0.511656066225961","0.489560339162504","0.533751793289418"
"Einige Sorgen","1996","3","männlich","602","0.544953884235696","0.515970496569129","0.573937271902263"
"Einige Sorgen","1996","3","weiblich","658","0.560981063172645","0.532298702127096","0.589663424218195"
"Einige Sorgen","1996","4","männlich","431","0.556056030232804","0.521255122822276","0.590856937643333"
"Einige Sorgen","1996","4","weiblich","418","0.575784952613506","0.540438054122768","0.611131851104243"
"Einige Sorgen","1996","5 Einkommensstärkstes Quintil","männlich","249","0.590291123118054","0.544077046981874","0.636505199254233"
"Einige Sorgen","1996","5 Einkommensstärkstes Quintil","weiblich","224","0.603654027589169","0.554147355531835","0.653160699646504"
"Grosse Sorgen","1996","1 Einkommensschwächstes Quintil","männlich","692","0.326484523774002","0.306055485297382","0.346913562250622"
"Grosse Sorgen","1996","1 Einkommensschwächstes Quintil","weiblich","784","0.321927117325178","0.303254400147918","0.340599834502438"
"Grosse Sorgen","1996","2","männlich","509","0.303678893998815","0.282684782107442","0.324673005890188"
"Grosse Sorgen","1996","2","weiblich","577","0.325524705838455","0.30481226242462","0.346237149252291"
"Grosse Sorgen","1996","3","männlich","318","0.264314721524962","0.238649307596619","0.289980135453304"
"Grosse Sorgen","1996","3","weiblich","342","0.304881007275708","0.278274128336464","0.331487886214953"
"Grosse Sorgen","1996","4","männlich","204","0.258928296693695","0.228246055291679","0.289610538095711"
"Grosse Sorgen","1996","4","weiblich","224","0.276755159788698","0.244757467487682","0.308752852089715"
"Grosse Sorgen","1996","5 Einkommensstärkstes Quintil","männlich","91","0.188273638501579","0.151536692870615","0.225010584132544"
"Grosse Sorgen","1996","5 Einkommensstärkstes Quintil","weiblich","103","0.259745953588798","0.215364936837988","0.304126970339608"
"Keine Sorgen","1996","1 Einkommensschwächstes Quintil","männlich","373","0.19660818700428","0.179293791366997","0.213922582641563"
"Keine Sorgen","1996","1 Einkommensschwächstes Quintil","weiblich","386","0.173619695676956","0.158481293985305","0.188758097368607"
"Keine Sorgen","1996","2","männlich","345","0.172707333899055","0.15545013118726","0.189964536610849"
"Keine Sorgen","1996","2","weiblich","313","0.162819227935584","0.146499278743274","0.179139177127893"
"Keine Sorgen","1996","3","männlich","214","0.190731394239342","0.167864930758736","0.213597857719949"
"Keine Sorgen","1996","3","weiblich","150","0.134137929551646","0.114440963883462","0.153834895219831"
"Keine Sorgen","1996","4","männlich","148","0.185015673073501","0.15781710135995","0.212214244787052"
