"plj0047","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Grosse Sorgen","1992","(noch) kein Abschluss","maennlich","90","0.370815711847485","0.311761683589302","0.429869740105669"
"Grosse Sorgen","1992","(noch) kein Abschluss","weiblich","136","0.41764698383415","0.366345284182969","0.46894868348533"
"Grosse Sorgen","1992","Hauptschule","maennlich","263","0.397663274166556","0.361433427502821","0.43389312083029"
"Grosse Sorgen","1992","Hauptschule","weiblich","189","0.437098370670546","0.392998653612205","0.481198087728887"
"Grosse Sorgen","1992","Realschule","maennlich","29","","",""
"Grosse Sorgen","1992","Realschule","weiblich","21","","",""
"Grosse Sorgen","1992","(Fach-)Abitur","maennlich","51","0.434585152401735","0.34398681716647","0.525183487636999"
"Grosse Sorgen","1992","(Fach-)Abitur","weiblich","31","0.475836597127315","0.365005136233294","0.586668058021336"
"Grosse Sorgen","1992","AkademikerIn","maennlich","12","","",""
"Grosse Sorgen","1992","AkademikerIn","weiblich","5","","",""
"Einige Sorgen","1992","(noch) kein Abschluss","maennlich","104","0.376046333842902","0.316824973478782","0.435267694207022"
"Einige Sorgen","1992","(noch) kein Abschluss","weiblich","148","0.401675561440458","0.350679106106519","0.452672016774396"
"Einige Sorgen","1992","Hauptschule","maennlich","309","0.418109699555507","0.381596090413165","0.454623308697849"
"Einige Sorgen","1992","Hauptschule","weiblich","208","0.390445235328871","0.347072542623706","0.433817928034036"
"Einige Sorgen","1992","Realschule","maennlich","16","","",""
"Einige Sorgen","1992","Realschule","weiblich","17","","",""
"Einige Sorgen","1992","(Fach-)Abitur","maennlich","49","0.433941102588119","0.343358378831551","0.524523826344687"
"Einige Sorgen","1992","(Fach-)Abitur","weiblich","41","0.436459478868384","0.326398003757273","0.546520953979495"
"Einige Sorgen","1992","AkademikerIn","maennlich","14","","",""
"Einige Sorgen","1992","AkademikerIn","weiblich","8","","",""
"Keine Sorgen","1992","(noch) kein Abschluss","maennlich","63","0.253137954309613","0.19997851919938","0.306297389419847"
"Keine Sorgen","1992","(noch) kein Abschluss","weiblich","71","0.180677454725392","0.140654112798215","0.22070079665257"
"Keine Sorgen","1992","Hauptschule","maennlich","129","0.184227026277938","0.155529107004006","0.212924945551869"
"Keine Sorgen","1992","Hauptschule","weiblich","89","0.172456394000583","0.138869870678279","0.206042917322887"
"Keine Sorgen","1992","Realschule","maennlich","9","","",""
"Keine Sorgen","1992","Realschule","weiblich","13","","",""
"Keine Sorgen","1992","(Fach-)Abitur","maennlich","15","","",""
"Keine Sorgen","1992","(Fach-)Abitur","weiblich","6","","",""
"Keine Sorgen","1992","AkademikerIn","maennlich","4","","",""
