,Unnamed: 0,year,quintil_oecd,plj0047,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,1st Quintile,Very concerned,0.47039,208,2235,0.42882,0.5107
1,1,1992,1st Quintile,Somewhat concerned,0.36366,185,2235,0.32997,0.39596
2,2,1992,1st Quintile,Not concerned at all,0.16595,78,2235,0.14567,0.18407
3,3,1992,2nd Quintile,Very concerned,0.43193,222,2235,0.39468,0.47204
4,4,1992,2nd Quintile,Somewhat concerned,0.41936,236,2235,0.38204,0.46536
5,5,1992,2nd Quintile,Not concerned at all,0.14871,77,2235,0.1284,0.17065
6,6,1992,3rd Quintile,Very concerned,0.4055,211,2235,0.36602,0.45517
7,7,1992,3rd Quintile,Somewhat concerned,0.38786,224,2235,0.35901,0.42728
8,8,1992,3rd Quintile,Not concerned at all,0.20664,118,2235,0.17632,0.24713
9,9,1992,4th Quintile,Very concerned,0.37991,163,2235,0.33854,0.43902
10,10,1992,4th Quintile,Somewhat concerned,0.42104,237,2235,0.39022,0.45882
11,11,1992,4th Quintile,Not concerned at all,0.19905,97,2235,0.16952,0.2385
12,12,1992,5th Quintile,Very concerned,0.36389,53,2235,0.28855,0.44442
13,13,1992,5th Quintile,Somewhat concerned,0.43643,81,2235,0.36487,0.51479
14,14,1992,5th Quintile,Not concerned at all,0.19968,45,2235,0.17029,0.23032
15,15,1993,1st Quintile,Very concerned,0.58969,333,2160,0.54638,0.62892
16,16,1993,1st Quintile,Somewhat concerned,0.32693,185,2160,0.29631,0.35762
17,17,1993,1st Quintile,Not concerned at all,0.08338,56,2160,0.06959,0.09629
18,18,1993,2nd Quintile,Very concerned,0.51626,272,2160,0.47882,0.56632
19,19,1993,2nd Quintile,Somewhat concerned,0.3936,230,2160,0.35897,0.43321
20,20,1993,2nd Quintile,Not concerned at all,0.09014,52,2160,0.07572,0.10779
21,21,1993,3rd Quintile,Very concerned,0.44996,204,2160,0.39741,0.51236
22,22,1993,3rd Quintile,Somewhat concerned,0.4149,204,2160,0.37324,0.47491
23,23,1993,3rd Quintile,Not concerned at all,0.13514,56,2160,0.10082,0.17249
24,24,1993,4th Quintile,Very concerned,0.40451,144,2160,0.36697,0.45708
25,25,1993,4th Quintile,Somewhat concerned,0.45361,196,2160,0.38647,0.53282
26,26,1993,4th Quintile,Not concerned at all,0.14188,65,2160,0.11442,0.16483
27,27,1993,5th Quintile,Very concerned,0.46799,75,2160,0.38626,0.57427
28,28,1993,5th Quintile,Somewhat concerned,0.53201,88,2160,0.45473,0.62688
29,29,1994,1st Quintile,Very concerned,0.52798,332,2074,0.49026,0.56946
30,30,1994,1st Quintile,Somewhat concerned,0.38809,256,2074,0.3579,0.4188
31,31,1994,1st Quintile,Not concerned at all,0.08392,56,2074,0.07094,0.09604
32,32,1994,2nd Quintile,Very concerned,0.52312,257,2074,0.47279,0.58185
33,33,1994,2nd Quintile,Somewhat concerned,0.37137,205,2074,0.33776,0.41485
34,34,1994,2nd Quintile,Not concerned at all,0.10551,50,2074,0.08261,0.12904
35,35,1994,3rd Quintile,Very concerned,0.42785,182,2074,0.39161,0.4686
36,36,1994,3rd Quintile,Somewhat concerned,0.45837,201,2074,0.39833,0.52119
37,37,1994,3rd Quintile,Not concerned at all,0.11378,65,2074,0.09605,0.13285
38,38,1994,4th Quintile,Very concerned,0.44353,137,2074,0.38224,0.5143
39,39,1994,4th Quintile,Somewhat concerned,0.44784,159,2074,0.37695,0.52644
40,40,1994,4th Quintile,Not concerned at all,0.10863,46,2074,0.08625,0.13697
41,41,1994,5th Quintile,Very concerned,0.39965,49,2074,0.32767,0.50637
42,42,1994,5th Quintile,Somewhat concerned,0.60035,79,2074,0.52633,0.68423
43,43,1995,1st Quintile,Very concerned,0.52137,291,1947,0.47903,0.55824
44,44,1995,1st Quintile,Somewhat concerned,0.36168,236,1947,0.32912,0.40414
45,45,1995,1st Quintile,Not concerned at all,0.11696,63,1947,0.09667,0.13679
46,46,1995,2nd Quintile,Very concerned,0.43023,233,1947,0.39629,0.47112
47,47,1995,2nd Quintile,Somewhat concerned,0.45117,265,1947,0.41066,0.50428
48,48,1995,2nd Quintile,Not concerned at all,0.1186,66,1947,0.09418,0.14727
49,49,1995,3rd Quintile,Very concerned,0.37773,118,1947,0.31313,0.45203
50,50,1995,3rd Quintile,Somewhat concerned,0.48084,184,1947,0.43387,0.52907
51,51,1995,3rd Quintile,Not concerned at all,0.14143,47,1947,0.10589,0.19287
52,52,1995,4th Quintile,Very concerned,0.3522,95,1947,0.30488,0.39618
53,53,1995,4th Quintile,Somewhat concerned,0.51279,140,1947,0.42298,0.6357
54,54,1995,4th Quintile,Not concerned at all,0.13501,50,1947,0.11237,0.16062
55,55,1995,5th Quintile,Very concerned,0.46049,52,1947,0.37093,0.56181
56,56,1995,5th Quintile,Somewhat concerned,0.36566,71,1947,0.30517,0.42707
57,57,1995,5th Quintile,Not concerned at all,0.17385,36,1947,0.13498,0.21701
58,58,1996,1st Quintile,Very concerned,0.34385,872,12860,0.3252,0.36584
59,59,1996,1st Quintile,Somewhat concerned,0.48059,1209,12860,0.4588,0.50003
60,60,1996,1st Quintile,Not concerned at all,0.17556,416,12860,0.16283,0.19025
61,61,1996,2nd Quintile,Very concerned,0.30874,808,12860,0.2922,0.3286
62,62,1996,2nd Quintile,Somewhat concerned,0.50705,1428,12860,0.48591,0.52514
63,63,1996,2nd Quintile,Not concerned at all,0.18421,476,12860,0.17041,0.19705
64,64,1996,3rd Quintile,Very concerned,0.31608,800,12860,0.29702,0.33481
65,65,1996,3rd Quintile,Somewhat concerned,0.52121,1402,12860,0.49863,0.53964
