year,pgisced97,regtyp,plj0047,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1992,Primary Level,Urban regions,Very concerned,0.09514036999551718,171,1874,0.09481850697239481,0.09546223301863956
1992,Primary Level,Urban regions,Somewhat concerned,0.09316202810359762,188,1874,0.09284318107254044,0.0934808751346548
1992,Primary Level,Urban regions,Not concerned at all,0.04627291891793805,90,1874,0.04604247058703466,0.04650336724884144
1992,Lower Secondary Level,Urban regions,Very concerned,0.16659379181163286,291,1874,0.16618504362972217,0.16700253999354356
1992,Lower Secondary Level,Urban regions,Somewhat concerned,0.1539045769077059,307,1874,0.1535087243072562,0.1543004295081556
1992,Lower Secondary Level,Urban regions,Not concerned at all,0.05990863141786564,113,1874,0.05964829927476796,0.06016896356096332
1992,Lower Secondary Level,Rural regions,Very concerned,0.01619346344579636,33,1874,0.01605500393710673,0.01633192295448599
1992,Lower Secondary Level,Rural regions,Somewhat concerned,0.02424701436203027,44,1874,0.02407828248375569,0.02441574624030485
1992,Upper Secondary Level,Urban regions,Very concerned,0.12615091454802788,212,1874,0.12578669648414137,0.12651513261191438
1992,Upper Secondary Level,Urban regions,Somewhat concerned,0.11693156329552747,250,1874,0.1165790616726526,0.11728406491840233
1992,Upper Secondary Level,Urban regions,Not concerned at all,0.057178348324716424,104,1874,0.05692364850448204,0.05743304814495081
1992,Post-secondary Non-tertiary Level,Urban regions,Very concerned,0.02059037218619525,32,1874,0.02043459195479504,0.02074615241759546
1992,Post-secondary Non-tertiary Level,Urban regions,Somewhat concerned,0.023726006683449135,39,1874,0.02355905290738265,0.02389296045951562
1993,Primary Level,Urban regions,Very concerned,0.1125966601097321,206,1942,0.11227342383455627,0.11291989638490793
1993,Primary Level,Urban regions,Somewhat concerned,0.08472772069530173,175,1942,0.08444295693045671,0.08501248446014674
1993,Primary Level,Urban regions,Not concerned at all,0.024335807523617567,54,1942,0.02417823885192717,0.024493376195307965
1993,Primary Level,Rural regions,Very concerned,0.01649477368071721,32,1942,0.016364529500540383,0.016625017860894035
1993,Lower Secondary Level,Urban regions,Very concerned,0.18269702843179958,333,1942,0.1823018856157552,0.18309217124784397
1993,Lower Secondary Level,Urban regions,Somewhat concerned,0.1307438448852398,279,1942,0.13039911310405236,0.13108857666642723
1993,Lower Secondary Level,Urban regions,Not concerned at all,0.0393691508738484,80,1942,0.03917028828065922,0.03956801346703758
1993,Lower Secondary Level,Rural regions,Very concerned,0.022278543230424372,49,1942,0.022127622889495904,0.02242946357135284
1993,Lower Secondary Level,Rural regions,Somewhat concerned,0.015573461547298483,36,1942,0.015446847747150121,0.015700075347446843
1993,Upper Secondary Level,Urban regions,Very concerned,0.13212926452856638,245,1942,0.13178298737355557,0.1324755416835772
1993,Upper Secondary Level,Urban regions,Somewhat concerned,0.12389114323445996,243,1942,0.12355424714071397,0.12422803932820595
1993,Upper Secondary Level,Urban regions,Not concerned at all,0.03476816477747287,66,1942,0.03458083642563262,0.03495549312931311
1993,Upper Secondary Level,Rural regions,Very concerned,0.017989433678843574,36,1942,0.017853519853499904,0.018125347504187244
1993,Upper Secondary Level,Rural regions,Somewhat concerned,0.014756022066796647,35,1942,0.01463272482756791,0.014879319306025384
1993,Post-secondary Non-tertiary Level,Urban regions,Very concerned,0.021039801757159676,36,1942,0.0208930443098587,0.02118655920446065
1993,Post-secondary Non-tertiary Level,Urban regions,Somewhat concerned,0.026609178978721715,37,1942,0.026444606894064207,0.026773751063379224
1994,Primary Level,Urban regions,Very concerned,0.11197995877379827,185,1699,0.11165063936072082,0.11230927818687571
1994,Primary Level,Urban regions,Somewhat concerned,0.11299331176803543,181,1699,0.11266269443855167,0.11332392909751918
1994,Primary Level,Urban regions,Not concerned at all,0.0159129564966874,41,1699,0.01578227081963688,0.016043642173737917
1994,Lower Secondary Level,Urban regions,Very concerned,0.19690920253549551,316,1699,0.19649391286518617,0.19732449220580486
1994,Lower Secondary Level,Urban regions,Somewhat concerned,0.12173629014053684,234,1699,0.12139481562481547,0.12207776465625822
