,Unnamed: 0,year,age_gr,regtyp,plj0047,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,17-29 y.,Urban regions,Very concerned,0.47884,332,2079,0.43486,0.51629
1,1,1992,17-29 y.,Urban regions,Somewhat concerned,0.39264,306,2079,0.36011,0.42929
2,2,1992,17-29 y.,Urban regions,Not concerned at all,0.12852,103,2079,0.11013,0.1508
3,3,1992,17-29 y.,Rural regions,Very concerned,0.52202,36,2079,0.40545,0.6347
4,4,1992,17-29 y.,Rural regions,Somewhat concerned,0.47798,34,2079,0.38911,0.56726
5,5,1992,30-45 y.,Urban regions,Very concerned,0.43445,208,2079,0.39739,0.475
6,6,1992,30-45 y.,Urban regions,Somewhat concerned,0.41137,250,2079,0.37626,0.45417
7,7,1992,30-45 y.,Urban regions,Not concerned at all,0.15418,90,2079,0.13572,0.17645
8,8,1992,30-45 y.,Rural regions,Somewhat concerned,1.0,32,2079,0.8416,1.18855
9,9,1992,46-65 y.,Urban regions,Very concerned,0.37083,223,2079,0.33344,0.41456
10,10,1992,46-65 y.,Urban regions,Somewhat concerned,0.40089,289,2079,0.36713,0.43429
11,11,1992,46-65 y.,Urban regions,Not concerned at all,0.22828,139,2079,0.20024,0.25991
12,12,1992,46-65 y.,Rural regions,Somewhat concerned,1.0,37,2079,0.80535,1.26222
13,13,1993,17-29 y.,Urban regions,Very concerned,0.54943,370,2050,0.50862,0.57977
14,14,1993,17-29 y.,Urban regions,Somewhat concerned,0.36917,281,2050,0.32793,0.41453
15,15,1993,17-29 y.,Urban regions,Not concerned at all,0.0814,71,2050,0.06578,0.10026
16,16,1993,17-29 y.,Rural regions,Very concerned,0.61266,57,2050,0.50083,0.72753
17,17,1993,17-29 y.,Rural regions,Somewhat concerned,0.38734,42,2050,0.31294,0.45903
18,18,1993,30-45 y.,Urban regions,Very concerned,0.48575,233,2050,0.43933,0.55143
19,19,1993,30-45 y.,Urban regions,Somewhat concerned,0.4088,225,2050,0.37208,0.45047
20,20,1993,30-45 y.,Urban regions,Not concerned at all,0.10545,56,2050,0.08581,0.12607
21,21,1993,30-45 y.,Rural regions,Very concerned,1.0,38,2050,0.82618,1.18539
22,22,1993,46-65 y.,Urban regions,Very concerned,0.44085,280,2050,0.40855,0.47155
23,23,1993,46-65 y.,Urban regions,Somewhat concerned,0.42165,272,2050,0.38057,0.46925
24,24,1993,46-65 y.,Urban regions,Not concerned at all,0.1375,85,2050,0.11523,0.16175
25,25,1993,46-65 y.,Rural regions,Very concerned,1.0,40,2050,0.82377,1.15465
26,26,1994,17-29 y.,Urban regions,Very concerned,0.53297,350,1963,0.49621,0.56549
27,27,1994,17-29 y.,Urban regions,Somewhat concerned,0.40272,276,1963,0.3663,0.44379
28,28,1994,17-29 y.,Urban regions,Not concerned at all,0.0643,52,1963,0.05199,0.0789
29,29,1994,17-29 y.,Rural regions,Very concerned,0.43346,38,1963,0.34148,0.52984
30,30,1994,17-29 y.,Rural regions,Somewhat concerned,0.56654,48,1963,0.43421,0.7326
31,31,1994,30-45 y.,Urban regions,Very concerned,0.52285,243,1963,0.46397,0.59193
32,32,1994,30-45 y.,Urban regions,Somewhat concerned,0.38201,210,1963,0.34173,0.44386
33,33,1994,30-45 y.,Urban regions,Not concerned at all,0.09515,46,1963,0.07773,0.11844
34,34,1994,30-45 y.,Rural regions,Somewhat concerned,1.0,39,1963,0.84816,1.14214
35,35,1994,46-65 y.,Urban regions,Very concerned,0.44583,267,1963,0.40871,0.48238
