year,pgisced97,quintil_oecd,plj0047,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Primary Level,1st Quintile,Very concerned,0.39173,46,92,0.29144,0.49203
1992,Primary Level,1st Quintile,Somewhat concerned,0.37163,46,92,0.27234,0.47092
1992,Primary Level,2nd Quintile,Very concerned,0.44747,56,116,0.35659,0.53835
1992,Primary Level,2nd Quintile,Somewhat concerned,0.43939,60,116,0.34868,0.53010
1992,Primary Level,3rd Quintile,Very concerned,0.44648,51,131,0.36102,0.53194
1992,Primary Level,3rd Quintile,Somewhat concerned,0.30848,40,131,0.22908,0.38787
1992,Primary Level,3rd Quintile,Not concerned at all,0.24504,40,131,0.17110,0.31898
1992,Primary Level,4th Quintile,Somewhat concerned,0.47545,53,53,0.33971,0.61118
1992,Lower Secondary Level,1st Quintile,Very concerned,0.42421,76,161,0.34763,0.50079
1992,Lower Secondary Level,1st Quintile,Somewhat concerned,0.42547,85,161,0.34886,0.50208
1992,Lower Secondary Level,2nd Quintile,Very concerned,0.53583,113,190,0.46473,0.60693
1992,Lower Secondary Level,2nd Quintile,Somewhat concerned,0.33259,77,190,0.26542,0.39976
1992,Lower Secondary Level,3rd Quintile,Very concerned,0.33984,59,173,0.26906,0.41063
1992,Lower Secondary Level,3rd Quintile,Somewhat concerned,0.46554,83,173,0.39099,0.54009
1992,Lower Secondary Level,3rd Quintile,Not concerned at all,0.19462,31,173,0.13545,0.25378
1992,Lower Secondary Level,4th Quintile,Very concerned,0.38618,59,176,0.31404,0.45832
1992,Lower Secondary Level,4th Quintile,Somewhat concerned,0.42286,79,176,0.34967,0.49605
1992,Lower Secondary Level,4th Quintile,Not concerned at all,0.19096,38,176,0.13272,0.24920
1992,Upper Secondary Level,1st Quintile,Very concerned,0.53751,49,85,0.43088,0.64413
1992,Upper Secondary Level,1st Quintile,Somewhat concerned,0.30711,36,85,0.20846,0.40576
1992,Upper Secondary Level,2nd Quintile,Very concerned,0.38866,51,107,0.29586,0.48145
1992,Upper Secondary Level,2nd Quintile,Somewhat concerned,0.41932,56,107,0.32538,0.51325
1992,Upper Secondary Level,3rd Quintile,Very concerned,0.44361,73,187,0.37221,0.51501
1992,Upper Secondary Level,3rd Quintile,Somewhat concerned,0.33296,74,187,0.26524,0.40069
1992,Upper Secondary Level,3rd Quintile,Not concerned at all,0.22342,40,187,0.16356,0.28329
1992,Upper Secondary Level,4th Quintile,Very concerned,0.36244,51,129,0.27916,0.44572
1992,Upper Secondary Level,4th Quintile,Somewhat concerned,0.44088,78,129,0.35487,0.52689
1992,Upper Secondary Level,5th Quintile,Somewhat concerned,0.45107,34,34,0.28129,0.62085
1993,Primary Level,1st Quintile,Very concerned,0.48973,75,132,0.40413,0.57534
1993,Primary Level,1st Quintile,Somewhat concerned,0.36976,57,132,0.28709,0.45243
