,Unnamed: 0,year,migback,regtyp,plj0047,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,Direct migration background,Urban regions,Very concerned,0.41626,647,2193,0.3867,0.44306
1,1,1992,Direct migration background,Urban regions,Somewhat concerned,0.41107,757,2193,0.39429,0.42972
2,2,1992,Direct migration background,Urban regions,Not concerned at all,0.17267,294,2193,0.15689,0.18569
3,3,1992,Direct migration background,Rural regions,Very concerned,0.37758,78,2193,0.32671,0.43933
4,4,1992,Direct migration background,Rural regions,Somewhat concerned,0.37779,84,2193,0.33057,0.43342
5,5,1992,Direct migration background,Rural regions,Not concerned at all,0.24463,61,2193,0.20294,0.29341
6,6,1992,Indirect migration background,Urban regions,Very concerned,0.48958,122,2193,0.43619,0.54003
7,7,1992,Indirect migration background,Urban regions,Somewhat concerned,0.33934,104,2193,0.30199,0.38043
8,8,1992,Indirect migration background,Urban regions,Not concerned at all,0.17108,46,2193,0.13713,0.2223
9,9,1993,Direct migration background,Urban regions,Very concerned,0.48286,752,2100,0.45999,0.50387
10,10,1993,Direct migration background,Urban regions,Somewhat concerned,0.40853,679,2100,0.38456,0.43283
11,11,1993,Direct migration background,Urban regions,Not concerned at all,0.10861,184,2100,0.09751,0.12174
12,12,1993,Direct migration background,Rural regions,Very concerned,0.62655,114,2100,0.56053,0.69352
13,13,1993,Direct migration background,Rural regions,Somewhat concerned,0.37345,76,2100,0.32918,0.4239
14,14,1993,Indirect migration background,Urban regions,Very concerned,0.53499,140,2100,0.47585,0.58145
15,15,1993,Indirect migration background,Urban regions,Somewhat concerned,0.35787,121,2100,0.32646,0.388
16,16,1993,Indirect migration background,Urban regions,Not concerned at all,0.10714,34,2100,0.07664,0.15438
17,17,1994,Direct migration background,Urban regions,Very concerned,0.48493,711,2021,0.46068,0.5157
18,18,1994,Direct migration background,Urban regions,Somewhat concerned,0.41727,656,2021,0.38719,0.44698
19,19,1994,Direct migration background,Urban regions,Not concerned at all,0.0978,169,2021,0.08669,0.10803
20,20,1994,Direct migration background,Rural regions,Very concerned,0.37681,64,2021,0.32694,0.437
21,21,1994,Direct migration background,Rural regions,Somewhat concerned,0.45873,100,2021,0.41242,0.50589
22,22,1994,Direct migration background,Rural regions,Not concerned at all,0.16446,39,2021,0.13306,0.20884
23,23,1994,Indirect migration background,Urban regions,Very concerned,0.5883,162,2021,0.53152,0.64914
24,24,1994,Indirect migration background,Urban regions,Somewhat concerned,0.4117,120,2021,0.36918,0.4724
25,25,1995,Direct migration background,Urban regions,Very concerned,0.45818,586,1893,0.4306,0.48798
26,26,1995,Direct migration background,Urban regions,Somewhat concerned,0.41696,644,1893,0.38568,0.44686
27,27,1995,Direct migration background,Urban regions,Not concerned at all,0.12486,178,1893,0.11104,0.1451
28,28,1995,Direct migration background,Rural regions,Very concerned,0.36357,65,1893,0.30213,0.42223
29,29,1995,Direct migration background,Rural regions,Somewhat concerned,0.44037,75,1893,0.38729,0.4892
30,30,1995,Direct migration background,Rural regions,Not concerned at all,0.19606,43,1893,0.16037,0.24619
31,31,1995,Indirect migration background,Urban regions,Very concerned,0.4215,118,1893,0.37777,0.48022
32,32,1995,Indirect migration background,Urban regions,Somewhat concerned,0.48368,150,1893,0.43741,0.53069
33,33,1995,Indirect migration background,Urban regions,Not concerned at all,0.09482,34,1893,0.0707,0.12108
34,34,1996,No migration background,Urban regions,Very concerned,0.26866,1562,12822,0.25922,0.27801
35,35,1996,No migration background,Urban regions,Somewhat concerned,0.54976,3212,12822,0.53555,0.56342
36,36,1996,No migration background,Urban regions,Not concerned at all,0.18158,1069,12822,0.17409,0.18874
37,37,1996,No migration background,Rural regions,Very concerned,0.32306,1147,12822,0.30743,0.33832
38,38,1996,No migration background,Rural regions,Somewhat concerned,0.5048,2063,12822,0.48863,0.52162
