"plj0047","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Große Sorgen","1992","Schleswig-Holstein","kein Migrationshintergrund","","","",""
"Große Sorgen","1992","Schleswig-Holstein","direkter Migrationshintergrund","","","",""
"Große Sorgen","1992","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"Große Sorgen","1992","Hamburg","kein Migrationshintergrund","","","",""
"Große Sorgen","1992","Hamburg","direkter Migrationshintergrund","","","",""
"Große Sorgen","1992","Hamburg","indirekter Migrationshintergrund","","","",""
"Große Sorgen","1992","Niedersachsen","kein Migrationshintergrund","","","",""
"Große Sorgen","1992","Niedersachsen","direkter Migrationshintergrund","46","0.462760379065317","0.365034363546119","0.560486394584515"
"Große Sorgen","1992","Niedersachsen","indirekter Migrationshintergrund","","","",""
"Große Sorgen","1992","Bremen","kein Migrationshintergrund","","","",""
"Große Sorgen","1992","Bremen","direkter Migrationshintergrund","","","",""
"Große Sorgen","1992","Bremen","indirekter Migrationshintergrund","","","",""
"Große Sorgen","1992","Nordrhein-Westfalen","kein Migrationshintergrund","","","",""
"Große Sorgen","1992","Nordrhein-Westfalen","direkter Migrationshintergrund","230","0.469834320412472","0.427182910411014","0.512485730413929"
"Große Sorgen","1992","Nordrhein-Westfalen","indirekter Migrationshintergrund","43","0.484223187281753","0.382103876411821","0.586342498151686"
"Große Sorgen","1992","Hessen","kein Migrationshintergrund","","","",""
"Große Sorgen","1992","Hessen","direkter Migrationshintergrund","57","0.250645985355836","0.197865654950543","0.303426315761129"
"Große Sorgen","1992","Hessen","indirekter Migrationshintergrund","","","",""
"Große Sorgen","1992","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","","","",""
"Große Sorgen","1992","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","31","0.300762517373543","0.209027176217583","0.392497858529503"
"Große Sorgen","1992","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","","","",""
"Große Sorgen","1992","Baden-Württemberg","kein Migrationshintergrund","","","",""
