year,regtyp,sampreg,plj0047,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Urban regions,West,Very concerned,0.42561,769,1970,0.40377,0.44745
1992,Urban regions,West,Somewhat concerned,0.40197,861,1970,0.38032,0.42363
1992,Urban regions,West,Not concerned at all,0.17242,340,1970,0.15573,0.18910
1992,Rural regions,West,Very concerned,0.36944,89,267,0.31144,0.42745
1992,Rural regions,West,Somewhat concerned,0.37997,103,267,0.32164,0.43830
1992,Rural regions,West,Not concerned at all,0.25059,75,267,0.19851,0.30267
1993,Urban regions,West,Very concerned,0.49062,893,1911,0.46820,0.51304
1993,Urban regions,West,Somewhat concerned,0.40105,800,1911,0.37907,0.42303
1993,Urban regions,West,Not concerned at all,0.10834,218,1911,0.09440,0.12227
1993,Rural regions,West,Very concerned,0.53368,135,273,0.47439,0.59296
1993,Rural regions,West,Somewhat concerned,0.34992,103,273,0.29324,0.40660
1993,Rural regions,West,Not concerned at all,0.11640,35,273,0.07829,0.15451
1994,Urban regions,West,Very concerned,0.49389,875,1846,0.47108,0.51671
1994,Urban regions,West,Somewhat concerned,0.41126,776,1846,0.38881,0.43372
1994,Urban regions,West,Not concerned at all,0.09484,195,1846,0.08147,0.10821
1994,Rural regions,West,Very concerned,0.37939,84,257,0.31995,0.43883
1994,Rural regions,West,Somewhat concerned,0.46263,125,257,0.40155,0.52371
1994,Rural regions,West,Not concerned at all,0.15798,48,257,0.11330,0.20265
1995,Urban regions,West,Very concerned,0.45262,705,1712,0.42903,0.47620
1995,Urban regions,West,Somewhat concerned,0.42729,795,1712,0.40385,0.45073
1995,Urban regions,West,Not concerned at all,0.12009,212,1712,0.10469,0.13549
1995,Rural regions,West,Very concerned,0.37228,84,236,0.31047,0.43408
1995,Rural regions,West,Somewhat concerned,0.43485,102,236,0.37147,0.49823
1995,Rural regions,West,Not concerned at all,0.19288,50,236,0.14243,0.24332
1996,Urban regions,West,Very concerned,0.28789,2184,7202,0.27743,0.29835
