"plj0047","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","1992","17-34","Westdeutschland","433","0.460517869301001","0.429732445889101","0.4913032927129"
"Grosse Sorgen","1992","17-34","Ostdeutschland","","","",""
"Grosse Sorgen","1992","35-65","Westdeutschland","418","0.391056063247451","0.363434600947192","0.418677525547709"
"Grosse Sorgen","1992","35-65","Ostdeutschland","","","",""
"Grosse Sorgen","1992","66 +","Westdeutschland","","","",""
"Grosse Sorgen","1992","66 +","Ostdeutschland","","","",""
"Einige Sorgen","1992","17-34","Westdeutschland","415","0.39260383152789","0.36244276833365","0.42276489472213"
"Einige Sorgen","1992","17-34","Ostdeutschland","","","",""
"Einige Sorgen","1992","35-65","Westdeutschland","533","0.403627047251776","0.375856297864805","0.431397796638747"
"Einige Sorgen","1992","35-65","Ostdeutschland","","","",""
"Einige Sorgen","1992","66 +","Westdeutschland","","","",""
"Einige Sorgen","1992","66 +","Ostdeutschland","","","",""
"Keine Sorgen","1992","17-34","Westdeutschland","159","0.146878299171109","0.125014900816371","0.168741697525847"
"Keine Sorgen","1992","17-34","Ostdeutschland","","","",""
"Keine Sorgen","1992","35-65","Westdeutschland","248","0.205316889500773","0.182453120215899","0.228180658785647"
"Keine Sorgen","1992","35-65","Ostdeutschland","","","",""
"Keine Sorgen","1992","66 +","Westdeutschland","","","",""
"Keine Sorgen","1992","66 +","Ostdeutschland","","","",""
"Grosse Sorgen","1993","17-34","Westdeutschland","516","0.539018340142562","0.508321974229875","0.569714706055249"
"Grosse Sorgen","1993","17-34","Ostdeutschland","","","",""
"Grosse Sorgen","1993","35-65","Westdeutschland","502","0.463944537456981","0.434893424607594","0.492995650306369"
"Grosse Sorgen","1993","35-65","Ostdeutschland","","","",""
"Grosse Sorgen","1993","66 +","Westdeutschland","","","",""
"Grosse Sorgen","1993","66 +","Ostdeutschland","","","",""
"Einige Sorgen","1993","17-34","Westdeutschland","400","0.373943513475564","0.344147845216198","0.403739181734929"
"Einige Sorgen","1993","17-34","Ostdeutschland","","","",""
"Einige Sorgen","1993","35-65","Westdeutschland","480","0.409027245574045","0.380386473183058","0.437668017965031"
"Einige Sorgen","1993","35-65","Ostdeutschland","","","",""
"Einige Sorgen","1993","66 +","Westdeutschland","","","",""
"Einige Sorgen","1993","66 +","Ostdeutschland","","","",""
"Keine Sorgen","1993","17-34","Westdeutschland","97","0.087038146381874","0.0696791544647868","0.104397138298961"
"Keine Sorgen","1993","17-34","Ostdeutschland","","","",""
"Keine Sorgen","1993","35-65","Westdeutschland","150","0.127028216968974","0.107629407307836","0.146427026630112"
"Keine Sorgen","1993","35-65","Ostdeutschland","","","",""
"Keine Sorgen","1993","66 +","Westdeutschland","","","",""
"Keine Sorgen","1993","66 +","Ostdeutschland","","","",""
"Grosse Sorgen","1994","17-34","Westdeutschland","481","0.510495065206917","0.479133517043361","0.541856613370474"
"Grosse Sorgen","1994","17-34","Ostdeutschland","","","",""
"Grosse Sorgen","1994","35-65","Westdeutschland","463","0.465200423996296","0.435466596183265","0.494934251809328"
"Grosse Sorgen","1994","35-65","Ostdeutschland","","","",""
"Grosse Sorgen","1994","66 +","Westdeutschland","","","",""
"Grosse Sorgen","1994","66 +","Ostdeutschland","","","",""
"Einige Sorgen","1994","17-34","Westdeutschland","404","0.405788259114776","0.374981675749512","0.43659484248004"
"Einige Sorgen","1994","17-34","Ostdeutschland","","","",""
"Einige Sorgen","1994","35-65","Westdeutschland","475","0.419735732823115","0.390316175793688","0.449155289852542"
"Einige Sorgen","1994","35-65","Ostdeutschland","","","",""
"Einige Sorgen","1994","66 +","Westdeutschland","","","",""
"Einige Sorgen","1994","66 +","Ostdeutschland","","","",""
"Keine Sorgen","1994","17-34","Westdeutschland","91","0.0837166756783065","0.0663409056150343","0.101092445741579"
"Keine Sorgen","1994","17-34","Ostdeutschland","","","",""
"Keine Sorgen","1994","35-65","Westdeutschland","143","0.115063843180589","0.0960416472002025","0.134086039160975"
"Keine Sorgen","1994","35-65","Ostdeutschland","","","",""
"Keine Sorgen","1994","66 +","Westdeutschland","","","",""
"Keine Sorgen","1994","66 +","Ostdeutschland","","","",""
"Grosse Sorgen","1995","17-34","Westdeutschland","383","0.466953880729777","0.434268318416572","0.499639443042983"
"Grosse Sorgen","1995","17-34","Ostdeutschland","","","",""
"Grosse Sorgen","1995","35-65","Westdeutschland","390","0.42893894437718","0.398294394860988","0.459583493893372"
"Grosse Sorgen","1995","35-65","Ostdeutschland","","","",""
"Grosse Sorgen","1995","66 +","Westdeutschland","","","",""
"Grosse Sorgen","1995","66 +","Ostdeutschland","","","",""
"Einige Sorgen","1995","17-34","Westdeutschland","413","0.429442468306029","0.397013077540381","0.461871859071678"
"Einige Sorgen","1995","17-34","Ostdeutschland","","","",""
"Einige Sorgen","1995","35-65","Westdeutschland","458","0.424843389079975","0.394236321631881","0.455450456528069"
"Einige Sorgen","1995","35-65","Ostdeutschland","","","",""
"Einige Sorgen","1995","66 +","Westdeutschland","","","",""
"Einige Sorgen","1995","66 +","Ostdeutschland","","","",""
"Keine Sorgen","1995","17-34","Westdeutschland","99","0.103603650964193","0.0836384289966405","0.123568872931747"
"Keine Sorgen","1995","17-34","Ostdeutschland","","","",""
"Keine Sorgen","1995","35-65","Westdeutschland","154","0.146217666542845","0.124340668058824","0.168094665026865"
"Keine Sorgen","1995","35-65","Ostdeutschland","","","",""
"Keine Sorgen","1995","66 +","Westdeutschland","","","",""
"Keine Sorgen","1995","66 +","Ostdeutschland","","","",""
"Grosse Sorgen","1996","17-34","Westdeutschland","1119","0.304395539150625","0.289213763026233","0.319577315275018"
"Grosse Sorgen","1996","17-34","Ostdeutschland","328","0.276850531092596","0.251320943240189","0.302380118945003"
"Grosse Sorgen","1996","35-65","Westdeutschland","1402","0.297640017722475","0.284425785743031","0.310854249701919"
"Grosse Sorgen","1996","35-65","Ostdeutschland","525","0.260378999702359","0.2413450982633","0.279412901141418"
"Grosse Sorgen","1996","66 +","Westdeutschland","350","0.321950895807113","0.294377787484449","0.349524004129778"
"Grosse Sorgen","1996","66 +","Ostdeutschland","120","0.293338630986639","0.249428637689874","0.337248624283405"
"Einige Sorgen","1996","17-34","Westdeutschland","1893","0.549111010697238","0.532694261896139","0.565527759498337"
"Einige Sorgen","1996","17-34","Ostdeutschland","622","0.526152057017176","0.497662727823762","0.55464138621059"
"Einige Sorgen","1996","35-65","Westdeutschland","2488","0.542240130113391","0.527841171859184","0.556639088367599"
"Einige Sorgen","1996","35-65","Ostdeutschland","1107","0.5320613731038","0.510419465639095","0.553703280568506"
"Einige Sorgen","1996","66 +","Westdeutschland","525","0.471603579337386","0.442143845780189","0.501063312894583"
"Einige Sorgen","1996","66 +","Ostdeutschland","206","0.486522719023972","0.438318478563583","0.534726959484362"
"Keine Sorgen","1996","17-34","Westdeutschland","517","0.146493450152137","0.134827105706959","0.158159794597315"
"Keine Sorgen","1996","17-34","Ostdeutschland","230","0.196997411890228","0.174304207737701","0.219690616042754"
"Keine Sorgen","1996","35-65","Westdeutschland","709","0.160119852164133","0.14952127333141","0.170718430996857"
"Keine Sorgen","1996","35-65","Ostdeutschland","410","0.207559627193841","0.189969257787869","0.225149996599812"
"Keine Sorgen","1996","66 +","Westdeutschland","228","0.2064455248555","0.182559083978997","0.230331965732004"
"Keine Sorgen","1996","66 +","Ostdeutschland","87","0.220138649989388","0.180178242041467","0.260099057937309"
"Grosse Sorgen","1997","17-34","Westdeutschland","1101","0.313450267430787","0.297889297763874","0.3290112370977"
"Grosse Sorgen","1997","17-34","Ostdeutschland","320","0.276764557061796","0.25098493782862","0.302544176294972"
"Grosse Sorgen","1997","35-65","Westdeutschland","1422","0.307744255659027","0.294349144665289","0.321139366652764"
"Grosse Sorgen","1997","35-65","Ostdeutschland","550","0.277544569242525","0.258007500391385","0.297081638093666"
"Grosse Sorgen","1997","66 +","Westdeutschland","358","0.328438036007701","0.300969976385982","0.355906095629421"
"Grosse Sorgen","1997","66 +","Ostdeutschland","121","0.268786459103553","0.226687719163943","0.310885199043162"
"Einige Sorgen","1997","17-34","Westdeutschland","1758","0.515501806612892","0.498737812122069","0.532265801103715"
"Einige Sorgen","1997","17-34","Ostdeutschland","578","0.495163596823053","0.466354403497873","0.523972790148234"
"Einige Sorgen","1997","35-65","Westdeutschland","2394","0.520134217309148","0.505635297127433","0.534633137490864"
"Einige Sorgen","1997","35-65","Ostdeutschland","1051","0.523648008783288","0.501857306319126","0.54543871124745"
"Einige Sorgen","1997","66 +","Westdeutschland","523","0.460884074265157","0.431730276001892","0.490037872528422"
"Einige Sorgen","1997","66 +","Ostdeutschland","241","0.571307762997361","0.524312816044893","0.618302709949828"
"Keine Sorgen","1997","17-34","Westdeutschland","555","0.171047925956321","0.158416861535403","0.18367899037724"
"Keine Sorgen","1997","17-34","Ostdeutschland","259","0.22807184611515","0.203894663492311","0.252249028737989"
"Keine Sorgen","1997","35-65","Westdeutschland","745","0.172121527031825","0.161166361475654","0.183076692587995"
"Keine Sorgen","1997","35-65","Ostdeutschland","417","0.198807421974187","0.181394475476018","0.216220368472356"
"Keine Sorgen","1997","66 +","Westdeutschland","242","0.210677889727142","0.18682753587182","0.234528243582463"
"Keine Sorgen","1997","66 +","Ostdeutschland","64","0.159905777899087","0.125100959780453","0.194710596017721"
"Grosse Sorgen","1998","17-34","Westdeutschland","1097","0.299927719889508","0.284946789070088","0.314908650708928"
"Grosse Sorgen","1998","17-34","Ostdeutschland","338","0.298396318276925","0.272464966241628","0.324327670312221"
"Grosse Sorgen","1998","35-65","Westdeutschland","1655","0.313704385631361","0.301156796263325","0.326251974999396"
"Grosse Sorgen","1998","35-65","Ostdeutschland","568","0.27580263372052","0.256915956380667","0.294689311060373"
"Grosse Sorgen","1998","66 +","Westdeutschland","449","0.336777390501422","0.311435092865915","0.36211968813693"
"Grosse Sorgen","1998","66 +","Ostdeutschland","138","0.300400517430444","0.25864319206573","0.342157842795159"
"Einige Sorgen","1998","17-34","Westdeutschland","1876","0.519164994956863","0.502830346428125","0.535499643485601"
"Einige Sorgen","1998","17-34","Ostdeutschland","588","0.475837645591488","0.44753384124672","0.504141449936257"
"Einige Sorgen","1998","35-65","Westdeutschland","2677","0.509570877846842","0.496052181406837","0.523089574286846"
"Einige Sorgen","1998","35-65","Ostdeutschland","1099","0.508711604376984","0.487584889987492","0.529838318766476"
"Einige Sorgen","1998","66 +","Westdeutschland","652","0.48450847019386","0.457710227514591","0.511306712873129"
"Einige Sorgen","1998","66 +","Ostdeutschland","229","0.490646730075466","0.445111073899505","0.536182386251426"
"Keine Sorgen","1998","17-34","Westdeutschland","621","0.180907285153629","0.168322273721071","0.193492296586187"
"Keine Sorgen","1998","17-34","Ostdeutschland","270","0.225766036131587","0.20207151616577","0.249460556097404"
"Keine Sorgen","1998","35-65","Westdeutschland","921","0.176724736521797","0.166409822903796","0.187039650139799"
"Keine Sorgen","1998","35-65","Ostdeutschland","484","0.215485761902496","0.198110250704374","0.232861273100619"
"Keine Sorgen","1998","66 +","Westdeutschland","235","0.178714139304718","0.158170778587319","0.199257500022117"
"Keine Sorgen","1998","66 +","Ostdeutschland","96","0.20895275249409","0.171920267496429","0.245985237491751"
"Grosse Sorgen","1999","17-34","Westdeutschland","1090","0.323711427258636","0.308002615414304","0.339420239102968"
"Grosse Sorgen","1999","17-34","Ostdeutschland","313","0.266932031316855","0.241574130264397","0.292289932369313"
"Grosse Sorgen","1999","35-65","Westdeutschland","1597","0.31855850724758","0.305807613337942","0.331309401157218"
"Grosse Sorgen","1999","35-65","Ostdeutschland","605","0.292266756976723","0.272915913091452","0.311617600861995"
"Grosse Sorgen","1999","66 +","Westdeutschland","283","0.216133294279395","0.193749924924682","0.238516663634109"
"Grosse Sorgen","1999","66 +","Ostdeutschland","170","0.35742213800611","0.314682766700924","0.400161509311295"
"Einige Sorgen","1999","17-34","Westdeutschland","1828","0.52892886068164","0.512170166376592","0.545687554986688"
"Einige Sorgen","1999","17-34","Ostdeutschland","672","0.566005188610051","0.53759374440076","0.594416632819341"
"Einige Sorgen","1999","35-65","Westdeutschland","2795","0.541774416245705","0.528138615246985","0.555410217244426"
"Einige Sorgen","1999","35-65","Ostdeutschland","1264","0.587699959228847","0.566755945185751","0.608643973271943"
"Einige Sorgen","1999","66 +","Westdeutschland","714","0.548414602094751","0.521352098858653","0.57547710533085"
"Einige Sorgen","1999","66 +","Ostdeutschland","237","0.478078439650687","0.433530592210819","0.522626287090556"
"Keine Sorgen","1999","17-34","Westdeutschland","490","0.147359712059724","0.135459064192645","0.159260359926804"
"Keine Sorgen","1999","17-34","Ostdeutschland","184","0.167062780073094","0.145678884640815","0.188446675505373"
"Keine Sorgen","1999","35-65","Westdeutschland","737","0.139667076506715","0.130180444937597","0.149153708075832"
