"plj0047","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Grosse Sorgen","1992","(noch) kein Abschluss","Westdeutschland","226","0.396877023724548","0.358115280946771","0.435638766502325"
"Grosse Sorgen","1992","(noch) kein Abschluss","Ostdeutschland","","","",""
"Grosse Sorgen","1992","Hauptschule","Westdeutschland","452","0.41389250294125","0.385873340454074","0.441911665428425"
"Grosse Sorgen","1992","Hauptschule","Ostdeutschland","","","",""
"Grosse Sorgen","1992","Realschule","Westdeutschland","50","0.534611330618223","0.439204290255454","0.630018370980992"
"Grosse Sorgen","1992","Realschule","Ostdeutschland","","","",""
"Grosse Sorgen","1992","(Fach-)Abitur","Westdeutschland","82","0.448196394891828","0.378035376737391","0.518357413046264"
"Grosse Sorgen","1992","(Fach-)Abitur","Ostdeutschland","","","",""
"Grosse Sorgen","1992","AkademikerIn","Westdeutschland","17","","",""
"Grosse Sorgen","1992","AkademikerIn","Ostdeutschland","","","",""
"Einige Sorgen","1992","(noch) kein Abschluss","Westdeutschland","252","0.390308839755155","0.351660439447057","0.428957240063252"
"Einige Sorgen","1992","(noch) kein Abschluss","Ostdeutschland","","","",""
"Einige Sorgen","1992","Hauptschule","Westdeutschland","517","0.406724589370269","0.378779781984183","0.434669396756355"
"Einige Sorgen","1992","Hauptschule","Ostdeutschland","","","",""
"Einige Sorgen","1992","Realschule","Westdeutschland","33","0.229480833226172","0.149050776741821","0.309910889710522"
"Einige Sorgen","1992","Realschule","Ostdeutschland","","","",""
"Einige Sorgen","1992","(Fach-)Abitur","Westdeutschland","90","0.434772060884489","0.364834245736025","0.504709876032954"
"Einige Sorgen","1992","(Fach-)Abitur","Ostdeutschland","","","",""
"Einige Sorgen","1992","AkademikerIn","Westdeutschland","22","","",""
"Einige Sorgen","1992","AkademikerIn","Ostdeutschland","","","",""
"Keine Sorgen","1992","(noch) kein Abschluss","Westdeutschland","134","0.212814136520298","0.18038680140437","0.245241471636225"
"Keine Sorgen","1992","(noch) kein Abschluss","Ostdeutschland","","","",""
"Keine Sorgen","1992","Hauptschule","Westdeutschland","218","0.179382907688481","0.15755643579723","0.201209379579732"
"Keine Sorgen","1992","Hauptschule","Ostdeutschland","","","",""
"Keine Sorgen","1992","Realschule","Westdeutschland","22","","",""
"Keine Sorgen","1992","Realschule","Ostdeutschland","","","",""
"Keine Sorgen","1992","(Fach-)Abitur","Westdeutschland","21","","",""
"Keine Sorgen","1992","(Fach-)Abitur","Ostdeutschland","","","",""
"Keine Sorgen","1992","AkademikerIn","Westdeutschland","4","","",""
"Keine Sorgen","1992","AkademikerIn","Ostdeutschland","","","",""
"Grosse Sorgen","1993","(noch) kein Abschluss","Westdeutschland","281","0.503146894671299","0.462938542870099","0.543355246472498"
"Grosse Sorgen","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Grosse Sorgen","1993","Hauptschule","Westdeutschland","528","0.493414479503022","0.464430547178086","0.522398411827957"
"Grosse Sorgen","1993","Hauptschule","Ostdeutschland","","","",""
"Grosse Sorgen","1993","Realschule","Westdeutschland","55","0.492701851306622","0.402496807212113","0.582906895401131"
"Grosse Sorgen","1993","Realschule","Ostdeutschland","","","",""
"Grosse Sorgen","1993","(Fach-)Abitur","Westdeutschland","98","0.496452953359735","0.42535937626787","0.5675465304516"
"Grosse Sorgen","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Grosse Sorgen","1993","AkademikerIn","Westdeutschland","18","","",""
"Grosse Sorgen","1993","AkademikerIn","Ostdeutschland","","","",""
"Einige Sorgen","1993","(noch) kein Abschluss","Westdeutschland","237","0.392539907827436","0.353270382435062","0.43180943321981"
"Einige Sorgen","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Einige Sorgen","1993","Hauptschule","Westdeutschland","481","0.394476381344912","0.366142829362702","0.422809933327122"
"Einige Sorgen","1993","Hauptschule","Ostdeutschland","","","",""
"Einige Sorgen","1993","Realschule","Westdeutschland","46","0.311051196585378","0.227526193444135","0.39457619972662"
"Einige Sorgen","1993","Realschule","Ostdeutschland","","","",""
"Einige Sorgen","1993","(Fach-)Abitur","Westdeutschland","80","0.442695617779505","0.372068719944612","0.513322515614397"
"Einige Sorgen","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Einige Sorgen","1993","AkademikerIn","Westdeutschland","20","","",""
"Einige Sorgen","1993","AkademikerIn","Ostdeutschland","","","",""
"Keine Sorgen","1993","(noch) kein Abschluss","Westdeutschland","76","0.104313197501265","0.0797320255336445","0.128894369468887"
"Keine Sorgen","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Keine Sorgen","1993","Hauptschule","Westdeutschland","134","0.112109139152067","0.0938186517938822","0.130399626510251"
"Keine Sorgen","1993","Hauptschule","Ostdeutschland","","","",""
"Keine Sorgen","1993","Realschule","Westdeutschland","17","","",""
"Keine Sorgen","1993","Realschule","Ostdeutschland","","","",""
"Keine Sorgen","1993","(Fach-)Abitur","Westdeutschland","12","","",""
"Keine Sorgen","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Keine Sorgen","1993","AkademikerIn","Westdeutschland","4","","",""
"Keine Sorgen","1993","AkademikerIn","Ostdeutschland","","","",""
"Grosse Sorgen","1994","(noch) kein Abschluss","Westdeutschland","259","0.498755789320173","0.457491231210768","0.540020347429578"
"Grosse Sorgen","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Grosse Sorgen","1994","Hauptschule","Westdeutschland","480","0.481806691183986","0.451881587104656","0.511731795263316"
"Grosse Sorgen","1994","Hauptschule","Ostdeutschland","","","",""
"Grosse Sorgen","1994","Realschule","Westdeutschland","57","0.535407576410155","0.442625322271382","0.628189830548928"
"Grosse Sorgen","1994","Realschule","Ostdeutschland","","","",""
"Grosse Sorgen","1994","(Fach-)Abitur","Westdeutschland","82","0.435733264755851","0.363295603394948","0.508170926116753"
"Grosse Sorgen","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Grosse Sorgen","1994","AkademikerIn","Westdeutschland","13","","",""
"Grosse Sorgen","1994","AkademikerIn","Ostdeutschland","","","",""
"Einige Sorgen","1994","(noch) kein Abschluss","Westdeutschland","243","0.421674138342725","0.380918910172811","0.462429366512638"
"Einige Sorgen","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Einige Sorgen","1994","Hauptschule","Westdeutschland","450","0.396459911038006","0.367164064196924","0.425755757879089"
"Einige Sorgen","1994","Hauptschule","Ostdeutschland","","","",""
"Einige Sorgen","1994","Realschule","Westdeutschland","43","0.330560816303989","0.24304876735287","0.418072865255108"
"Einige Sorgen","1994","Realschule","Ostdeutschland","","","",""
"Einige Sorgen","1994","(Fach-)Abitur","Westdeutschland","84","0.500811085504025","0.427767636560848","0.573854534447201"
"Einige Sorgen","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Einige Sorgen","1994","AkademikerIn","Westdeutschland","24","","",""
"Einige Sorgen","1994","AkademikerIn","Ostdeutschland","","","",""
"Keine Sorgen","1994","(noch) kein Abschluss","Westdeutschland","62","0.079570072337102","0.0572354413682848","0.101904703305919"
"Keine Sorgen","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Keine Sorgen","1994","Hauptschule","Westdeutschland","141","0.121733397778007","0.102150750038477","0.141316045517538"
"Keine Sorgen","1994","Hauptschule","Ostdeutschland","","","",""
"Keine Sorgen","1994","Realschule","Westdeutschland","11","","",""
"Keine Sorgen","1994","Realschule","Ostdeutschland","","","",""
"Keine Sorgen","1994","(Fach-)Abitur","Westdeutschland","14","","",""
"Keine Sorgen","1994","(Fach-)Abitur","Ostdeutschland","","","",""
"Keine Sorgen","1994","AkademikerIn","Westdeutschland","6","","",""
"Keine Sorgen","1994","AkademikerIn","Ostdeutschland","","","",""
"Grosse Sorgen","1995","(noch) kein Abschluss","Westdeutschland","213","0.456314853091108","0.413001453524611","0.499628252657605"
"Grosse Sorgen","1995","(noch) kein Abschluss","Ostdeutschland","","","",""
"Grosse Sorgen","1995","Hauptschule","Westdeutschland","391","0.443844986239189","0.41253027282069","0.475159699657688"
"Grosse Sorgen","1995","Hauptschule","Ostdeutschland","","","",""
"Grosse Sorgen","1995","Realschule","Westdeutschland","40","0.375859357176916","0.285347460896782","0.46637125345705"
"Grosse Sorgen","1995","Realschule","Ostdeutschland","","","",""
"Grosse Sorgen","1995","(Fach-)Abitur","Westdeutschland","69","0.409489109839303","0.336000674400455","0.482977545278151"
"Grosse Sorgen","1995","(Fach-)Abitur","Ostdeutschland","","","",""
"Grosse Sorgen","1995","AkademikerIn","Westdeutschland","13","","",""
"Grosse Sorgen","1995","AkademikerIn","Ostdeutschland","","","",""
"Einige Sorgen","1995","(noch) kein Abschluss","Westdeutschland","232","0.429848043424598","0.386798453237517","0.472897633611679"
"Einige Sorgen","1995","(noch) kein Abschluss","Ostdeutschland","","","",""
"Einige Sorgen","1995","Hauptschule","Westdeutschland","440","0.428601101174358","0.397409964997091","0.459792237351626"
"Einige Sorgen","1995","Hauptschule","Ostdeutschland","","","",""
"Einige Sorgen","1995","Realschule","Westdeutschland","58","0.474869543200602","0.381550020210951","0.568189066190253"
"Einige Sorgen","1995","Realschule","Ostdeutschland","","","",""
"Einige Sorgen","1995","(Fach-)Abitur","Westdeutschland","75","0.392390803754693","0.319418938588516","0.46536266892087"
"Einige Sorgen","1995","(Fach-)Abitur","Ostdeutschland","","","",""
"Einige Sorgen","1995","AkademikerIn","Westdeutschland","22","","",""
"Einige Sorgen","1995","AkademikerIn","Ostdeutschland","","","",""
"Keine Sorgen","1995","(noch) kein Abschluss","Westdeutschland","63","0.113837103484294","0.086217659308137","0.141456547660451"
"Keine Sorgen","1995","(noch) kein Abschluss","Ostdeutschland","","","",""
"Keine Sorgen","1995","Hauptschule","Westdeutschland","136","0.127553912586453","0.106528184385745","0.14857964078716"
"Keine Sorgen","1995","Hauptschule","Ostdeutschland","","","",""
"Keine Sorgen","1995","Realschule","Westdeutschland","12","","",""
