year,bula_h,sex,plj0047,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1992,Lower Saxony,male,Very concerned,1.00000,33,1854,1.00000,1.00000
1992,North Rhine-Westphalia,male,Very concerned,0.45831,151,1854,0.45711,0.45951
1992,North Rhine-Westphalia,male,Somewhat concerned,0.37631,137,1854,0.37514,0.37747
1992,North Rhine-Westphalia,male,Not concerned at all,0.16538,57,1854,0.16449,0.16628
1992,North Rhine-Westphalia,female,Very concerned,0.49064,122,1854,0.48923,0.49205
1992,North Rhine-Westphalia,female,Somewhat concerned,0.35340,106,1854,0.35205,0.35475
1992,North Rhine-Westphalia,female,Not concerned at all,0.15596,45,1854,0.15494,0.15698
1992,Hesse,male,Very concerned,0.18352,33,1854,0.18188,0.18517
1992,Hesse,male,Somewhat concerned,0.51237,76,1854,0.51025,0.51450
1992,Hesse,male,Not concerned at all,0.30410,46,1854,0.30215,0.30606
1992,Hesse,female,Very concerned,0.31170,33,1854,0.30971,0.31368
1992,Hesse,female,Somewhat concerned,0.39393,64,1854,0.39183,0.39602
1992,Hesse,female,Not concerned at all,0.29438,41,1854,0.29243,0.29633
1992,"Rhineland-Palatinate, Saarland",female,Somewhat concerned,1.00000,32,1854,1.00000,1.00000
1992,Baden-Wuerttemberg,male,Very concerned,0.40864,140,1854,0.40727,0.41000
1992,Baden-Wuerttemberg,male,Somewhat concerned,0.34473,132,1854,0.34342,0.34605
1992,Baden-Wuerttemberg,male,Not concerned at all,0.24663,71,1854,0.24543,0.24782
1992,Baden-Wuerttemberg,female,Very concerned,0.38452,100,1854,0.38302,0.38602
1992,Baden-Wuerttemberg,female,Somewhat concerned,0.44238,127,1854,0.44085,0.44392
1992,Baden-Wuerttemberg,female,Not concerned at all,0.17310,51,1854,0.17193,0.17426
1992,Bavaria,male,Very concerned,0.42154,48,1854,0.41962,0.42346
1992,Bavaria,male,Somewhat concerned,0.57846,82,1854,0.57654,0.58038
1992,Bavaria,female,Very concerned,0.50626,53,1854,0.50422,0.50831
1992,Bavaria,female,Somewhat concerned,0.49374,74,1854,0.49169,0.49578
1993,Lower Saxony,male,Very concerned,1.00000,46,1798,1.00000,1.00000
1993,Lower Saxony,female,Very concerned,1.00000,36,1798,1.00000,1.00000
1993,North Rhine-Westphalia,male,Very concerned,0.51567,168,1798,0.51453,0.51681
1993,North Rhine-Westphalia,male,Somewhat concerned,0.40609,138,1798,0.40497,0.40720
1993,North Rhine-Westphalia,male,Not concerned at all,0.07824,31,1798,0.07763,0.07885
1993,North Rhine-Westphalia,female,Very concerned,0.74000,168,1798,0.73877,0.74123
1993,North Rhine-Westphalia,female,Somewhat concerned,0.26000,82,1798,0.25877,0.26123
