year,regtyp,plj0047,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Urban regions,Very concerned,0.42561,769,1970,0.40377,0.44745
1992,Urban regions,Somewhat concerned,0.40197,861,1970,0.38032,0.42363
1992,Urban regions,Not concerned at all,0.17242,340,1970,0.15573,0.18910
1992,Rural regions,Very concerned,0.36944,89,267,0.31144,0.42745
1992,Rural regions,Somewhat concerned,0.37997,103,267,0.32164,0.43830
1992,Rural regions,Not concerned at all,0.25059,75,267,0.19851,0.30267
1993,Urban regions,Very concerned,0.49062,893,1911,0.46820,0.51304
1993,Urban regions,Somewhat concerned,0.40105,800,1911,0.37907,0.42303
1993,Urban regions,Not concerned at all,0.10834,218,1911,0.09440,0.12227
1993,Rural regions,Very concerned,0.53368,135,273,0.47439,0.59296
1993,Rural regions,Somewhat concerned,0.34992,103,273,0.29324,0.40660
1993,Rural regions,Not concerned at all,0.11640,35,273,0.07829,0.15451
1994,Urban regions,Very concerned,0.49389,875,1846,0.47108,0.51671
1994,Urban regions,Somewhat concerned,0.41126,776,1846,0.38881,0.43372
1994,Urban regions,Not concerned at all,0.09484,195,1846,0.08147,0.10821
1994,Rural regions,Very concerned,0.37939,84,257,0.31995,0.43883
1994,Rural regions,Somewhat concerned,0.46263,125,257,0.40155,0.52371
1994,Rural regions,Not concerned at all,0.15798,48,257,0.11330,0.20265
1995,Urban regions,Very concerned,0.45262,705,1712,0.42903,0.47620
1995,Urban regions,Somewhat concerned,0.42729,795,1712,0.40385,0.45073
1995,Urban regions,Not concerned at all,0.12009,212,1712,0.10469,0.13549
1995,Rural regions,Very concerned,0.37228,84,236,0.31047,0.43408
1995,Rural regions,Somewhat concerned,0.43485,102,236,0.37147,0.49823
1995,Rural regions,Not concerned at all,0.19288,50,236,0.14243,0.24332
1996,Urban regions,Very concerned,0.28507,2504,8424,0.27543,0.29471
1996,Urban regions,Somewhat concerned,0.53981,4525,8424,0.52917,0.55045
1996,Urban regions,Not concerned at all,0.17512,1395,8424,0.16701,0.18324
1996,Rural regions,Very concerned,0.32672,1340,4442,0.31293,0.34052
1996,Rural regions,Somewhat concerned,0.50531,2316,4442,0.49060,0.52001
1996,Rural regions,Not concerned at all,0.16797,786,4442,0.15697,0.17896
1997,Urban regions,Very concerned,0.30270,2584,8294,0.29281,0.31259
1997,Urban regions,Somewhat concerned,0.51166,4258,8294,0.50090,0.52242
1997,Urban regions,Not concerned at all,0.18564,1452,8294,0.17727,0.19401
1997,Rural regions,Very concerned,0.31368,1287,4404,0.29998,0.32739
1997,Rural regions,Somewhat concerned,0.50811,2287,4404,0.49334,0.52287
1997,Rural regions,Not concerned at all,0.17821,830,4404,0.16690,0.18951
1998,Urban regions,Very concerned,0.30464,2790,9115,0.29519,0.31409
1998,Urban regions,Somewhat concerned,0.50187,4596,9115,0.49160,0.51213
1998,Urban regions,Not concerned at all,0.19350,1729,9115,0.18538,0.20161
1998,Rural regions,Very concerned,0.31833,1455,4878,0.30525,0.33140
1998,Rural regions,Somewhat concerned,0.51277,2525,4878,0.49874,0.52680
1998,Rural regions,Not concerned at all,0.16890,898,4878,0.15839,0.17942
1999,Urban regions,Very concerned,0.30196,2702,8845,0.29239,0.31152
1999,Urban regions,Somewhat concerned,0.53829,4806,8845,0.52790,0.54868
1999,Urban regions,Not concerned at all,0.15976,1337,8845,0.15212,0.16739
1999,Rural regions,Very concerned,0.29444,1356,4765,0.28150,0.30739
1999,Rural regions,Somewhat concerned,0.55522,2704,4765,0.54110,0.56933
1999,Rural regions,Not concerned at all,0.15034,705,4765,0.14019,0.16049
2000,Urban regions,Very concerned,0.33197,5094,15560,0.32457,0.33937
2000,Urban regions,Somewhat concerned,0.48455,7693,15560,0.47669,0.49240
2000,Urban regions,Not concerned at all,0.18348,2773,15560,0.17740,0.18956
2000,Rural regions,Very concerned,0.28645,2403,8280,0.27671,0.29619
2000,Rural regions,Somewhat concerned,0.53889,4501,8280,0.52815,0.54963
2000,Rural regions,Not concerned at all,0.17466,1376,8280,0.16648,0.18284
2001,Urban regions,Very concerned,0.35570,5140,14163,0.34781,0.36358
2001,Urban regions,Somewhat concerned,0.47642,6747,14163,0.46819,0.48464
2001,Urban regions,Not concerned at all,0.16789,2276,14163,0.16173,0.17404
2001,Rural regions,Very concerned,0.34785,2669,7511,0.33708,0.35862
2001,Rural regions,Somewhat concerned,0.49908,3746,7511,0.48777,0.51039
2001,Rural regions,Not concerned at all,0.15307,1096,7511,0.14493,0.16121
2002,Urban regions,Very concerned,0.27931,4252,15175,0.27218,0.28645
2002,Urban regions,Somewhat concerned,0.53324,8186,15175,0.52531,0.54118
2002,Urban regions,Not concerned at all,0.18744,2737,15175,0.18123,0.19365
2002,Rural regions,Very concerned,0.27832,2154,7673,0.26829,0.28835
2002,Rural regions,Somewhat concerned,0.55879,4315,7673,0.54768,0.56991
2002,Rural regions,Not concerned at all,0.16289,1204,7673,0.15462,0.17115
2003,Urban regions,Very concerned,0.22996,3266,14613,0.22314,0.23679
2003,Urban regions,Somewhat concerned,0.53822,8014,14613,0.53014,0.54631
2003,Urban regions,Not concerned at all,0.23181,3333,14613,0.22497,0.23866
2003,Rural regions,Very concerned,0.23240,1694,7344,0.22274,0.24206
