year,migback,quintil_oecd,plj0047,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1992,Direct migration background,1st Quintile,Very concerned,0.10742068153666325,173,2090,0.1071008901620504,0.10774047291127609
1992,Direct migration background,1st Quintile,Somewhat concerned,0.08896975930373283,168,2090,0.08867573245550338,0.08926378615196227
1992,Direct migration background,1st Quintile,Not concerned at all,0.037558769859889325,65,2090,0.037362414765343244,0.03775512495443541
1992,Direct migration background,2nd Quintile,Very concerned,0.08666541457107102,185,2090,0.08637485362203047,0.08695597552011157
1992,Direct migration background,2nd Quintile,Somewhat concerned,0.08939346740936448,210,2090,0.08909880980302753,0.08968812501570142
1992,Direct migration background,2nd Quintile,Not concerned at all,0.030850355728066093,64,2090,0.030671778987181885,0.0310289324689503
1992,Direct migration background,3rd Quintile,Very concerned,0.08614151901259112,179,2090,0.08585175455071758,0.08643128347446466
1992,Direct migration background,3rd Quintile,Somewhat concerned,0.08297313558618843,193,2090,0.08268825742019179,0.08325801375218508
1992,Direct migration background,3rd Quintile,Not concerned at all,0.04442359413875998,104,2090,0.04421081015302382,0.04463637812449614
1992,Direct migration background,4th Quintile,Very concerned,0.0751957239700823,140,2090,0.07492337805149929,0.0754680698886653
1992,Direct migration background,4th Quintile,Somewhat concerned,0.08717826271719445,200,2090,0.08688692515892694,0.08746960027546195
1992,Direct migration background,4th Quintile,Not concerned at all,0.040398848845750304,81,2090,0.040195505830375206,0.0406021918611254
1992,Direct migration background,5th Quintile,Very concerned,0.026040733294748,47,2090,0.02587625962368761,0.02620520696580839
1992,Direct migration background,5th Quintile,Somewhat concerned,0.02853436387430969,69,2090,0.028362415844838645,0.028706311903780736
1992,Direct migration background,5th Quintile,Not concerned at all,0.013897886293790615,41,2090,0.013776983953889009,0.014018788633692221
1992,Indirect migration background,1st Quintile,Very concerned,0.0200271483703462,35,2090,0.01988246588378149,0.02017183085691091
1992,Indirect migration background,2nd Quintile,Very concerned,0.015054696685339283,37,2090,0.014928936998860717,0.01518045637181785
1992,Indirect migration background,3rd Quintile,Very concerned,0.014774616046059097,31,2090,0.014650013968871743,0.01489921812324645
1992,Indirect migration background,3rd Quintile,Somewhat concerned,0.013862697828295294,31,2090,0.013741946489075845,0.013983449167514742
1992,Indirect migration background,4th Quintile,Somewhat concerned,0.010638324927758281,37,2090,0.010532371856238636,0.010744277999277926
1993,Direct migration background,1st Quintile,Very concerned,0.14334875503179834,272,2053,0.1430032102126054,0.14369429985099128
1993,Direct migration background,1st Quintile,Somewhat concerned,0.08489077672820979,156,2053,0.0846159416782417,0.08516561177817787
1993,Direct migration background,1st Quintile,Not concerned at all,0.021387647618674233,44,2053,0.02124499089201963,0.021530304345328835
1993,Direct migration background,2nd Quintile,Very concerned,0.11797129311967965,230,2053,0.11765321417050577,0.11828937206885352
1993,Direct migration background,2nd Quintile,Somewhat concerned,0.08931449191577627,196,2053,0.08903326908418263,0.08959571474736991
1993,Direct migration background,2nd Quintile,Not concerned at all,0.020318286625011013,43,2053,0.02017916602564564,0.020457407224376386
1993,Direct migration background,3rd Quintile,Very concerned,0.08003534240121543,172,2053,0.07976777581772426,0.0803029089847066
1993,Direct migration background,3rd Quintile,Somewhat concerned,0.07625892750861864,170,2053,0.0759972141615949,0.07652064085564238
1993,Direct migration background,3rd Quintile,Not concerned at all,0.024625394364183407,50,2053,0.024472573476767883,0.024778215251598932
1993,Direct migration background,4th Quintile,Very concerned,0.06844074623806137,126,2053,0.06819176420535886,0.06868972827076389
1993,Direct migration background,4th Quintile,Somewhat concerned,0.07438022664077887,158,2053,0.07412149445442597,0.07463895882713177
1993,Direct migration background,4th Quintile,Not concerned at all,0.023213090386426976,55,2053,0.023064609075037434,0.023361571697816517
1993,Direct migration background,5th Quintile,Very concerned,0.029756656142526594,66,2053,0.02958910870225969,0.029924203582793497
1993,Direct migration background,5th Quintile,Somewhat concerned,0.03420994144620926,75,2053,0.03403070640141942,0.034389176490999096
1993,Indirect migration background,1st Quintile,Very concerned,0.0349188522664293,61,2053,0.034737836128696443,0.03509986840416216
1993,Indirect migration background,2nd Quintile,Very concerned,0.019513872150642923,41,2053,0.019377477338374565,0.01965026696291128
1993,Indirect migration background,2nd Quintile,Somewhat concerned,0.01575058575178015,34,2053,0.015627811771640004,0.015873359731920295
1993,Indirect migration background,3rd Quintile,Very concerned,0.016441483175064577,32,2053,0.01631608939464571,0.016566876955483444
1993,Indirect migration background,3rd Quintile,Somewhat concerned,0.012701548132128178,34,2053,0.012591125535599119,0.012811970728657238
1993,Indirect migration background,4th Quintile,Somewhat concerned,0.01252208235678508,38,2053,0.012412432675886835,0.012631732037683323
1994,Direct migration background,1st Quintile,Very concerned,0.15292265002593797,270,1987,0.15258086952875827,0.15326443052311767
1994,Direct migration background,1st Quintile,Somewhat concerned,0.11892940548827681,222,1987,0.11862200835550003,0.11923680262105359
1994,Direct migration background,1st Quintile,Not concerned at all,0.02527541959763416,49,1987,0.025126366851800818,0.025424472343467504
1994,Direct migration background,2nd Quintile,Very concerned,0.11026581727854715,212,1987,0.1099683765588397,0.11056325799825459
1994,Direct migration background,2nd Quintile,Somewhat concerned,0.07144357652713092,169,1987,0.07119898828374376,0.07168816477051808
