year,sex,ple0013,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2009,male,,0.9552221446848104,21983,0.9524881578005957,0.957956131569025
2009,male,Ja,0.04477785531518958,21983,0.042043868430974934,0.04751184219940423
2009,female,,0.948619957537155,21983,0.9457014827250286,0.9515384323492814
2009,female,Ja,0.05138004246284501,21983,0.048461567650718594,0.05429851727497143
2011,male,,0.9509553489322571,41903,0.9488875447936012,0.953023153070913
2011,male,Ja,0.049044651067742924,41903,0.046976846929086984,0.051112455206398864
2011,female,,0.9428623585250091,41903,0.9406399759835942,0.945084741066424
2011,female,Ja,0.057137641474990876,41903,0.05491525893357599,0.05936002401640576
2013,male,,0.9466832691872311,44486,0.9445955191522425,0.9487710192222197
2013,male,Ja,0.053316730812768845,44486,0.051228980777780195,0.055404480847757495
2013,female,,0.9345095693779905,44486,0.9322106423188717,0.9368084964371092
2013,female,Ja,0.06549043062200957,44486,0.06319150356289086,0.06778935768112829
2015,male,,0.9459766102286612,38036,0.9437047073243288,0.9482485131329936
2015,male,Ja,0.0540233897713388,38036,0.051751486867006334,0.05629529267567127
2015,female,,0.9329946248435314,38036,0.9304818530729132,0.9355073966141495
2015,female,Ja,0.0670053751564686,38036,0.06449260338585044,0.06951814692708674
2017,male,,0.9403800668787211,45410,0.938202217852575,0.9425579159048673
2017,male,Ja,0.059619933121278855,45410,0.057442084095132684,0.061797782147425026
2017,female,,0.9300811870100784,45410,0.9277356743918034,0.9324266996283533
2017,female,Ja,0.06991881298992161,45410,0.06757330037164666,0.07226432560819657
2019,male,,0.9334582179508063,42417,0.9310864032735006,0.935830032628112
2019,male,Ja,0.06654178204919368,42417,0.0641699673718879,0.06891359672649947
2019,female,,0.9241071428571429,42417,0.9215868691315277,0.9266274165827582
2019,female,Ja,0.07589285714285714,42417,0.07337258341724194,0.07841313086847233
2021,male,,0.9365045200172191,27598,0.9336274951851515,0.9393815448492866
2021,male,Ja,0.06349547998278089,27598,0.060618455150713346,0.06637250481484844
2021,female,,0.9104916371008617,27598,0.9071235209976434,0.91385975320408
2021,female,Ja,0.08950836289913837,27598,0.08614024679592003,0.09287647900235671
