year,regtyp,sampreg,ple0013,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,West,Yes,0.05096,511,10186,0.04669,0.05523
2009,Urban regions,West,No,0.94904,9675,10186,0.94477,0.95331
2009,Urban regions,East,Yes,0.06712,81,1533,0.05459,0.07965
2009,Urban regions,East,No,0.93288,1452,1533,0.92035,0.94541
2009,Rural regions,West,Yes,0.04882,163,3291,0.04145,0.05618
2009,Rural regions,West,No,0.95118,3128,3291,0.94382,0.95855
2009,Rural regions,East,Yes,0.04016,114,3008,0.03314,0.04718
2009,Rural regions,East,No,0.95984,2894,3008,0.95282,0.96686
2011,Urban regions,West,Yes,0.05783,656,11730,0.05360,0.06205
2011,Urban regions,West,No,0.94217,11074,11730,0.93795,0.94640
2011,Urban regions,East,Yes,0.06598,105,1662,0.05404,0.07792
2011,Urban regions,East,No,0.93402,1557,1662,0.92208,0.94596
2011,Rural regions,West,Yes,0.05498,212,4110,0.04801,0.06195
2011,Rural regions,West,No,0.94502,3898,4110,0.93805,0.95199
2011,Rural regions,East,Yes,0.04387,133,3243,0.03682,0.05093
2011,Rural regions,East,No,0.95613,3110,3243,0.94907,0.96318
2013,Urban regions,West,Yes,0.06498,667,10563,0.06028,0.06968
2013,Urban regions,West,No,0.93502,9896,10563,0.93032,0.93972
2013,Urban regions,East,Yes,0.06587,92,1511,0.05336,0.07839
2013,Urban regions,East,No,0.93413,1419,1511,0.92161,0.94664
2013,Rural regions,West,Yes,0.06535,241,3851,0.05755,0.07316
2013,Rural regions,West,No,0.93465,3610,3851,0.92684,0.94245
2013,Rural regions,East,Yes,0.04425,128,2941,0.03681,0.05168
2013,Rural regions,East,No,0.95575,2813,2941,0.94832,0.96319
2015,Urban regions,West,Yes,0.06562,901,14361,0.06157,0.06967
2015,Urban regions,West,No,0.93438,13460,14361,0.93033,0.93843
2015,Urban regions,East,Yes,0.07216,123,1839,0.06033,0.08399
2015,Urban regions,East,No,0.92784,1716,1839,0.91601,0.93967
2015,Rural regions,West,Yes,0.06716,339,5426,0.06050,0.07382
2015,Rural regions,West,No,0.93284,5087,5426,0.92618,0.93950
2015,Rural regions,East,Yes,0.04705,166,3414,0.03995,0.05416
2015,Rural regions,East,No,0.95295,3248,3414,0.94584,0.96005
2017,Urban regions,West,Yes,0.06925,1011,15231,0.06522,0.07329
2017,Urban regions,West,No,0.93075,14220,15231,0.92671,0.93478
2017,Urban regions,East,Yes,0.08196,144,1949,0.06978,0.09415
2017,Urban regions,East,No,0.91804,1805,1949,0.90585,0.93022
2017,Rural regions,West,Yes,0.06771,385,5728,0.06120,0.07422
2017,Rural regions,West,No,0.93229,5343,5728,0.92578,0.93880
2017,Rural regions,East,Yes,0.05457,190,3641,0.04719,0.06195
2017,Rural regions,East,No,0.94543,3451,3641,0.93805,0.95281
2019,No answer / don't know,Does not apply,No,0.91988,70,70,0.85582,0.98394
2019,No answer / don't know,West,Yes,0.08517,40,404,0.05792,0.11242
2019,No answer / don't know,West,No,0.91483,364,404,0.88758,0.94208
2019,No answer / don't know,East,No,0.88841,66,66,0.81187,0.96496
2019,Urban regions,West,Yes,0.07208,1065,14493,0.06786,0.07629
2019,Urban regions,West,No,0.92792,13428,14493,0.92371,0.93214
2019,Urban regions,East,Yes,0.08350,138,1898,0.07105,0.09595
2019,Urban regions,East,No,0.91650,1760,1898,0.90405,0.92895
2019,Rural regions,West,Yes,0.08167,376,5207,0.07423,0.08911
2019,Rural regions,West,No,0.91833,4831,5207,0.91089,0.92577
2019,Rural regions,East,Yes,0.06111,205,3574,0.05326,0.06896
2019,Rural regions,East,No,0.93889,3369,3574,0.93104,0.94674
2021,Urban regions,West,Yes,0.08762,919,11514,0.08245,0.09278
2021,Urban regions,West,No,0.91238,10595,11514,0.90722,0.91755
2021,Urban regions,East,Yes,0.08887,114,1498,0.07445,0.10328
2021,Urban regions,East,No,0.91113,1384,1498,0.89672,0.92555
2021,Rural regions,West,Yes,0.08711,283,3802,0.07815,0.09608
2021,Rural regions,West,No,0.91289,3519,3802,0.90392,0.92185
2021,Rural regions,East,Yes,0.06799,161,2349,0.05780,0.07817
2021,Rural regions,East,No,0.93201,2188,2349,0.92183,0.94220
