"ple0013","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Ja","2009","17-34","maennlich","106","0.0612404740188124","0.050473416048594","0.0720075319890307"
"Ja","2009","17-34","weiblich","87","0.0434291349763632","0.0346402840826357","0.0522179858700907"
"Ja","2009","35-65","maennlich","180","0.0371254546462738","0.0317276133141792","0.0425232959783683"
"Ja","2009","35-65","weiblich","268","0.0562611885689611","0.0499807325095576","0.0625416446283645"
"Ja","2009","66 +","maennlich","99","0.0507520033128451","0.0410841080830033","0.0604198985426868"
"Ja","2009","66 +","weiblich","129","0.0603232152740804","0.0503358090915364","0.0703106214566243"
"Nein","2009","17-34","maennlich","1799","0.938759525981188","0.927992468010969","0.949526583951406"
"Nein","2009","17-34","weiblich","1979","0.956570865023637","0.947782014129909","0.965359715917364"
"Nein","2009","35-65","maennlich","4533","0.962874545353726","0.957476704021632","0.968272386685821"
"Nein","2009","35-65","weiblich","4903","0.943738811431039","0.937458355371636","0.950019267490442"
"Nein","2009","66 +","maennlich","1881","0.949247996687155","0.939580101457313","0.958915891916997"
"Nein","2009","66 +","weiblich","2054","0.93967678472592","0.929689378543376","0.949664190908463"
"Ja","2010","17-34","maennlich","","","",""
"Ja","2010","17-34","weiblich","","","",""
"Ja","2010","35-65","maennlich","","","",""
"Ja","2010","35-65","weiblich","","","",""
"Ja","2010","66 +","maennlich","","","",""
"Ja","2010","66 +","weiblich","","","",""
"Nein","2010","17-34","maennlich","","","",""
"Nein","2010","17-34","weiblich","","","",""
"Nein","2010","35-65","maennlich","","","",""
"Nein","2010","35-65","weiblich","","","",""
"Nein","2010","66 +","maennlich","","","",""
"Nein","2010","66 +","weiblich","","","",""
"Ja","2011","17-34","maennlich","123","0.0634730060691589","0.052845968920813","0.0741000432175047"
"Ja","2011","17-34","weiblich","136","0.0584040934389005","0.0487165365026999","0.0680916503751011"
"Ja","2011","35-65","maennlich","232","0.0475444786346811","0.0418202875240313","0.0532686697453309"
"Ja","2011","35-65","weiblich","335","0.0602144571904238","0.0542162357026487","0.0662126786781988"
"Ja","2011","66 +","maennlich","125","0.0522628409876839","0.0434645643466533","0.0610611176287146"
"Ja","2011","66 +","weiblich","155","0.0591456928060238","0.0501861621836314","0.0681052234284163"
"Nein","2011","17-34","maennlich","1899","0.936526993930841","0.925899956782495","0.947154031079187"
"Nein","2011","17-34","weiblich","2115","0.941595906561099","0.931908349624899","0.9512834634973"
"Nein","2011","35-65","maennlich","5077","0.952455521365319","0.946731330254669","0.958179712475969"
"Nein","2011","35-65","weiblich","5707","0.939785542809576","0.933787321321801","0.945783764297351"
"Nein","2011","66 +","maennlich","2333","0.947737159012316","0.938938882371285","0.956535435653347"
"Nein","2011","66 +","weiblich","2508","0.940854307193976","0.931894776571584","0.949813837816369"
"Ja","2012","17-34","maennlich","","","",""
"Ja","2012","17-34","weiblich","","","",""
"Ja","2012","35-65","maennlich","","","",""
"Ja","2012","35-65","weiblich","","","",""
"Ja","2012","66 +","maennlich","","","",""
"Ja","2012","66 +","weiblich","","","",""
"Nein","2012","17-34","maennlich","","","",""
"Nein","2012","17-34","weiblich","","","",""
"Nein","2012","35-65","maennlich","","","",""
"Nein","2012","35-65","weiblich","","","",""
"Nein","2012","66 +","maennlich","","","",""
"Nein","2012","66 +","weiblich","","","",""
"Ja","2013","17-34","maennlich","107","0.0518201901335806","0.0413718946270833","0.0622684856400779"
"Ja","2013","17-34","weiblich","130","0.0701991384276022","0.0588626037865594","0.081535673068645"
"Ja","2013","35-65","maennlich","250","0.058003053901738","0.0513324472782935","0.0646736605251825"
"Ja","2013","35-65","weiblich","357","0.0680882397645566","0.0614497435588544","0.0747267359702588"
"Ja","2013","66 +","maennlich","114","0.0525125474743548","0.0435661290339855","0.0614589659147242"
"Ja","2013","66 +","weiblich","170","0.0708319908307717","0.0608747307844","0.0807892508771434"
"Nein","2013","17-34","maennlich","1622","0.948179809866419","0.937731514359922","0.958628105372917"
"Nein","2013","17-34","weiblich","1821","0.929800861572398","0.918464326931355","0.941137396213441"
"Nein","2013","35-65","maennlich","4467","0.941996946098262","0.935326339474817","0.948667552721706"
"Nein","2013","35-65","weiblich","5174","0.931911760235443","0.925273264029741","0.938550256441146"
"Nein","2013","66 +","maennlich","2274","0.947487452525645","0.938541034085276","0.956433870966015"
"Nein","2013","66 +","weiblich","2380","0.929168009169228","0.919210749122857","0.9391252692156"
"Ja","2014","17-34","maennlich","","","",""
"Ja","2014","17-34","weiblich","","","",""
"Ja","2014","35-65","maennlich","","","",""
"Ja","2014","35-65","weiblich","","","",""
"Ja","2014","66 +","maennlich","","","",""
"Ja","2014","66 +","weiblich","","","",""
"Nein","2014","17-34","maennlich","","","",""
"Nein","2014","17-34","weiblich","","","",""
"Nein","2014","35-65","maennlich","","","",""
"Nein","2014","35-65","weiblich","","","",""
"Nein","2014","66 +","maennlich","","","",""
"Nein","2014","66 +","weiblich","","","",""
"Ja","2015","17-34","maennlich","147","0.0562877799206732","0.0474659517066566","0.0651096081346898"
"Ja","2015","17-34","weiblich","226","0.0854948137190633","0.0756660091113657","0.0953236183267609"
"Ja","2015","35-65","maennlich","358","0.060005475333415","0.0542104009631265","0.0658005497037034"
"Ja","2015","35-65","weiblich","529","0.0660589151279459","0.0606068295015617","0.07151100075433"
"Ja","2015","66 +","maennlich","114","0.0553457879125747","0.0461672462107446","0.0645243296144048"
"Ja","2015","66 +","weiblich","155","0.0638459769661292","0.0542626013795481","0.0734293525527104"
"Nein","2015","17-34","maennlich","2475","0.943712220079327","0.93489039186531","0.952534048293343"
"Nein","2015","17-34","weiblich","2883","0.914505186280937","0.904676381673239","0.924333990888634"
"Nein","2015","35-65","maennlich","6094","0.939994524666585","0.934199450296296","0.945789599036873"
"Nein","2015","35-65","weiblich","7444","0.933941084872054","0.92848899924567","0.939393170498438"
"Nein","2015","66 +","maennlich","2270","0.944654212087425","0.935475670385595","0.953832753789255"
"Nein","2015","66 +","weiblich","2345","0.936154023033871","0.92657064744729","0.945737398620452"
"Ja","2016","17-34","maennlich","","","",""
"Ja","2016","17-34","weiblich","","","",""
"Ja","2016","35-65","maennlich","","","",""
"Ja","2016","35-65","weiblich","","","",""
"Ja","2016","66 +","maennlich","","","",""
"Ja","2016","66 +","weiblich","","","",""
"Nein","2016","17-34","maennlich","","","",""
"Nein","2016","17-34","weiblich","","","",""
"Nein","2016","35-65","maennlich","","","",""
"Nein","2016","35-65","weiblich","","","",""
"Nein","2016","66 +","maennlich","","","",""
"Nein","2016","66 +","weiblich","","","",""
"Ja","2017","17-34","maennlich","207","0.0577642179084462","0.0492805381210017","0.0662478976958908"
