year,migback,ple0013,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Yes,0.04476,763,15650,0.04152,0.04800
2009,No migration background,No,0.81097,14887,15650,0.80483,0.81710
2009,Direct migration background,Yes,0.03570,73,1659,0.02677,0.04464
2009,Direct migration background,No,0.93928,1586,1659,0.92778,0.95077
2009,Indirect migration background,Yes,0.02690,33,709,0.01498,0.03881
2009,Indirect migration background,No,0.51220,676,709,0.47538,0.54902
2011,No migration background,Yes,0.04562,965,17933,0.04257,0.04867
2011,No migration background,No,0.74745,16968,17933,0.74109,0.75381
2011,Direct migration background,Yes,0.03296,89,2016,0.02516,0.04076
2011,Direct migration background,No,0.79514,1927,2016,0.77752,0.81277
2011,Indirect migration background,Yes,0.03047,52,796,0.01852,0.04242
2011,Indirect migration background,No,0.36778,744,796,0.33426,0.40130
2013,No migration background,Yes,0.05001,995,16421,0.04667,0.05334
2013,No migration background,No,0.74269,15426,16421,0.73601,0.74938
2013,Direct migration background,Yes,0.02594,84,1746,0.01848,0.03339
2013,Direct migration background,No,0.47690,1662,1746,0.45346,0.50033
2013,Indirect migration background,Yes,0.01853,49,699,0.00853,0.02854
2013,Indirect migration background,No,0.22096,650,699,0.19018,0.25174
2015,No migration background,Yes,0.05503,1211,19023,0.05179,0.05827
2015,No migration background,No,0.80508,17812,19023,0.79945,0.81071
2015,Direct migration background,Yes,0.04473,203,4473,0.03867,0.05078
2015,Direct migration background,No,0.79108,4270,4473,0.77917,0.80300
2015,Indirect migration background,Yes,0.04692,115,1544,0.03637,0.05747
2015,Indirect migration background,No,0.43594,1429,1544,0.41119,0.46068
2017,No migration background,Yes,0.06011,1386,20111,0.05683,0.06340
2017,No migration background,No,0.80022,18725,20111,0.79469,0.80574
2017,Direct migration background,Yes,0.04861,222,4816,0.04253,0.05468
2017,Direct migration background,No,0.85517,4594,4816,0.84522,0.86511
2017,Indirect migration background,Yes,0.04139,122,1622,0.03169,0.05108
2017,Indirect migration background,No,0.46384,1500,1622,0.43956,0.48812
2019,No migration background,Yes,0.06474,1513,20123,0.06134,0.06814
2019,No migration background,No,0.79404,18610,20123,0.78845,0.79962
2019,Direct migration background,Yes,0.05174,199,4030,0.04490,0.05858
2019,Direct migration background,No,0.84882,3831,4030,0.83775,0.85988
2019,Indirect migration background,Yes,0.04824,126,1573,0.03765,0.05883
2019,Indirect migration background,No,0.46499,1447,1573,0.44033,0.48965
2021,No migration background,Yes,0.07345,1133,13054,0.06898,0.07793
2021,No migration background,No,0.77526,11921,13054,0.76810,0.78242
2021,Direct migration background,Yes,0.06621,254,5184,0.05944,0.07298
2021,Direct migration background,No,0.85606,4930,5184,0.84651,0.86562
2021,Indirect migration background,Yes,0.05055,90,926,0.03644,0.06467
2021,Indirect migration background,No,0.41963,836,926,0.38783,0.45143
