year,pgisced97,ple0013,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Pre-primary Level,No,0.56565,287,287,0.50820,0.62310
2009,Primary Level,No,0.94979,156,156,0.91541,0.98417
2009,Lower Secondary Level,Yes,0.04569,94,1788,0.03601,0.05537
2009,Lower Secondary Level,No,0.93160,1694,1788,0.91990,0.94330
2009,Upper Secondary Level,Yes,0.05090,442,9063,0.04637,0.05543
2009,Upper Secondary Level,No,0.94901,8621,9063,0.94448,0.95353
2009,Post-secondary Non-tertiary Level,Yes,0.05740,53,995,0.04294,0.07186
2009,Post-secondary Non-tertiary Level,No,0.94260,942,995,0.92814,0.95706
2009,First Stage of Tertiary Education,Yes,0.04877,59,1331,0.03719,0.06034
2009,First Stage of Tertiary Education,No,0.95123,1272,1331,0.93966,0.96281
2009,Second Stage of Tertiary Education,Yes,0.04676,175,4035,0.04025,0.05328
2009,Second Stage of Tertiary Education,No,0.95324,3860,4035,0.94672,0.95975
2011,Pre-primary Level,No,0.42006,286,286,0.36276,0.47736
2011,Primary Level,No,0.76894,212,212,0.71206,0.82582
2011,Lower Secondary Level,Yes,0.04959,128,2166,0.04045,0.05874
2011,Lower Secondary Level,No,0.84473,2038,2166,0.82948,0.85999
2011,Upper Secondary Level,Yes,0.05324,576,10490,0.04894,0.05754
2011,Upper Secondary Level,No,0.87341,9914,10490,0.86704,0.87977
2011,Post-secondary Non-tertiary Level,Yes,0.05132,73,1200,0.03883,0.06381
2011,Post-secondary Non-tertiary Level,No,0.82217,1127,1200,0.80052,0.84381
2011,First Stage of Tertiary Education,Yes,0.04985,62,1445,0.03863,0.06108
2011,First Stage of Tertiary Education,No,0.89116,1383,1445,0.87509,0.90722
2011,Second Stage of Tertiary Education,Yes,0.04432,203,4588,0.03836,0.05028
2011,Second Stage of Tertiary Education,No,0.86736,4385,4588,0.85754,0.87717
2013,Pre-primary Level,No,0.35144,242,242,0.29117,0.41172
2013,Primary Level,No,0.56059,176,176,0.48705,0.63412
2013,Lower Secondary Level,Yes,0.05479,130,1851,0.04442,0.06516
2013,Lower Secondary Level,No,0.70723,1721,1851,0.68649,0.72796
2013,Upper Secondary Level,Yes,0.05533,587,9407,0.05071,0.05995
2013,Upper Secondary Level,No,0.81946,8820,9407,0.81169,0.82723
2013,Post-secondary Non-tertiary Level,Yes,0.04000,53,1096,0.02840,0.05161
2013,Post-secondary Non-tertiary Level,No,0.72019,1043,1096,0.69360,0.74678
2013,First Stage of Tertiary Education,Yes,0.04268,61,1323,0.03179,0.05358
2013,First Stage of Tertiary Education,No,0.88698,1262,1323,0.86991,0.90405
2013,Second Stage of Tertiary Education,Yes,0.05453,243,4466,0.04787,0.06119
2013,Second Stage of Tertiary Education,No,0.80184,4223,4466,0.79015,0.81353
2015,Pre-primary Level,No,0.48561,324,324,0.43111,0.54012
2015,Primary Level,Yes,0.07611,41,409,0.05038,0.10184
2015,Primary Level,No,0.83532,368,409,0.79933,0.87131
2015,Lower Secondary Level,Yes,0.06760,178,2673,0.05808,0.07712
2015,Lower Secondary Level,No,0.87996,2495,2673,0.86763,0.89228
2015,Upper Secondary Level,Yes,0.06399,737,11649,0.05955,0.06844
2015,Upper Secondary Level,No,0.92136,10912,11649,0.91647,0.92625
2015,Post-secondary Non-tertiary Level,Yes,0.05674,107,1952,0.04647,0.06700
2015,Post-secondary Non-tertiary Level,No,0.91256,1845,1952,0.90002,0.92509
2015,First Stage of Tertiary Education,Yes,0.04009,79,1520,0.03022,0.04996
2015,First Stage of Tertiary Education,No,0.95622,1441,1520,0.94594,0.96651
2015,Second Stage of Tertiary Education,Yes,0.06622,325,5873,0.05986,0.07258
2015,Second Stage of Tertiary Education,No,0.89780,5548,5873,0.89005,0.90555
2017,Pre-primary Level,No,0.50533,382,382,0.45513,0.55553
2017,Primary Level,Yes,0.08243,41,453,0.05708,0.10779
2017,Primary Level,No,0.80333,412,453,0.76668,0.83997
2017,Lower Secondary Level,Yes,0.07504,204,2745,0.06518,0.08490
2017,Lower Secondary Level,No,0.89200,2541,2745,0.88039,0.90362
2017,Upper Secondary Level,Yes,0.06730,807,12073,0.06283,0.07176
2017,Upper Secondary Level,No,0.92968,11266,12073,0.92512,0.93424
2017,Post-secondary Non-tertiary Level,Yes,0.06451,139,2211,0.05427,0.07476
2017,Post-secondary Non-tertiary Level,No,0.93272,2072,2211,0.92227,0.94316
2017,First Stage of Tertiary Education,Yes,0.05055,89,1527,0.03956,0.06154
2017,First Stage of Tertiary Education,No,0.94945,1438,1527,0.93846,0.96044
2017,Second Stage of Tertiary Education,Yes,0.06709,369,6515,0.06101,0.07316
2017,Second Stage of Tertiary Education,No,0.92694,6146,6515,0.92062,0.93326
2019,Pre-primary Level,No,0.57503,317,317,0.52053,0.62954
2019,Primary Level,Yes,0.10326,39,390,0.07302,0.13350
2019,Primary Level,No,0.75801,351,390,0.71545,0.80058
2019,Lower Secondary Level,Yes,0.07419,195,2424,0.06375,0.08462
2019,Lower Secondary Level,No,0.88089,2229,2424,0.86799,0.89379
2019,Upper Secondary Level,Yes,0.07560,838,11150,0.07069,0.08051
2019,Upper Secondary Level,No,0.92107,10312,11150,0.91606,0.92607
2019,Post-secondary Non-tertiary Level,Yes,0.05651,149,2174,0.04680,0.06622
2019,Post-secondary Non-tertiary Level,No,0.94038,2025,2174,0.93042,0.95034
