year,ple0013,bula_h,regtyp,proportion,n,lower_confidence,upper_confidence
2009,Yes,North Rhine-Westphalia,Urban regions,0.2002301495972382,21983,0.19494009881141502,0.20552020038306137
2009,Yes,Baden-Wuerttemberg,Urban regions,0.11162255466052934,21983,0.10745973753780863,0.11578537178325005
2009,Yes,Bavaria,Rural regions,0.0713463751438435,21983,0.06794366130737536,0.07474908898031163
2009,Yes,Hesse,Urban regions,0.06214039125431531,21983,0.05894908488323239,0.06533169762539823
2009,Yes,Bavaria,Urban regions,0.05868814729574223,21983,0.055581052132990305,0.06179524245849416
2009,Yes,Lower Saxony,Rural regions,0.05523590333716916,21983,0.05221605583554981,0.058255750838788506
2009,Yes,Berlin,Urban regions,0.05408515535097814,21983,0.0510951108452156,0.05707519985674068
2009,Yes,Lower Saxony,Urban regions,0.04602991944764097,21983,0.04325978992438644,0.048800048970895495
2009,Yes,"Rhineland-Palatinate, Saarland",Urban regions,0.04372842347525892,21983,0.04102518023816962,0.04643166671234822
2009,Yes,Saxony,Rural regions,0.03452243958573072,21983,0.03210901116491505,0.0369358680065464
2009,Yes,Saxony,Urban regions,0.0333716915995397,21983,0.030997414208727616,0.03574596899035178
2009,Yes,Brandenburg,Rural regions,0.02761795166858458,21983,0.025451610812889245,0.02978429252427991
2009,Yes,Saxony-Anhalt,Rural regions,0.02531645569620253,21983,0.023239889114871147,0.027393022277533915
2009,Yes,Schleswig-Holstein,Rural regions,0.024165707710011506,21983,0.022135687374419,0.02619572804560401
2009,Yes,Thuringa,Rural regions,0.024165707710011506,21983,0.022135687374419,0.02619572804560401
2009,Yes,Hamburg,Urban regions,0.019562715765247412,21983,0.017731931913885765,0.02139349961660906
2009,Yes,Mecklenburg-Western Pomerania,Rural regions,0.019562715765247412,21983,0.017731931913885765,0.02139349961660906
2009,Yes,Hesse,Rural regions,0.019562715765247412,21983,0.017731931913885765,0.02139349961660906
2009,Yes,Saxony-Anhalt,Urban regions,0.014959723820483314,21983,0.013354996031078994,0.016564451609887634
2009,Yes,Thuringa,Urban regions,0.01380897583429229,21983,0.012266302939391523,0.015351648729193056
