,Unnamed: 0,year,age_gr,ple0013,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,17-29 y.,Yes,0.05093,145,18018,0.04271,0.06046
1,1,2009,17-29 y.,No,0.94907,2710,18018,0.9088,0.99534
2,2,2009,30-45 y.,Yes,0.05293,230,18018,0.04645,0.06089
3,3,2009,30-45 y.,No,0.94707,4446,18018,0.92192,0.97248
4,4,2009,46-65 y.,Yes,0.04344,266,18018,0.03906,0.049
5,5,2009,46-65 y.,No,0.95656,6059,18018,0.93484,0.97769
6,6,2009,66 and older,Yes,0.05614,228,18018,0.05093,0.06245
7,7,2009,66 and older,No,0.94386,3934,18018,0.92044,0.96803
8,8,2011,17-29 y.,Yes,0.05785,182,20745,0.04962,0.06705
9,9,2011,17-29 y.,No,0.94215,2812,20745,0.90194,0.97861
10,10,2011,30-45 y.,Yes,0.05805,254,20745,0.0503,0.06581
11,11,2011,30-45 y.,No,0.94195,4602,20745,0.90759,0.97247
12,12,2011,46-65 y.,Yes,0.05408,390,20745,0.04937,0.05896
13,13,2011,46-65 y.,No,0.94592,7385,20745,0.92762,0.96517
14,14,2011,66 and older,Yes,0.0562,280,20745,0.05134,0.06054
15,15,2011,66 and older,No,0.9438,4840,20745,0.92153,0.9644
16,16,2013,17-29 y.,Yes,0.06611,174,18866,0.05702,0.078
17,17,2013,17-29 y.,No,0.93389,2362,18866,0.90365,0.97525
18,18,2013,30-45 y.,Yes,0.05994,231,18866,0.05295,0.0694
19,19,2013,30-45 y.,No,0.94006,3842,18866,0.90789,0.97414
20,20,2013,46-65 y.,Yes,0.06253,439,18866,0.05757,0.0687
21,21,2013,46-65 y.,No,0.93747,6881,18866,0.91765,0.95664
22,22,2013,66 and older,Yes,0.06303,284,18866,0.05771,0.06786
23,23,2013,66 and older,No,0.93697,4653,18866,0.91764,0.95839
24,24,2015,17-29 y.,Yes,0.07464,267,25040,0.06492,0.08819
25,25,2015,17-29 y.,No,0.92536,3656,25040,0.89189,0.96233
26,26,2015,30-45 y.,Yes,0.06292,451,25040,0.05414,0.07183
27,27,2015,30-45 y.,No,0.93708,6905,25040,0.90641,0.96469
28,28,2015,46-65 y.,Yes,0.06336,542,25040,0.05831,0.07017
29,29,2015,46-65 y.,No,0.93664,8336,25040,0.91429,0.95977
30,30,2015,66 and older,Yes,0.06009,269,25040,0.05457,0.067
31,31,2015,66 and older,No,0.93991,4614,25040,0.91631,0.96308
32,32,2017,17-29 y.,Yes,0.07472,339,26549,0.06537,0.08331
33,33,2017,17-29 y.,No,0.92528,4021,26549,0.89098,0.95665
34,34,2017,30-45 y.,Yes,0.06224,443,26549,0.05487,0.07009
35,35,2017,30-45 y.,No,0.93776,6814,26549,0.91057,0.96854
36,36,2017,46-65 y.,Yes,0.07191,678,26549,0.06675,0.07712
37,37,2017,46-65 y.,No,0.92809,9295,26549,0.90881,0.94799
38,38,2017,66 and older,Yes,0.06317,270,26549,0.05652,0.07076
39,39,2017,66 and older,No,0.93683,4689,26549,0.91638,0.95855
40,40,2019,17-29 y.,Yes,0.08112,307,25725,0.07029,0.09287
41,41,2019,17-29 y.,No,0.91888,3536,25725,0.87668,0.95826
42,42,2019,30-45 y.,Yes,0.07197,458,25725,0.06296,0.08067
43,43,2019,30-45 y.,No,0.92803,5829,25725,0.89437,0.95631
44,44,2019,46-65 y.,Yes,0.07493,747,25725,0.0678,0.08136
45,45,2019,46-65 y.,No,0.92507,9674,25725,0.90295,0.9521
46,46,2019,66 and older,Yes,0.06771,326,25725,0.06055,0.07625
47,47,2019,66 and older,No,0.93229,4848,25725,0.90609,0.96015
48,48,2021,17-29 y.,Yes,0.07544,217,19164,0.06249,0.09187
49,49,2021,17-29 y.,No,0.92456,2962,19164,0.87139,0.98734
50,50,2021,30-45 y.,Yes,0.08614,379,19164,0.07423,0.10092
51,51,2021,30-45 y.,No,0.91386,4827,19164,0.87203,0.95601
52,52,2021,46-65 y.,Yes,0.09322,624,19164,0.08463,0.10579
53,53,2021,46-65 y.,No,0.90678,6592,19164,0.87251,0.93552
54,54,2021,66 and older,Yes,0.07824,257,19164,0.06978,0.08814
55,55,2021,66 and older,No,0.92176,3306,19164,0.88445,0.95537
