,Unnamed: 0,year,migback,regtyp,ple0013,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,No migration background,Urban regions,Yes,0.05594,506,17976,0.05021,0.06159
1,1,2009,No migration background,Urban regions,No,0.94406,9247,17976,0.92978,0.96201
2,2,2009,No migration background,Rural regions,Yes,0.04592,259,17976,0.04053,0.05118
3,3,2009,No migration background,Rural regions,No,0.95408,5641,17976,0.92873,0.97817
4,4,2009,Direct migration background,Urban regions,Yes,0.03809,62,17976,0.03123,0.0451
5,5,2009,Direct migration background,Urban regions,No,0.96191,1278,17976,0.91903,1.01103
6,6,2009,Direct migration background,Rural regions,No,1.0,308,17976,0.93288,1.10258
7,7,2009,Indirect migration background,Urban regions,No,1.0,566,17976,0.92684,1.09602
8,8,2009,Indirect migration background,Rural regions,No,1.0,109,17976,0.84136,1.22517
9,9,2011,No migration background,Urban regions,Yes,0.06062,650,20716,0.05683,0.06556
10,10,2011,No migration background,Urban regions,No,0.93938,10511,20716,0.92282,0.95598
11,11,2011,No migration background,Rural regions,Yes,0.05173,316,20716,0.04635,0.05814
12,12,2011,No migration background,Rural regions,No,0.94827,6463,20716,0.92583,0.96864
13,13,2011,Direct migration background,Urban regions,Yes,0.04348,73,20716,0.03579,0.052
14,14,2011,Direct migration background,Urban regions,No,0.95652,1474,20716,0.91552,1.00556
15,15,2011,Direct migration background,Rural regions,No,1.0,452,20716,0.91018,1.08529
16,16,2011,Indirect migration background,Urban regions,Yes,0.07208,38,20716,0.05428,0.09131
17,17,2011,Indirect migration background,Urban regions,No,0.92792,614,20716,0.85277,1.01113
18,18,2011,Indirect migration background,Rural regions,No,1.0,125,20716,0.78048,1.22825
19,19,2013,No migration background,Urban regions,Yes,0.06662,659,18836,0.06231,0.0706
20,20,2013,No migration background,Urban regions,No,0.93338,9512,18836,0.91738,0.95216
21,21,2013,No migration background,Rural regions,Yes,0.0568,339,18836,0.05178,0.0619
22,22,2013,No migration background,Rural regions,No,0.9432,5926,18836,0.9192,0.96538
23,23,2013,Direct migration background,Urban regions,Yes,0.05774,66,18836,0.04294,0.07266
24,24,2013,Direct migration background,Urban regions,No,0.94226,1247,18836,0.88806,0.9928
25,25,2013,Direct migration background,Rural regions,No,1.0,402,18836,0.88992,1.10639
26,26,2013,Indirect migration background,Urban regions,Yes,0.05962,34,18836,0.03709,0.08437
27,27,2013,Indirect migration background,Urban regions,No,0.94038,529,18836,0.84437,1.03961
28,28,2013,Indirect migration background,Rural regions,No,1.0,122,18836,0.82898,1.16383
29,29,2015,No migration background,Urban regions,Yes,0.06695,786,25014,0.06239,0.07178
30,30,2015,No migration background,Urban regions,No,0.93305,10829,25014,0.91288,0.95276
31,31,2015,No migration background,Rural regions,Yes,0.05849,432,25014,0.05265,0.06585
32,32,2015,No migration background,Rural regions,No,0.94151,7016,25014,0.91617,0.96831
33,33,2015,Direct migration background,Urban regions,Yes,0.05606,145,25014,0.04277,0.07265
34,34,2015,Direct migration background,Urban regions,No,0.94394,3142,25014,0.90203,0.99082
35,35,2015,Direct migration background,Rural regions,Yes,0.04092,48,25014,0.02544,0.05768
36,36,2015,Direct migration background,Rural regions,No,0.95908,1080,25014,0.87568,1.04058
37,37,2015,Indirect migration background,Urban regions,Yes,0.08387,92,25014,0.06188,0.10498
38,38,2015,Indirect migration background,Urban regions,No,0.91613,1177,25014,0.8586,0.9826
39,39,2015,Indirect migration background,Rural regions,No,1.0,267,25014,0.85825,1.12392
40,40,2017,No migration background,Urban regions,Yes,0.07354,894,26525,0.069,0.07937
41,41,2017,No migration background,Urban regions,No,0.92646,11398,26525,0.91037,0.93943
42,42,2017,No migration background,Rural regions,Yes,0.06267,501,26525,0.05796,0.06848
43,43,2017,No migration background,Rural regions,No,0.93733,7365,26525,0.9124,0.96036
44,44,2017,Direct migration background,Urban regions,Yes,0.05506,162,26525,0.04527,0.06747
45,45,2017,Direct migration background,Urban regions,No,0.94494,3344,26525,0.8996,0.98109
46,46,2017,Direct migration background,Rural regions,Yes,0.04383,51,26525,0.0309,0.06031
47,47,2017,Direct migration background,Rural regions,No,0.95617,1197,26525,0.88066,1.05297
48,48,2017,Indirect migration background,Urban regions,Yes,0.07453,98,26525,0.05961,0.09325
49,49,2017,Indirect migration background,Urban regions,No,0.92547,1251,26525,0.87152,0.99429
50,50,2017,Indirect migration background,Rural regions,No,1.0,264,26525,0.84086,1.19569
51,51,2019,No migration background,Urban regions,Yes,0.07438,954,25154,0.06887,0.07983
52,52,2019,No migration background,Urban regions,No,0.92562,11242,25154,0.90614,0.94461
53,53,2019,No migration background,Rural regions,Yes,0.07587,520,25154,0.06914,0.08351
54,54,2019,No migration background,Rural regions,No,0.92413,6982,25154,0.90006,0.94749
55,55,2019,Direct migration background,Urban regions,Yes,0.05709,145,25154,0.0457,0.07084
56,56,2019,Direct migration background,Urban regions,No,0.94291,2773,25154,0.89197,1.00034
57,57,2019,Direct migration background,Rural regions,Yes,0.05409,45,25154,0.02952,0.07706
58,58,2019,Direct migration background,Rural regions,No,0.94591,968,25154,0.84635,1.04624
59,59,2019,Indirect migration background,Urban regions,Yes,0.09768,103,25154,0.06983,0.12841
60,60,2019,Indirect migration background,Urban regions,No,0.90232,1148,25154,0.82742,0.95896
61,61,2019,Indirect migration background,Rural regions,No,1.0,274,25154,0.84934,1.13099
62,62,2021,No migration background,Urban regions,Yes,0.08741,753,19151,0.08037,0.09446
63,63,2021,No migration background,Urban regions,No,0.91259,7513,19151,0.88629,0.94011
64,64,2021,No migration background,Rural regions,Yes,0.084,386,19151,0.07398,0.09614
65,65,2021,No migration background,Rural regions,No,0.916,4456,19151,0.87525,0.95229
66,66,2021,Direct migration background,Urban regions,Yes,0.08098,196,19151,0.06006,0.10408
67,67,2021,Direct migration background,Urban regions,No,0.91902,3791,19151,0.86601,0.99367
68,68,2021,Direct migration background,Rural regions,Yes,0.03991,48,19151,0.01662,0.07335
69,69,2021,Direct migration background,Rural regions,No,0.96009,1085,19151,0.83835,1.07736
70,70,2021,Indirect migration background,Urban regions,Yes,0.11291,82,19151,0.0785,0.15639
71,71,2021,Indirect migration background,Urban regions,No,0.88709,661,19151,0.79843,0.99261
72,72,2021,Indirect migration background,Rural regions,No,1.0,180,19151,0.80024,1.22576
