,Unnamed: 0,year,sampreg,sex,ple0013,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,West,male,Yes,0.04489,296,18018,0.04025,0.04996
1,1,2009,West,male,No,0.95511,6115,18018,0.9358,0.97773
2,2,2009,West,female,Yes,0.05566,378,18018,0.05084,0.06122
3,3,2009,West,female,No,0.94434,6688,18018,0.92369,0.96419
4,4,2009,East,male,Yes,0.05084,89,18018,0.03925,0.06173
5,5,2009,East,male,No,0.94916,2098,18018,0.91443,0.99431
6,6,2009,East,female,Yes,0.04843,106,18018,0.03999,0.05729
7,7,2009,East,female,No,0.95157,2248,18018,0.91387,0.98712
8,8,2011,West,male,Yes,0.05489,376,20745,0.04999,0.05918
9,9,2011,West,male,No,0.94511,7083,20745,0.92464,0.9687
10,10,2011,West,female,Yes,0.05929,492,20745,0.05405,0.06426
11,11,2011,West,female,No,0.94071,7889,20745,0.92065,0.96034
12,12,2011,East,male,Yes,0.0421,104,20745,0.03404,0.0503
13,13,2011,East,male,No,0.9579,2226,20745,0.92116,0.99608
14,14,2011,East,female,Yes,0.06105,134,20745,0.05169,0.07238
15,15,2011,East,female,No,0.93895,2441,20745,0.89977,0.97261
16,16,2013,West,male,Yes,0.05738,372,18866,0.05199,0.06356
17,17,2013,West,male,No,0.94262,6359,18866,0.9182,0.9675
18,18,2013,West,female,Yes,0.07269,536,18866,0.06704,0.07714
19,19,2013,West,female,No,0.92731,7147,18866,0.9086,0.95036
20,20,2013,East,male,Yes,0.04697,99,18866,0.04057,0.05463
21,21,2013,East,male,No,0.95303,2004,18866,0.9118,0.99407
22,22,2013,East,female,Yes,0.05637,121,18866,0.0501,0.0643
23,23,2013,East,female,No,0.94363,2228,18866,0.90209,0.97592
24,24,2015,West,male,Yes,0.06021,500,25040,0.05369,0.0663
25,25,2015,West,male,No,0.93979,8560,25040,0.91885,0.96368
26,26,2015,West,female,Yes,0.07143,740,25040,0.06613,0.07738
27,27,2015,West,female,No,0.92857,9987,25040,0.90429,0.94958
28,28,2015,East,male,Yes,0.04959,119,25040,0.03986,0.05945
29,29,2015,East,male,No,0.95041,2279,25040,0.90347,0.99601
30,30,2015,East,female,Yes,0.06191,170,25040,0.05222,0.07291
31,31,2015,East,female,No,0.93809,2685,25040,0.89867,0.97489
32,32,2017,West,male,Yes,0.06016,595,26549,0.05536,0.0653
33,33,2017,West,male,No,0.93984,9090,26549,0.92093,0.96165
34,34,2017,West,female,Yes,0.07692,801,26549,0.07167,0.08285
35,35,2017,West,female,No,0.92308,10473,26549,0.9071,0.94385
36,36,2017,East,male,Yes,0.0495,136,26549,0.04276,0.05914
37,37,2017,East,male,No,0.9505,2440,26549,0.90456,0.99188
38,38,2017,East,female,Yes,0.07838,198,26549,0.06857,0.08958
39,39,2017,East,female,No,0.92162,2816,26549,0.88159,0.95694
40,40,2019,West,male,Yes,0.06782,667,25645,0.06147,0.07461
41,41,2019,West,male,No,0.93218,8934,25645,0.90935,0.9549
42,42,2019,West,female,Yes,0.08038,814,25645,0.07453,0.08786
43,43,2019,West,female,No,0.91962,9686,25645,0.9,0.9401
44,44,2019,East,male,Yes,0.05643,146,25645,0.04659,0.06858
45,45,2019,East,male,No,0.94357,2495,25645,0.88609,0.99543
46,46,2019,East,female,Yes,0.08141,205,25645,0.06701,0.09653
47,47,2019,East,female,No,0.91859,2698,25645,0.8801,0.96458
48,48,2021,West,male,Yes,0.06974,477,19157,0.06242,0.07874
49,49,2021,West,male,No,0.93026,6973,19157,0.90127,0.96
50,50,2021,West,female,Yes,0.10378,722,19157,0.09541,0.11425
51,51,2021,West,female,No,0.89622,7140,19157,0.86783,0.92573
52,52,2021,East,male,Yes,0.07027,113,19157,0.05472,0.08575
53,53,2021,East,male,No,0.92973,1729,19157,0.87173,0.99081
54,54,2021,East,female,Yes,0.07864,161,19157,0.06495,0.09298
55,55,2021,East,female,No,0.92136,1842,19157,0.8609,0.98251
