year,quintil_oecd,sex,plj0587,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,1st Quintile,male,Very often,0.02639,54,1971,0.01931,0.03347
2013,1st Quintile,male,Often,0.08887,213,1971,0.07631,0.10144
2013,1st Quintile,male,Sometimes,0.27811,652,1971,0.25832,0.29789
2013,1st Quintile,male,Seldom,0.26268,693,1971,0.24325,0.28212
2013,1st Quintile,male,Never,0.12372,359,1971,0.10918,0.13826
2013,1st Quintile,female,Very often,0.04558,148,3129,0.03827,0.05289
2013,1st Quintile,female,Often,0.10543,418,3129,0.09466,0.11619
2013,1st Quintile,female,Sometimes,0.28793,1116,3129,0.27206,0.30380
2013,1st Quintile,female,Seldom,0.25694,972,3129,0.24163,0.27226
2013,1st Quintile,female,Never,0.12492,475,3129,0.11333,0.13651
2013,2nd Quintile,male,Often,0.06345,180,2217,0.05330,0.07360
2013,2nd Quintile,male,Sometimes,0.27506,743,2217,0.25647,0.29365
2013,2nd Quintile,male,Seldom,0.29905,869,2217,0.27999,0.31811
2013,2nd Quintile,male,Never,0.14429,425,2217,0.12966,0.15892
2013,2nd Quintile,female,Very often,0.01888,62,2942,0.01396,0.02380
2013,2nd Quintile,female,Often,0.08713,298,2942,0.07693,0.09732
2013,2nd Quintile,female,Sometimes,0.30889,1069,2942,0.29219,0.32558
2013,2nd Quintile,female,Seldom,0.27626,1004,2942,0.26010,0.29242
2013,2nd Quintile,female,Never,0.14895,509,2942,0.13608,0.16181
2013,3rd Quintile,male,Very often,0.01649,33,2255,0.01123,0.02175
2013,3rd Quintile,male,Often,0.05729,164,2255,0.04770,0.06689
2013,3rd Quintile,male,Sometimes,0.30567,762,2255,0.28665,0.32469
2013,3rd Quintile,male,Seldom,0.30833,885,2255,0.28927,0.32740
2013,3rd Quintile,male,Never,0.13316,411,2255,0.11913,0.14719
2013,3rd Quintile,female,Very often,0.01509,53,2609,0.01041,0.01977
2013,3rd Quintile,female,Often,0.08412,225,2609,0.07347,0.09478
2013,3rd Quintile,female,Sometimes,0.31176,923,2609,0.29399,0.32954
2013,3rd Quintile,female,Seldom,0.30899,958,2609,0.29125,0.32672
2013,3rd Quintile,female,Never,0.13759,450,2609,0.12437,0.15081
2013,4th Quintile,male,Often,0.04800,126,2285,0.03923,0.05677
2013,4th Quintile,male,Sometimes,0.30507,786,2285,0.28618,0.32395
2013,4th Quintile,male,Seldom,0.36160,964,2285,0.34189,0.38130
2013,4th Quintile,male,Never,0.13901,409,2285,0.12482,0.15319
2013,4th Quintile,female,Very often,0.01480,39,2518,0.01008,0.01951
2013,4th Quintile,female,Often,0.07215,193,2518,0.06204,0.08226
2013,4th Quintile,female,Sometimes,0.30756,848,2518,0.28954,0.32559
2013,4th Quintile,female,Seldom,0.32753,1018,2518,0.30919,0.34586
2013,4th Quintile,female,Never,0.13651,420,2518,0.12310,0.14992
2013,5th Quintile,male,Often,0.05021,130,2718,0.04200,0.05842
2013,5th Quintile,male,Sometimes,0.26425,786,2718,0.24767,0.28083
2013,5th Quintile,male,Seldom,0.39764,1224,2718,0.37923,0.41604
2013,5th Quintile,male,Never,0.17698,578,2718,0.16263,0.19133
2013,5th Quintile,female,Often,0.05802,162,2719,0.04924,0.06681
2013,5th Quintile,female,Sometimes,0.29574,904,2719,0.27858,0.31290
2013,5th Quintile,female,Seldom,0.36521,1103,2719,0.34711,0.38331
2013,5th Quintile,female,Never,0.15451,550,2719,0.14092,0.16810
2021,1st Quintile,male,Very often,0.04013,267,2302,0.03211,0.04815
2021,1st Quintile,male,Often,0.13624,419,2302,0.12222,0.15026
2021,1st Quintile,male,Sometimes,0.24195,796,2302,0.22445,0.25945
2021,1st Quintile,male,Seldom,0.24891,513,2302,0.23124,0.26657
2021,1st Quintile,male,Never,0.10118,307,2302,0.08885,0.11350
2021,1st Quintile,female,Very often,0.06436,294,2476,0.05469,0.07403
2021,1st Quintile,female,Often,0.14418,480,2476,0.13034,0.15802
2021,1st Quintile,female,Sometimes,0.29212,870,2476,0.27421,0.31004
2021,1st Quintile,female,Seldom,0.22401,541,2476,0.20758,0.24044
2021,1st Quintile,female,Never,0.09273,291,2476,0.08130,0.10415
2021,2nd Quintile,male,Very often,0.03539,93,1605,0.02635,0.04444
2021,2nd Quintile,male,Often,0.12264,253,1605,0.10659,0.13869
2021,2nd Quintile,male,Sometimes,0.27145,551,1605,0.24968,0.29321
2021,2nd Quintile,male,Seldom,0.27481,499,1605,0.25296,0.29666
2021,2nd Quintile,male,Never,0.08953,209,1605,0.07556,0.10350
2021,2nd Quintile,female,Very often,0.04691,133,1944,0.03751,0.05631
2021,2nd Quintile,female,Often,0.14450,330,1944,0.12887,0.16013
2021,2nd Quintile,female,Sometimes,0.33349,736,1944,0.31253,0.35445
2021,2nd Quintile,female,Seldom,0.24529,564,1944,0.22616,0.26442
2021,2nd Quintile,female,Never,0.05883,181,1944,0.04837,0.06930
2021,3rd Quintile,male,Very often,0.01933,46,1450,0.01224,0.02641
2021,3rd Quintile,male,Often,0.11443,220,1450,0.09804,0.13082
2021,3rd Quintile,male,Sometimes,0.28220,507,1450,0.25903,0.30537
2021,3rd Quintile,male,Seldom,0.32590,529,1450,0.30176,0.35003
2021,3rd Quintile,male,Never,0.07808,148,1450,0.06426,0.09189
2021,3rd Quintile,female,Very often,0.04586,114,1697,0.03590,0.05582
2021,3rd Quintile,female,Often,0.14653,281,1697,0.12970,0.16336
2021,3rd Quintile,female,Sometimes,0.28496,626,1697,0.26347,0.30644
2021,3rd Quintile,female,Seldom,0.26052,496,1697,0.23963,0.28141
2021,3rd Quintile,female,Never,0.08218,180,1697,0.06910,0.09525
2021,4th Quintile,male,Very often,0.02846,50,1526,0.02011,0.03680
2021,4th Quintile,male,Often,0.10540,213,1526,0.08999,0.12082
2021,4th Quintile,male,Sometimes,0.32173,538,1526,0.29828,0.34517
2021,4th Quintile,male,Seldom,0.31829,554,1526,0.29491,0.34167
2021,4th Quintile,male,Never,0.08978,171,1526,0.07543,0.10413
2021,4th Quintile,female,Very often,0.04625,89,1676,0.03619,0.05631
