year,age_gr,regtyp,plj0587,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2013,17-29 y.,Urban regions,Very often,0.012217494511180082,34,25431,0.012127721463721026,0.012307267558639137
2013,17-29 y.,Urban regions,Often,0.0833863902715435,209,25431,0.08316046492122003,0.08361231562186697
2013,17-29 y.,Urban regions,Sometimes,0.34894558533332426,769,25431,0.3485560815100902,0.3493350891565583
2013,17-29 y.,Urban regions,Seldom,0.38952603280919446,904,25431,0.38912753490193397,0.38992453071645494
2013,17-29 y.,Urban regions,Never,0.1659244970747577,405,25431,0.16562049106804516,0.16622850308147025
2013,17-29 y.,Rural regions,Often,0.11529046298800154,122,25431,0.11491535364757106,0.11566557232843201
2013,17-29 y.,Rural regions,Sometimes,0.33887571658107607,399,25431,0.33831978337994895,0.3394316497822032
2013,17-29 y.,Rural regions,Seldom,0.3754480192105843,479,25431,0.3748792710093607,0.3760167674118079
2013,17-29 y.,Rural regions,Never,0.17038580122033814,219,25431,0.1699442148900206,0.17082738755065568
2013,30-45 y.,Urban regions,Very often,0.015787418645155954,96,25431,0.015708206322219177,0.01586663096809273
2013,30-45 y.,Urban regions,Often,0.08566528583459372,475,25431,0.08548743833287073,0.08584313333631671
2013,30-45 y.,Urban regions,Sometimes,0.3604514587581728,1768,25431,0.36014635126024014,0.36075656625610547
2013,30-45 y.,Urban regions,Seldom,0.3838036170201047,1879,25431,0.38349458261371067,0.3841126514264987
2013,30-45 y.,Urban regions,Never,0.15429221974197288,911,25431,0.15406267100532223,0.15452176847862353
2013,30-45 y.,Rural regions,Very often,0.02029954545245736,58,25431,0.020165798722524053,0.020433292182390664
2013,30-45 y.,Rural regions,Often,0.07535410113659761,248,25431,0.07510375866723795,0.07560444360595728
2013,30-45 y.,Rural regions,Sometimes,0.36915427039974663,1071,25431,0.36869659360511153,0.36961194719438173
2013,30-45 y.,Rural regions,Seldom,0.3922469308170724,1068,25431,0.3917838714024289,0.39270999023171593
2013,30-45 y.,Rural regions,Never,0.14294515219412612,421,25431,0.14261319477102033,0.14327710961723192
2013,46-65 y.,Urban regions,Very often,0.018400231297866932,92,25431,0.018329578969440943,0.01847088362629292
2013,46-65 y.,Urban regions,Often,0.07374355831013271,390,25431,0.07360616193354329,0.07388095468672214
2013,46-65 y.,Urban regions,Sometimes,0.35003346882989206,1829,25431,0.34978271481394235,0.35028422284584176
2013,46-65 y.,Urban regions,Seldom,0.3918202927653951,2194,25431,0.3915636629927272,0.392076922538063
2013,46-65 y.,Urban regions,Never,0.16600244879671328,1034,25431,0.1658068405099716,0.16619805708345495
2013,46-65 y.,Rural regions,Very often,0.01897430572570173,62,25431,0.01888201779591197,0.019066593655491494
2013,46-65 y.,Rural regions,Often,0.08438514413472982,264,25431,0.08419712104744324,0.0845731672220164
2013,46-65 y.,Rural regions,Sometimes,0.35160585982141856,1163,25431,0.35128288448542083,0.3519288351574163
2013,46-65 y.,Rural regions,Seldom,0.3953034213020003,1378,25431,0.3949727048438602,0.3956341377601404
2013,46-65 y.,Rural regions,Never,0.14973126901614953,563,25431,0.1494899141148944,0.14997262391740465
2013,66 and older,Urban regions,Very often,0.025913275571669264,69,25431,0.025818721446521,0.026007829696817527
2013,66 and older,Urban regions,Often,0.08798784821510591,252,25431,0.08781925807457408,0.08815643835563775
2013,66 and older,Urban regions,Sometimes,0.32966196409967563,1026,25431,0.329382193635185,0.32994173456416626
2013,66 and older,Urban regions,Seldom,0.3511882339957959,1147,25431,0.3509041479846975,0.3514723200068943
2013,66 and older,Urban regions,Never,0.20524867811775332,667,25431,0.20500831029726183,0.20548904593824482
2013,66 and older,Rural regions,Very often,0.02951296752055606,42,25431,0.029367802655781167,0.029658132385330955
2013,66 and older,Rural regions,Often,0.09546887974077874,149,25431,0.09521682035395872,0.09572093912759876
2013,66 and older,Rural regions,Sometimes,0.35359215452438514,564,25431,0.3531820780782124,0.3540022309705579
2013,66 and older,Rural regions,Seldom,0.33420415152259475,644,25431,0.33379954147139457,0.33460876157379493
2013,66 and older,Rural regions,Never,0.1872218466916854,367,25431,0.18688724781492141,0.1875564455684494
2021,17-29 y.,Urban regions,Very often,0.03876621103613893,156,19273,0.03862829259663438,0.03890412947564347
2021,17-29 y.,Urban regions,Often,0.16124173581172405,375,19273,0.16097898850013945,0.16150448312330865
2021,17-29 y.,Urban regions,Sometimes,0.3551211237088967,869,19273,0.3547792163318228,0.3554630310859706
2021,17-29 y.,Urban regions,Seldom,0.33777738802266705,665,19273,0.3374394800552367,0.3381152959900974
2021,17-29 y.,Urban regions,Never,0.1070935414205733,267,19273,0.10687260578793488,0.10731447705321172
2021,17-29 y.,Rural regions,Very often,0.028829727429239657,38,19273,0.02863945338489399,0.029020001473585324
2021,17-29 y.,Rural regions,Often,0.10593383431939495,129,19273,0.10558387805892348,0.10628379057986641
2021,17-29 y.,Rural regions,Sometimes,0.36662844107027626,324,19273,0.36608047464924304,0.3671764074913095
2021,17-29 y.,Rural regions,Seldom,0.366976513301998,272,19273,0.36642843748749093,0.36752458911650504
2021,17-29 y.,Rural regions,Never,0.13163148387909127,103,19273,0.1312470306489155,0.13201593710926704
