,Unnamed: 0,year,age_gr,sampreg,plj0587,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2013,17-29 y.,West,Very often,0.01541,46,25443,0.00976,0.02254
1,1,2013,17-29 y.,West,Often,0.08912,263,25443,0.07506,0.10458
2,2,2013,17-29 y.,West,Sometimes,0.33079,908,25443,0.30894,0.35622
3,3,2013,17-29 y.,West,Seldom,0.39393,1135,25443,0.36836,0.41914
4,4,2013,17-29 y.,West,Never,0.17075,509,25443,0.15526,0.19148
5,5,2013,17-29 y.,East,Often,0.11296,68,25443,0.09146,0.139
6,6,2013,17-29 y.,East,Sometimes,0.40554,260,25443,0.3472,0.4677
7,7,2013,17-29 y.,East,Seldom,0.33385,248,25443,0.28723,0.38671
8,8,2013,17-29 y.,East,Never,0.14765,115,25443,0.12485,0.17557
9,9,2013,30-45 y.,West,Very often,0.0163,121,25443,0.01321,0.02039
10,10,2013,30-45 y.,West,Often,0.08289,557,25443,0.07205,0.0931
11,11,2013,30-45 y.,West,Sometimes,0.36084,2185,25443,0.33873,0.38341
12,12,2013,30-45 y.,West,Seldom,0.38131,2333,25443,0.35936,0.41373
13,13,2013,30-45 y.,West,Never,0.15867,1097,25443,0.14744,0.17185
14,14,2013,30-45 y.,East,Very often,0.02113,33,25443,0.01223,0.02908
15,15,2013,30-45 y.,East,Often,0.08062,166,25443,0.06672,0.0954
16,16,2013,30-45 y.,East,Sometimes,0.37337,654,25443,0.33679,0.41871
17,17,2013,30-45 y.,East,Seldom,0.40904,614,25443,0.3658,0.46377
18,18,2013,30-45 y.,East,Never,0.11584,235,25443,0.09917,0.13403
19,19,2013,46-65 y.,West,Very often,0.02003,116,25443,0.01626,0.02408
20,20,2013,46-65 y.,West,Often,0.07257,465,25443,0.06525,0.0802
21,21,2013,46-65 y.,West,Sometimes,0.33839,2231,25443,0.32251,0.35519
22,22,2013,46-65 y.,West,Seldom,0.39966,2772,25443,0.38339,0.41315
23,23,2013,46-65 y.,West,Never,0.16936,1309,25443,0.16138,0.17894
24,24,2013,46-65 y.,East,Very often,0.0132,38,25443,0.00983,0.01618
25,25,2013,46-65 y.,East,Often,0.09765,189,25443,0.08339,0.11462
26,26,2013,46-65 y.,East,Sometimes,0.39765,761,25443,0.37398,0.4316
27,27,2013,46-65 y.,East,Seldom,0.36807,800,25443,0.34015,0.39326
28,28,2013,46-65 y.,East,Never,0.12344,288,25443,0.10919,0.13823
29,29,2013,66 and older,West,Very often,0.02591,78,25443,0.02258,0.02947
30,30,2013,66 and older,West,Often,0.0831,270,25443,0.07624,0.08911
31,31,2013,66 and older,West,Sometimes,0.33053,1163,25443,0.31801,0.3429
32,32,2013,66 and older,West,Seldom,0.34597,1351,25443,0.33051,0.35992
33,33,2013,66 and older,West,Never,0.21449,844,25443,0.20527,0.22727
34,34,2013,66 and older,East,Very often,0.03221,33,25443,0.02586,0.03992
35,35,2013,66 and older,East,Often,0.12253,131,25443,0.10636,0.14146
36,36,2013,66 and older,East,Sometimes,0.36772,427,25443,0.3385,0.39725
37,37,2013,66 and older,East,Seldom,0.34434,440,25443,0.32172,0.36324
38,38,2013,66 and older,East,Never,0.13319,190,25443,0.12354,0.14359
39,39,2019,30-45 y.,West,Sometimes,1.0,39,39,0.55415,1.53699
40,40,2021,17-29 y.,West,Very often,0.03634,163,19274,0.02771,0.04664
41,41,2021,17-29 y.,West,Often,0.1544,447,19274,0.13029,0.17726
42,42,2021,17-29 y.,West,Sometimes,0.35602,1007,19274,0.31868,0.39108
43,43,2021,17-29 y.,West,Seldom,0.33935,786,19274,0.30751,0.37781
44,44,2021,17-29 y.,West,Never,0.11389,316,19274,0.09652,0.13472
45,45,2021,17-29 y.,East,Very often,0.0338,31,19274,0.01868,0.05114
46,46,2021,17-29 y.,East,Often,0.09633,57,19274,0.07302,0.12511
47,47,2021,17-29 y.,East,Sometimes,0.37158,186,19274,0.30029,0.44614
48,48,2021,17-29 y.,East,Seldom,0.38344,151,19274,0.30278,0.47546
49,49,2021,17-29 y.,East,Never,0.11485,54,19274,0.06775,0.19358
50,50,2021,30-45 y.,West,Very often,0.05471,403,19274,0.04278,0.06955
51,51,2021,30-45 y.,West,Often,0.15443,755,19274,0.13439,0.17525
52,52,2021,30-45 y.,West,Sometimes,0.36418,1485,19274,0.33309,0.39064
53,53,2021,30-45 y.,West,Seldom,0.31891,1032,19274,0.29313,0.348
54,54,2021,30-45 y.,West,Never,0.10777,499,19274,0.09062,0.12534
55,55,2021,30-45 y.,East,Very often,0.0521,82,19274,0.02918,0.07808
56,56,2021,30-45 y.,East,Often,0.13325,158,19274,0.10698,0.16184
57,57,2021,30-45 y.,East,Sometimes,0.37055,370,19274,0.31324,0.43082
58,58,2021,30-45 y.,East,Seldom,0.35095,321,19274,0.30639,0.41193
59,59,2021,30-45 y.,East,Never,0.09315,126,19274,0.07223,0.11546
60,60,2021,46-65 y.,West,Very often,0.04943,389,19274,0.04286,0.05671
61,61,2021,46-65 y.,West,Often,0.15192,902,19274,0.1382,0.16633
62,62,2021,46-65 y.,West,Sometimes,0.36174,2029,19274,0.33802,0.38066
63,63,2021,46-65 y.,West,Seldom,0.32386,1759,19274,0.30441,0.34439
64,64,2021,46-65 y.,West,Never,0.11305,703,19274,0.10297,0.12666
65,65,2021,46-65 y.,East,Very often,0.02026,50,19274,0.01407,0.02857
66,66,2021,46-65 y.,East,Often,0.13756,194,19274,0.11104,0.16571
67,67,2021,46-65 y.,East,Sometimes,0.37787,536,19274,0.33755,0.41872
68,68,2021,46-65 y.,East,Seldom,0.35862,515,19274,0.31799,0.39791
69,69,2021,46-65 y.,East,Never,0.10569,186,19274,0.08696,0.1288
70,70,2021,66 and older,West,Very often,0.04992,153,19274,0.04226,0.05809
71,71,2021,66 and older,West,Often,0.1766,452,19274,0.16175,0.19127
72,72,2021,66 and older,West,Sometimes,0.34995,970,19274,0.3286,0.37362
73,73,2021,66 and older,West,Seldom,0.3321,872,19274,0.31116,0.35439
74,74,2021,66 and older,West,Never,0.09144,277,19274,0.08096,0.10176
75,75,2021,66 and older,East,Very often,0.05595,42,19274,0.04052,0.07321
76,76,2021,66 and older,East,Often,0.14072,125,19274,0.11853,0.17437
77,77,2021,66 and older,East,Sometimes,0.39338,320,19274,0.34885,0.44763
78,78,2021,66 and older,East,Seldom,0.28948,273,19274,0.2561,0.33002
