,Unnamed: 0,year,migback,pgisced97,plj0587,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2013,No migration background,Pre-primary Level,Sometimes,0.28439,91,24356,0.21741,0.35111
1,1,2013,No migration background,Pre-primary Level,Seldom,0.4818,144,24356,0.38723,0.60172
2,2,2013,No migration background,Pre-primary Level,Never,0.23381,64,24356,0.16242,0.34358
3,3,2013,No migration background,Primary Level,Sometimes,0.53714,67,24356,0.41473,0.66632
4,4,2013,No migration background,Primary Level,Seldom,0.46286,42,24356,0.33655,0.60772
5,5,2013,No migration background,Lower Secondary Level,Very often,0.02722,53,24356,0.02053,0.03341
6,6,2013,No migration background,Lower Secondary Level,Often,0.10268,197,24356,0.0877,0.12078
7,7,2013,No migration background,Lower Secondary Level,Sometimes,0.35536,586,24356,0.32964,0.38684
8,8,2013,No migration background,Lower Secondary Level,Seldom,0.3333,655,24356,0.31023,0.36001
9,9,2013,No migration background,Lower Secondary Level,Never,0.18143,357,24356,0.16661,0.19656
10,10,2013,No migration background,Upper Secondary Level,Very often,0.01943,198,24356,0.01697,0.02225
11,11,2013,No migration background,Upper Secondary Level,Often,0.08183,881,24356,0.07665,0.08752
12,12,2013,No migration background,Upper Secondary Level,Sometimes,0.34953,3804,24356,0.33581,0.36115
13,13,2013,No migration background,Upper Secondary Level,Seldom,0.37858,4095,24356,0.3672,0.38973
14,14,2013,No migration background,Upper Secondary Level,Never,0.17062,1950,24356,0.16284,0.17877
15,15,2013,No migration background,Post-secondary Non-tertiary Level,Often,0.07202,93,24356,0.05357,0.09722
16,16,2013,No migration background,Post-secondary Non-tertiary Level,Sometimes,0.37434,462,24356,0.33891,0.42065
17,17,2013,No migration background,Post-secondary Non-tertiary Level,Seldom,0.42507,591,24356,0.38319,0.47069
18,18,2013,No migration background,Post-secondary Non-tertiary Level,Never,0.12857,212,24356,0.10983,0.14689
19,19,2013,No migration background,First Stage of Tertiary Education,Often,0.06679,96,24356,0.05346,0.07944
20,20,2013,No migration background,First Stage of Tertiary Education,Sometimes,0.39209,547,24356,0.35785,0.42811
21,21,2013,No migration background,First Stage of Tertiary Education,Seldom,0.38661,605,24356,0.35458,0.41932
22,22,2013,No migration background,First Stage of Tertiary Education,Never,0.15451,253,24356,0.13672,0.17495
23,23,2013,No migration background,Second Stage of Tertiary Education,Very often,0.01353,52,24356,0.01051,0.0167
24,24,2013,No migration background,Second Stage of Tertiary Education,Often,0.07082,299,24356,0.06271,0.07907
25,25,2013,No migration background,Second Stage of Tertiary Education,Sometimes,0.34938,1674,24356,0.33177,0.36722
26,26,2013,No migration background,Second Stage of Tertiary Education,Seldom,0.41519,2161,24356,0.39633,0.43452
27,27,2013,No migration background,Second Stage of Tertiary Education,Never,0.15109,883,24356,0.13999,0.16304
28,28,2013,Direct migration background,Primary Level,Sometimes,1.0,44,24356,0.68037,1.37006
29,29,2013,Direct migration background,Lower Secondary Level,Often,0.13369,65,24356,0.09006,0.17936
30,30,2013,Direct migration background,Lower Secondary Level,Sometimes,0.36636,172,24356,0.30223,0.43193
31,31,2013,Direct migration background,Lower Secondary Level,Seldom,0.27162,163,24356,0.22397,0.32056
32,32,2013,Direct migration background,Lower Secondary Level,Never,0.22832,103,24356,0.17898,0.28621
33,33,2013,Direct migration background,Upper Secondary Level,Often,0.10557,113,24356,0.08216,0.13697
34,34,2013,Direct migration background,Upper Secondary Level,Sometimes,0.34343,332,24356,0.29646,0.40131
