,Unnamed: 0,year,age_gr,quintil_oecd,plj0587,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2013,17-29 y.,1st Quintile,Often,0.0977,127,25151,0.07515,0.12061
1,1,2013,17-29 y.,1st Quintile,Sometimes,0.37246,368,25151,0.32569,0.42323
2,2,2013,17-29 y.,1st Quintile,Seldom,0.39126,404,25151,0.33985,0.44771
3,3,2013,17-29 y.,1st Quintile,Never,0.13858,178,25151,0.11156,0.163
4,4,2013,17-29 y.,2nd Quintile,Often,0.10594,65,25151,0.07565,0.13908
5,5,2013,17-29 y.,2nd Quintile,Sometimes,0.38218,282,25151,0.32408,0.44736
6,6,2013,17-29 y.,2nd Quintile,Seldom,0.32115,283,25151,0.2754,0.37127
7,7,2013,17-29 y.,2nd Quintile,Never,0.19074,140,25151,0.15179,0.2272
8,8,2013,17-29 y.,3rd Quintile,Often,0.09501,59,25151,0.06844,0.12145
9,9,2013,17-29 y.,3rd Quintile,Sometimes,0.32669,203,25151,0.26908,0.38005
10,10,2013,17-29 y.,3rd Quintile,Seldom,0.392,272,25151,0.33478,0.44284
11,11,2013,17-29 y.,3rd Quintile,Never,0.1863,123,25151,0.14426,0.22873
12,12,2013,17-29 y.,4th Quintile,Often,0.09294,49,25151,0.06709,0.12365
13,13,2013,17-29 y.,4th Quintile,Sometimes,0.36256,181,25151,0.3167,0.41817
14,14,2013,17-29 y.,4th Quintile,Seldom,0.36856,232,25151,0.32051,0.40926
15,15,2013,17-29 y.,4th Quintile,Never,0.17594,105,25151,0.14365,0.22165
16,16,2013,17-29 y.,5th Quintile,Often,0.07648,31,25151,0.04705,0.10222
17,17,2013,17-29 y.,5th Quintile,Sometimes,0.27778,134,25151,0.22836,0.34081
18,18,2013,17-29 y.,5th Quintile,Seldom,0.4894,190,25151,0.4231,0.56601
19,19,2013,17-29 y.,5th Quintile,Never,0.15634,78,25151,0.12167,0.18657
20,20,2013,30-45 y.,1st Quintile,Very often,0.03655,71,25151,0.02483,0.04778
21,21,2013,30-45 y.,1st Quintile,Often,0.13221,230,25151,0.11214,0.1551
22,22,2013,30-45 y.,1st Quintile,Sometimes,0.35775,612,25151,0.31424,0.399
23,23,2013,30-45 y.,1st Quintile,Seldom,0.33777,582,25151,0.28454,0.39297
24,24,2013,30-45 y.,1st Quintile,Never,0.13572,273,25151,0.11167,0.16088
25,25,2013,30-45 y.,2nd Quintile,Often,0.09353,173,25151,0.07673,0.11081
26,26,2013,30-45 y.,2nd Quintile,Sometimes,0.39837,677,25151,0.355,0.45188
27,27,2013,30-45 y.,2nd Quintile,Seldom,0.35345,621,25151,0.32556,0.4003
28,28,2013,30-45 y.,2nd Quintile,Never,0.15464,281,25151,0.13006,0.18082
29,29,2013,30-45 y.,3rd Quintile,Often,0.0827,124,25151,0.06168,0.10547
30,30,2013,30-45 y.,3rd Quintile,Sometimes,0.38672,565,25151,0.33935,0.43524
31,31,2013,30-45 y.,3rd Quintile,Seldom,0.38116,582,25151,0.33808,0.42947
32,32,2013,30-45 y.,3rd Quintile,Never,0.14942,263,25151,0.12597,0.17155
33,33,2013,30-45 y.,4th Quintile,Often,0.06156,107,25151,0.04629,0.076
34,34,2013,30-45 y.,4th Quintile,Sometimes,0.3733,535,25151,0.33238,0.41366
35,35,2013,30-45 y.,4th Quintile,Seldom,0.44069,630,25151,0.39784,0.48777
36,36,2013,30-45 y.,4th Quintile,Never,0.12446,220,25151,0.09891,0.15032
37,37,2013,30-45 y.,5th Quintile,Often,0.06592,89,25151,0.05007,0.0833
38,38,2013,30-45 y.,5th Quintile,Sometimes,0.33066,450,25151,0.29839,0.36684
39,39,2013,30-45 y.,5th Quintile,Seldom,0.41308,531,25151,0.36142,0.45429
40,40,2013,30-45 y.,5th Quintile,Never,0.19034,295,25151,0.15806,0.21957
41,41,2013,46-65 y.,1st Quintile,Very often,0.05786,72,25151,0.04547,0.07179
42,42,2013,46-65 y.,1st Quintile,Often,0.14414,188,25151,0.12077,0.16708
43,43,2013,46-65 y.,1st Quintile,Sometimes,0.36731,501,25151,0.33531,0.40385
44,44,2013,46-65 y.,1st Quintile,Seldom,0.28827,436,25151,0.25662,0.31625
45,45,2013,46-65 y.,1st Quintile,Never,0.14242,237,25151,0.12297,0.16601
46,46,2013,46-65 y.,2nd Quintile,Often,0.09337,131,25151,0.07407,0.11138
47,47,2013,46-65 y.,2nd Quintile,Sometimes,0.38354,494,25151,0.34099,0.41955
48,48,2013,46-65 y.,2nd Quintile,Seldom,0.36299,497,25151,0.3316,0.4001
49,49,2013,46-65 y.,2nd Quintile,Never,0.1601,222,25151,0.13735,0.18292
50,50,2013,46-65 y.,3rd Quintile,Often,0.06336,107,25151,0.05248,0.07789
51,51,2013,46-65 y.,3rd Quintile,Sometimes,0.38939,566,25151,0.36131,0.42517
52,52,2013,46-65 y.,3rd Quintile,Seldom,0.39611,640,25151,0.36463,0.43441
53,53,2013,46-65 y.,3rd Quintile,Never,0.15114,282,25151,0.13664,0.16593
54,54,2013,46-65 y.,4th Quintile,Often,0.07125,107,25151,0.05576,0.08279
55,55,2013,46-65 y.,4th Quintile,Sometimes,0.35435,624,25151,0.32853,0.38061
56,56,2013,46-65 y.,4th Quintile,Seldom,0.4187,833,25151,0.38808,0.45028
57,57,2013,46-65 y.,4th Quintile,Never,0.1557,322,25151,0.14223,0.17069
58,58,2013,46-65 y.,5th Quintile,Often,0.05259,121,25151,0.04183,0.06353
59,59,2013,46-65 y.,5th Quintile,Sometimes,0.31056,807,25151,0.28813,0.33213
60,60,2013,46-65 y.,5th Quintile,Seldom,0.45359,1166,25151,0.42786,0.48587
61,61,2013,46-65 y.,5th Quintile,Never,0.18326,534,25151,0.17005,0.2038
62,62,2013,66 and older,1st Quintile,Very often,0.05406,34,25151,0.04164,0.0685
63,63,2013,66 and older,1st Quintile,Often,0.10867,80,25151,0.09275,0.12662
64,64,2013,66 and older,1st Quintile,Sometimes,0.33819,279,25151,0.3083,0.3644
65,65,2013,66 and older,1st Quintile,Seldom,0.30182,254,25151,0.27697,0.3284
66,66,2013,66 and older,1st Quintile,Never,0.19726,171,25151,0.18044,0.21853
